image_path,label,burst_group_id,crop_rel_path,mask_rel_path,detection_status,sam_status,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,confidence,num_cow_detections,mask_area_ratio,crop_w,crop_h
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1003_1.jpg,3.25,GS_burst_0007,crops/train/3.25/GS_1003_1.jpg,masks/train/3.25/GS_1003_1.png,detected,segmented,0.6,0.1,1024.6,576.1,0,0,1024,576,0.4458,3,0.9984,1024,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1003_10.jpg,3.25,GS_burst_0007,crops/train/3.25/GS_1003_10.jpg,masks/train/3.25/GS_1003_10.png,detected,segmented,-0.2,0.3,1023.8,576.2,0,0,1024,576,0.2686,4,0.503,1024,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1008_1.jpg,3.5,GS_burst_0012,crops/train/3.50/GS_1008_1.jpg,masks/train/3.50/GS_1008_1.png,detected,segmented,202.8,0.1,908.6,576.1,167,0,944,576,0.2925,1,0.7726,777,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1008_2.jpg,3.5,GS_burst_0012,crops/train/3.50/GS_1008_2.jpg,masks/train/3.50/GS_1008_2.png,detected,segmented,213.7,0.1,913.9,576.0,179,0,949,576,0.9103,1,0.7911,770,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1000_1.jpg,3.75,GS_burst_0004,crops/train/3.75/GS_1000_1.jpg,masks/train/3.75/GS_1000_1.png,detected,segmented,23.7,0.6,697.7,576.1,0,0,731,576,0.5493,2,0.7605,731,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1000_2.jpg,3.75,GS_burst_0004,crops/train/3.75/GS_1000_2.jpg,masks/train/3.75/GS_1000_2.png,detected,segmented,58.9,0.8,675.6,576.6,28,0,706,576,0.3241,1,0.7443,678,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_1004_1.jpg,4.0,GS_burst_0008,crops/train/4.00/GS_1004_1.jpg,masks/train/4.00/GS_1004_1.png,detected,segmented,4.1,-0.1,1023.2,575.9,0,0,1024,576,0.3222,5,0.5597,1024,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_1004_2.jpg,4.0,GS_burst_0008,crops/train/4.00/GS_1004_2.jpg,masks/train/4.00/GS_1004_2.png,detected,segmented,0.3,-0.1,1024.3,575.9,0,0,1024,576,0.407,7,0.4757,1024,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_1.jpg,4.25,GS_burst_0001,crops/train/4.25/GS_1_1.jpg,masks/train/4.25/GS_1_1.png,detected,segmented,0.1,0.1,902.3,576.1,0,0,947,576,0.9643,1,0.8579,947,576
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_2.jpg,4.25,GS_burst_0001,crops/train/4.25/GS_1_2.jpg,masks/train/4.25/GS_1_2.png,detected,segmented,157.0,0.2,933.5,576.2,118,0,972,576,0.9285,2,0.7298,854,576
