clip_id,behavior,session_id,bytetrack_id,clip_idx,filename,size_bytes,resolution,fps
00000000082000000_3_clip_14,drink,00000000082000000,3,14,00000000082000000_3_clip_14.mp4,1955195,224x224,25.0
00000000082000000_3_clip_27,drink,00000000082000000,3,27,00000000082000000_3_clip_27.mp4,2352309,224x224,25.0
00000000082000000_4_clip_2,drink,00000000082000000,4,2,00000000082000000_4_clip_2.mp4,2601833,224x224,25.0
100_1_clip_0,drink,100,1,0,100_1_clip_0.mp4,3081220,224x224,25.0
10_3_clip_0,drink,10,3,0,10_3_clip_0.mp4,2147554,224x224,25.0
10_4_clip_0,drink,10,4,0,10_4_clip_0.mp4,2313775,224x224,25.0
10_5_clip_0,drink,10,5,0,10_5_clip_0.mp4,1911793,224x224,25.0
10_6_clip_0,drink,10,6,0,10_6_clip_0.mp4,1849959,224x224,25.0
11_1_clip_0,drink,11,1,0,11_1_clip_0.mp4,3058600,224x224,25.0
11_3_clip_0,drink,11,3,0,11_3_clip_0.mp4,2259866,224x224,25.0
11_4_clip_0,drink,11,4,0,11_4_clip_0.mp4,2250723,224x224,25.0
11_5_clip_0,drink,11,5,0,11_5_clip_0.mp4,1836070,224x224,25.0
12_1_clip_0,drink,12,1,0,12_1_clip_0.mp4,3220900,224x224,25.0
12_3_clip_0,drink,12,3,0,12_3_clip_0.mp4,2337125,224x224,25.0
12_4_clip_0,drink,12,4,0,12_4_clip_0.mp4,2786439,224x224,25.0
12_5_clip_0,drink,12,5,0,12_5_clip_0.mp4,2232702,224x224,25.0
12_6_clip_0,drink,12,6,0,12_6_clip_0.mp4,2241237,224x224,25.0
13_2_clip_0,drink,13,2,0,13_2_clip_0.mp4,3137612,224x224,25.0
13_3_clip_0,drink,13,3,0,13_3_clip_0.mp4,2708400,224x224,25.0
13_4_clip_0,drink,13,4,0,13_4_clip_0.mp4,2674320,224x224,25.0
14_1_clip_0,drink,14,1,0,14_1_clip_0.mp4,2880985,224x224,25.0
14_2_clip_0,drink,14,2,0,14_2_clip_0.mp4,3025193,224x224,25.0
14_3_clip_0,drink,14,3,0,14_3_clip_0.mp4,2645480,224x224,25.0
14_4_clip_0,drink,14,4,0,14_4_clip_0.mp4,2358115,224x224,25.0
14_5_clip_0,drink,14,5,0,14_5_clip_0.mp4,2275623,224x224,25.0
15_1_clip_0,drink,15,1,0,15_1_clip_0.mp4,2903127,224x224,25.0
15_2_clip_0,drink,15,2,0,15_2_clip_0.mp4,2852876,224x224,25.0
15_3_clip_0,drink,15,3,0,15_3_clip_0.mp4,2158007,224x224,25.0
15_4_clip_0,drink,15,4,0,15_4_clip_0.mp4,2373642,224x224,25.0
15_5_clip_0,drink,15,5,0,15_5_clip_0.mp4,2333331,224x224,25.0
16_1_clip_0,drink,16,1,0,16_1_clip_0.mp4,2761330,224x224,25.0
16_2_clip_0,drink,16,2,0,16_2_clip_0.mp4,2455047,224x224,25.0
16_3_clip_0,drink,16,3,0,16_3_clip_0.mp4,2579974,224x224,25.0
16_4_clip_0,drink,16,4,0,16_4_clip_0.mp4,2616343,224x224,25.0
16_6_clip_0,drink,16,6,0,16_6_clip_0.mp4,2565781,224x224,25.0
17_1_clip_0,drink,17,1,0,17_1_clip_0.mp4,2459643,224x224,25.0
17_2_clip_0,drink,17,2,0,17_2_clip_0.mp4,2789958,224x224,25.0
17_3_clip_0,drink,17,3,0,17_3_clip_0.mp4,2760244,224x224,25.0
17_4_clip_0,drink,17,4,0,17_4_clip_0.mp4,3055999,224x224,25.0
18_1_clip_0,drink,18,1,0,18_1_clip_0.mp4,2947009,224x224,25.0
18_2_clip_0,drink,18,2,0,18_2_clip_0.mp4,2857110,224x224,25.0
18_3_clip_0,drink,18,3,0,18_3_clip_0.mp4,2936460,224x224,25.0
18_4_clip_0,drink,18,4,0,18_4_clip_0.mp4,3053176,224x224,25.0
19_1_clip_0,drink,19,1,0,19_1_clip_0.mp4,3032965,224x224,25.0
19_2_clip_0,drink,19,2,0,19_2_clip_0.mp4,3159003,224x224,25.0
19_3_clip_0,drink,19,3,0,19_3_clip_0.mp4,2999312,224x224,25.0
19_4_clip_0,drink,19,4,0,19_4_clip_0.mp4,3073874,224x224,25.0
1_4_clip_0,drink,1,4,0,1_4_clip_0.mp4,1476113,224x224,25.0
1_5_clip_0,drink,1,5,0,1_5_clip_0.mp4,1804456,224x224,25.0
20_1_clip_0,drink,20,1,0,20_1_clip_0.mp4,3039043,224x224,25.0
20_2_clip_0,drink,20,2,0,20_2_clip_0.mp4,2270030,224x224,25.0
20_3_clip_0,drink,20,3,0,20_3_clip_0.mp4,2667919,224x224,25.0
20_4_clip_0,drink,20,4,0,20_4_clip_0.mp4,2040489,224x224,25.0
21_1_clip_0,drink,21,1,0,21_1_clip_0.mp4,2667766,224x224,25.0
21_2_clip_0,drink,21,2,0,21_2_clip_0.mp4,2471045,224x224,25.0
21_3_clip_0,drink,21,3,0,21_3_clip_0.mp4,2586894,224x224,25.0
21_4_clip_0,drink,21,4,0,21_4_clip_0.mp4,2771271,224x224,25.0
22_3_clip_0,drink,22,3,0,22_3_clip_0.mp4,3131286,224x224,25.0
22_4_clip_0,drink,22,4,0,22_4_clip_0.mp4,2668447,224x224,25.0
22_5_clip_0,drink,22,5,0,22_5_clip_0.mp4,2116778,224x224,25.0
23_3_clip_0,drink,23,3,0,23_3_clip_0.mp4,3002981,224x224,25.0
24_2_clip_0,drink,24,2,0,24_2_clip_0.mp4,3014652,224x224,25.0
25_3_clip_0,drink,25,3,0,25_3_clip_0.mp4,2577862,224x224,25.0
26_3_clip_0,drink,26,3,0,26_3_clip_0.mp4,2879315,224x224,25.0
27_3_clip_0,drink,27,3,0,27_3_clip_0.mp4,2928899,224x224,25.0
29_3_clip_0,drink,29,3,0,29_3_clip_0.mp4,3210522,224x224,25.0
2_4_clip_0,drink,2,4,0,2_4_clip_0.mp4,1633494,224x224,25.0
2_5_clip_0,drink,2,5,0,2_5_clip_0.mp4,2454302,224x224,25.0
30_1_clip_0,drink,30,1,0,30_1_clip_0.mp4,2895981,224x224,25.0
31_1_clip_0,drink,31,1,0,31_1_clip_0.mp4,3244705,224x224,25.0
32_1_clip_0,drink,32,1,0,32_1_clip_0.mp4,3208851,224x224,25.0
32_3_clip_0,drink,32,3,0,32_3_clip_0.mp4,2644277,224x224,25.0
32_4_clip_0,drink,32,4,0,32_4_clip_0.mp4,2805024,224x224,25.0
32_6_clip_0,drink,32,6,0,32_6_clip_0.mp4,2239826,224x224,25.0
33_1_clip_0,drink,33,1,0,33_1_clip_0.mp4,3192280,224x224,25.0
33_3_clip_0,drink,33,3,0,33_3_clip_0.mp4,2882316,224x224,25.0
33_4_clip_0,drink,33,4,0,33_4_clip_0.mp4,2554107,224x224,25.0
33_5_clip_0,drink,33,5,0,33_5_clip_0.mp4,2162465,224x224,25.0
33_6_clip_0,drink,33,6,0,33_6_clip_0.mp4,2089717,224x224,25.0
34_1_clip_0,drink,34,1,0,34_1_clip_0.mp4,3178850,224x224,25.0
34_3_clip_0,drink,34,3,0,34_3_clip_0.mp4,2443132,224x224,25.0
34_4_clip_0,drink,34,4,0,34_4_clip_0.mp4,2489584,224x224,25.0
34_5_clip_0,drink,34,5,0,34_5_clip_0.mp4,2002684,224x224,25.0
35_1_clip_0,drink,35,1,0,35_1_clip_0.mp4,2418137,224x224,25.0
35_3_clip_0,drink,35,3,0,35_3_clip_0.mp4,2565779,224x224,25.0
35_4_clip_0,drink,35,4,0,35_4_clip_0.mp4,2128589,224x224,25.0
36_1_clip_0,drink,36,1,0,36_1_clip_0.mp4,2478424,224x224,25.0
36_3_clip_0,drink,36,3,0,36_3_clip_0.mp4,2361927,224x224,25.0
36_4_clip_0,drink,36,4,0,36_4_clip_0.mp4,2471879,224x224,25.0
36_5_clip_0,drink,36,5,0,36_5_clip_0.mp4,1917586,224x224,25.0
36_6_clip_0,drink,36,6,0,36_6_clip_0.mp4,2032347,224x224,25.0
37_2_clip_0,drink,37,2,0,37_2_clip_0.mp4,1971792,224x224,25.0
37_3_clip_0,drink,37,3,0,37_3_clip_0.mp4,2207199,224x224,25.0
37_4_clip_0,drink,37,4,0,37_4_clip_0.mp4,1980802,224x224,25.0
38_2_clip_0,drink,38,2,0,38_2_clip_0.mp4,1868715,224x224,25.0
38_3_clip_0,drink,38,3,0,38_3_clip_0.mp4,2181695,224x224,25.0
38_4_clip_0,drink,38,4,0,38_4_clip_0.mp4,2394139,224x224,25.0
38_5_clip_0,drink,38,5,0,38_5_clip_0.mp4,1979779,224x224,25.0
39_2_clip_0,drink,39,2,0,39_2_clip_0.mp4,2079895,224x224,25.0
39_3_clip_0,drink,39,3,0,39_3_clip_0.mp4,2382715,224x224,25.0
39_4_clip_0,drink,39,4,0,39_4_clip_0.mp4,2391972,224x224,25.0
3_4_clip_0,drink,3,4,0,3_4_clip_0.mp4,3146754,224x224,25.0
3_5_clip_0,drink,3,5,0,3_5_clip_0.mp4,1677713,224x224,25.0
3_6_clip_0,drink,3,6,0,3_6_clip_0.mp4,2220464,224x224,25.0
40_3_clip_0,drink,40,3,0,40_3_clip_0.mp4,2175734,224x224,25.0
41_3_clip_0,drink,41,3,0,41_3_clip_0.mp4,2605008,224x224,25.0
42_1_clip_0,drink,42,1,0,42_1_clip_0.mp4,3152763,224x224,25.0
43_1_clip_0,drink,43,1,0,43_1_clip_0.mp4,3191571,224x224,25.0
43_3_clip_0,drink,43,3,0,43_3_clip_0.mp4,3196481,224x224,25.0
45_5_clip_0,drink,45,5,0,45_5_clip_0.mp4,2438521,224x224,25.0
46_5_clip_0,drink,46,5,0,46_5_clip_0.mp4,1953598,224x224,25.0
46_6_clip_0,drink,46,6,0,46_6_clip_0.mp4,2198174,224x224,25.0
47_1_clip_0,drink,47,1,0,47_1_clip_0.mp4,3211851,224x224,25.0
47_3_clip_0,drink,47,3,0,47_3_clip_0.mp4,3086756,224x224,25.0
47_5_clip_0,drink,47,5,0,47_5_clip_0.mp4,1864970,224x224,25.0
47_6_clip_0,drink,47,6,0,47_6_clip_0.mp4,2196106,224x224,25.0
48_3_clip_0,drink,48,3,0,48_3_clip_0.mp4,2562235,224x224,25.0
48_4_clip_0,drink,48,4,0,48_4_clip_0.mp4,1969293,224x224,25.0
48_6_clip_0,drink,48,6,0,48_6_clip_0.mp4,2751346,224x224,25.0
49_3_clip_0,drink,49,3,0,49_3_clip_0.mp4,2892257,224x224,25.0
49_5_clip_0,drink,49,5,0,49_5_clip_0.mp4,1447781,224x224,25.0
49_6_clip_0,drink,49,6,0,49_6_clip_0.mp4,2298198,224x224,25.0
4_3_clip_0,drink,4,3,0,4_3_clip_0.mp4,2803564,224x224,25.0
4_4_clip_0,drink,4,4,0,4_4_clip_0.mp4,1534747,224x224,25.0
4_5_clip_0,drink,4,5,0,4_5_clip_0.mp4,2109540,224x224,25.0
50_1_clip_0,drink,50,1,0,50_1_clip_0.mp4,3213490,224x224,25.0
50_2_clip_0,drink,50,2,0,50_2_clip_0.mp4,2796947,224x224,25.0
50_6_clip_0,drink,50,6,0,50_6_clip_0.mp4,2142345,224x224,25.0
51_1_clip_0,drink,51,1,0,51_1_clip_0.mp4,3123733,224x224,25.0
51_8_clip_0,drink,51,8,0,51_8_clip_0.mp4,1156722,224x224,25.0
52_3_clip_0,drink,52,3,0,52_3_clip_0.mp4,2582932,224x224,25.0
52_4_clip_0,drink,52,4,0,52_4_clip_0.mp4,1876068,224x224,25.0
52_5_clip_0,drink,52,5,0,52_5_clip_0.mp4,2440129,224x224,25.0
53_3_clip_0,drink,53,3,0,53_3_clip_0.mp4,2446117,224x224,25.0
53_4_clip_0,drink,53,4,0,53_4_clip_0.mp4,1858009,224x224,25.0
53_5_clip_0,drink,53,5,0,53_5_clip_0.mp4,2308729,224x224,25.0
54_2_clip_0,drink,54,2,0,54_2_clip_0.mp4,2299478,224x224,25.0
54_4_clip_0,drink,54,4,0,54_4_clip_0.mp4,1863664,224x224,25.0
54_5_clip_0,drink,54,5,0,54_5_clip_0.mp4,2515053,224x224,25.0
55_1_clip_0,drink,55,1,0,55_1_clip_0.mp4,2430636,224x224,25.0
55_3_clip_0,drink,55,3,0,55_3_clip_0.mp4,2344030,224x224,25.0
55_4_clip_0,drink,55,4,0,55_4_clip_0.mp4,2093253,224x224,25.0
55_5_clip_0,drink,55,5,0,55_5_clip_0.mp4,2232298,224x224,25.0
56_1_clip_0,drink,56,1,0,56_1_clip_0.mp4,3087422,224x224,25.0
56_3_clip_0,drink,56,3,0,56_3_clip_0.mp4,1846021,224x224,25.0
56_5_clip_0,drink,56,5,0,56_5_clip_0.mp4,2508957,224x224,25.0
57_1_clip_0,drink,57,1,0,57_1_clip_0.mp4,1746602,224x224,25.0
57_3_clip_0,drink,57,3,0,57_3_clip_0.mp4,1895799,224x224,25.0
57_4_clip_0,drink,57,4,0,57_4_clip_0.mp4,1870781,224x224,25.0
58_3_clip_0,drink,58,3,0,58_3_clip_0.mp4,2109793,224x224,25.0
59_6_clip_0,drink,59,6,0,59_6_clip_0.mp4,2225161,224x224,25.0
5_3_clip_0,drink,5,3,0,5_3_clip_0.mp4,2257024,224x224,25.0
5_5_clip_0,drink,5,5,0,5_5_clip_0.mp4,1487801,224x224,25.0
5_6_clip_0,drink,5,6,0,5_6_clip_0.mp4,1767598,224x224,25.0
61_2_clip_0,drink,61,2,0,61_2_clip_0.mp4,3194573,224x224,25.0
62_3_clip_0,drink,62,3,0,62_3_clip_0.mp4,3027462,224x224,25.0
62_6_clip_0,drink,62,6,0,62_6_clip_0.mp4,1996302,224x224,25.0
63_3_clip_0,drink,63,3,0,63_3_clip_0.mp4,3007225,224x224,25.0
64_3_clip_0,drink,64,3,0,64_3_clip_0.mp4,2741101,224x224,25.0
65_3_clip_0,drink,65,3,0,65_3_clip_0.mp4,2163799,224x224,25.0
66_1_clip_0,drink,66,1,0,66_1_clip_0.mp4,2954820,224x224,25.0
66_2_clip_0,drink,66,2,0,66_2_clip_0.mp4,2330324,224x224,25.0
66_6_clip_0,drink,66,6,0,66_6_clip_0.mp4,2599617,224x224,25.0
69_3_clip_0,drink,69,3,0,69_3_clip_0.mp4,3175690,224x224,25.0
6_4_clip_0,drink,6,4,0,6_4_clip_0.mp4,2416987,224x224,25.0
6_5_clip_0,drink,6,5,0,6_5_clip_0.mp4,2149324,224x224,25.0
6_6_clip_0,drink,6,6,0,6_6_clip_0.mp4,2375331,224x224,25.0
70_3_clip_0,drink,70,3,0,70_3_clip_0.mp4,2562616,224x224,25.0
71_3_clip_0,drink,71,3,0,71_3_clip_0.mp4,2249373,224x224,25.0
72_3_clip_0,drink,72,3,0,72_3_clip_0.mp4,2612214,224x224,25.0
73_3_clip_0,drink,73,3,0,73_3_clip_0.mp4,2759384,224x224,25.0
74_1_clip_0,drink,74,1,0,74_1_clip_0.mp4,2065451,224x224,25.0
74_3_clip_0,drink,74,3,0,74_3_clip_0.mp4,2910423,224x224,25.0
74_4_clip_0,drink,74,4,0,74_4_clip_0.mp4,2106802,224x224,25.0
75_1_clip_0,drink,75,1,0,75_1_clip_0.mp4,2769123,224x224,25.0
76_2_clip_0,drink,76,2,0,76_2_clip_0.mp4,2700915,224x224,25.0
77_1_clip_0,drink,77,1,0,77_1_clip_0.mp4,2378473,224x224,25.0
78_3_clip_0,drink,78,3,0,78_3_clip_0.mp4,3015496,224x224,25.0
78_5_clip_0,drink,78,5,0,78_5_clip_0.mp4,2585574,224x224,25.0
