cut_name,n_frames,n_boxes,n_tracks,primary_beh_tag,primary_ani_tag,camera,date,time
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,450,3600,13,beh7,ani1,gopro1,20200322,222554
0004_arm01_gopro1_20200322_222554_beh1_ani2_ins1_cut_39,450,3505,11,beh1,ani2,gopro1,20200322,222554
0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_1,450,2700,6,beh7,ani8,gopro1,20200322,233642
0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_2,450,2930,8,beh7,ani8,gopro1,20200322,233642
0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_4,450,902,7,beh7,ani8,gopro1,20200322,233642
0047_arm01_gopro1_20200322_235424_beh7_ani1_ins1_cut_1,450,2699,13,beh7,ani1,gopro1,20200322,235424
0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2,450,923,4,beh8,ani1,gopro1,20200322,235424
0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_3,450,2699,15,beh8,ani1,gopro1,20200322,235424
0054_arm01_gopro1_20200322_235424_beh5_ani2_ins1_cut_2,450,2284,8,beh5,ani2,gopro1,20200322,235424
0055_arm01_gopro1_20200322_235424_beh7_ani2_ins1_cut_1,450,2700,10,beh7,ani2,gopro1,20200322,235424
0071_arm01_gopro1_20200322_235424_beh1_ani6_ins4_cut_16,450,3150,8,beh1,ani6,gopro1,20200322,235424
0082_arm01_gopro1_20200323_001206_beh7_ani4_ins1_cut_1,450,2335,12,beh7,ani4,gopro1,20200323,001206
0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_2,450,2840,8,beh7,ani2,gopro1,20200323,002948
0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_4,450,902,7,beh7,ani2,gopro1,20200323,002948
0098_arm01_gopro1_20200323_002948_beh7_ani3_ins1_cut_1,450,3600,11,beh7,ani3,gopro1,20200323,002948
0098_arm01_gopro1_20200323_002948_beh7_ani3_ins1_cut_2,450,3315,9,beh7,ani3,gopro1,20200323,002948
0104_arm01_gopro1_20200323_002948_beh1_ani4_ins1_cut_61,450,3019,9,beh1,ani4,gopro1,20200323,002948
0113_arm01_gopro1_20200323_004730_beh7_ani1_ins1_cut_2,450,3118,11,beh7,ani1,gopro1,20200323,004730
