sample_id,dataset,t,frame_index,tracklet_id,bbox,prompt_strategy,fallback_used,mask_success,mask_pixels,mask_area_ratio,failure_reason
beef_00000000109000000_1_clip_125,beef_cattle_behavior,0,0,1.0,already_cached,beef_cached,False,True,11500,0.2292,
beef_00000000109000000_1_clip_125,beef_cattle_behavior,1,1,1.0,already_cached,beef_cached,False,True,14680,0.2926,
beef_00000000109000000_1_clip_125,beef_cattle_behavior,2,2,1.0,already_cached,beef_cached,False,True,12995,0.259,
beef_00000000109000000_1_clip_125,beef_cattle_behavior,3,3,1.0,already_cached,beef_cached,False,True,12309,0.2453,
beef_00000000109000000_1_clip_125,beef_cattle_behavior,4,4,1.0,already_cached,beef_cached,False,True,18824,0.3752,
beef_00000000109000000_1_clip_125,beef_cattle_behavior,5,5,1.0,already_cached,beef_cached,False,True,18972,0.3781,
beef_00000000109000000_1_clip_125,beef_cattle_behavior,6,6,1.0,already_cached,beef_cached,False,True,18915,0.377,
beef_00000000109000000_1_clip_125,beef_cattle_behavior,7,7,1.0,already_cached,beef_cached,False,True,14006,0.2791,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,0,0,1.0,already_cached,beef_cached,False,True,13941,0.2778,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,1,1,1.0,already_cached,beef_cached,False,True,14551,0.29,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,2,2,1.0,already_cached,beef_cached,False,True,18076,0.3603,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,3,3,1.0,already_cached,beef_cached,False,True,19024,0.3791,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,4,4,1.0,already_cached,beef_cached,False,True,19074,0.3801,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,5,5,1.0,already_cached,beef_cached,False,True,19040,0.3795,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,6,6,1.0,already_cached,beef_cached,False,True,19172,0.3821,
beef_00000000109000000_1_clip_126,beef_cattle_behavior,7,7,1.0,already_cached,beef_cached,False,True,18992,0.3785,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,0,0,1.0,already_cached,beef_cached,False,True,19187,0.3824,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,1,1,1.0,already_cached,beef_cached,False,True,18790,0.3745,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,2,2,1.0,already_cached,beef_cached,False,True,18956,0.3778,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,3,3,1.0,already_cached,beef_cached,False,True,19001,0.3787,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,4,4,1.0,already_cached,beef_cached,False,True,18441,0.3675,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,5,5,1.0,already_cached,beef_cached,False,True,18552,0.3697,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,6,6,1.0,already_cached,beef_cached,False,True,18873,0.3761,
beef_00000000109000000_1_clip_127,beef_cattle_behavior,7,7,1.0,already_cached,beef_cached,False,True,18725,0.3732,
cvb_0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2_tr2_seg0,cvb,0,0,2.0,already_cached,cvb_gt_bbox,False,True,23816,0.4746,
cvb_0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2_tr2_seg0,cvb,1,1,2.0,already_cached,cvb_gt_bbox,False,True,24090,0.4801,
