dataset,behavior_canonical,split,sample_id,t,detector_success,pose_returned,status,infer_ms,mean_conf,median_conf,points_conf_ge_02,points_conf_ge_05,mask_containment_sanity_rate_all,mask_containment_sanity_rate_conf02,mask_inside_count,nose_x,nose_y,nose_conf,nose_in_mask,upper_jaw_x,upper_jaw_y,upper_jaw_conf,upper_jaw_in_mask,lower_jaw_x,lower_jaw_y,lower_jaw_conf,lower_jaw_in_mask,mouth_end_right_x,mouth_end_right_y,mouth_end_right_conf,mouth_end_right_in_mask,mouth_end_left_x,mouth_end_left_y,mouth_end_left_conf,mouth_end_left_in_mask,right_eye_x,right_eye_y,right_eye_conf,right_eye_in_mask,right_earbase_x,right_earbase_y,right_earbase_conf,right_earbase_in_mask,right_earend_x,right_earend_y,right_earend_conf,right_earend_in_mask,right_antler_base_x,right_antler_base_y,right_antler_base_conf,right_antler_base_in_mask,right_antler_end_x,right_antler_end_y,right_antler_end_conf,right_antler_end_in_mask,left_eye_x,left_eye_y,left_eye_conf,left_eye_in_mask,left_earbase_x,left_earbase_y,left_earbase_conf,left_earbase_in_mask,left_earend_x,left_earend_y,left_earend_conf,left_earend_in_mask,left_antler_base_x,left_antler_base_y,left_antler_base_conf,left_antler_base_in_mask,left_antler_end_x,left_antler_end_y,left_antler_end_conf,left_antler_end_in_mask,neck_base_x,neck_base_y,neck_base_conf,neck_base_in_mask,neck_end_x,neck_end_y,neck_end_conf,neck_end_in_mask,throat_base_x,throat_base_y,throat_base_conf,throat_base_in_mask,throat_end_x,throat_end_y,throat_end_conf,throat_end_in_mask,back_base_x,back_base_y,back_base_conf,back_base_in_mask,back_end_x,back_end_y,back_end_conf,back_end_in_mask,back_middle_x,back_middle_y,back_middle_conf,back_middle_in_mask,tail_base_x,tail_base_y,tail_base_conf,tail_base_in_mask,tail_end_x,tail_end_y,tail_end_conf,tail_end_in_mask,front_left_thai_x,front_left_thai_y,front_left_thai_conf,front_left_thai_in_mask,front_left_knee_x,front_left_knee_y,front_left_knee_conf,front_left_knee_in_mask,front_left_paw_x,front_left_paw_y,front_left_paw_conf,front_left_paw_in_mask,front_right_thai_x,front_right_thai_y,front_right_thai_conf,front_right_thai_in_mask,front_right_knee_x,front_right_knee_y,front_right_knee_conf,front_right_knee_in_mask,front_right_paw_x,front_right_paw_y,front_right_paw_conf,front_right_paw_in_mask,back_left_paw_x,back_left_paw_y,back_left_paw_conf,back_left_paw_in_mask,back_left_thai_x,back_left_thai_y,back_left_thai_conf,back_left_thai_in_mask,back_right_thai_x,back_right_thai_y,back_right_thai_conf,back_right_thai_in_mask,back_left_knee_x,back_left_knee_y,back_left_knee_conf,back_left_knee_in_mask,back_right_knee_x,back_right_knee_y,back_right_knee_conf,back_right_knee_in_mask,back_right_paw_x,back_right_paw_y,back_right_paw_conf,back_right_paw_in_mask,belly_bottom_x,belly_bottom_y,belly_bottom_conf,belly_bottom_in_mask,body_middle_right_x,body_middle_right_y,body_middle_right_conf,body_middle_right_in_mask,body_middle_left_x,body_middle_left_y,body_middle_left_conf,body_middle_left_in_mask
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,0,True,True,pose_output_returned,1794.78,0.4303,0.3942,34,14,1.0,1.0,39,211.98,72.28,0.7388,1,212.37,78.04,0.6613,1,209.91,83.61,0.5214,1,204.8,78.01,0.5633,1,214.7,80.98,0.594,1,197.86,48.26,0.5999,1,174.79,40.36,0.1913,1,200.97,42.97,0.135,1,192.47,35.64,0.2269,1,211.13,28.29,0.3419,1,211.54,47.21,0.6677,1,214.12,29.89,0.2841,1,216.44,36.05,0.3489,1,209.94,30.56,0.4094,1,212.99,29.58,0.4417,1,65.47,49.04,0.3131,1,59.97,22.15,0.1687,1,180.95,95.02,0.2634,1,173.65,97.42,0.3881,1,53.75,17.59,0.2135,1,58.68,11.57,0.7922,1,87.29,9.99,0.4216,1,54.83,15.87,0.7886,1,55.85,152.79,0.1824,1,144.85,111.18,0.4649,1,101.27,140.06,0.3942,1,93.66,194.05,0.5151,1,143.87,112.69,0.782,1,154.74,141.22,0.5226,1,97.48,189.38,0.4657,1,162.07,183.73,0.5911,1,193.22,103.59,0.1848,1,191.41,101.68,0.2855,1,214.18,142.48,0.3811,1,153.71,144.8,0.3729,1,210.63,203.03,0.3855,1,119.01,115.25,0.5176,1,94.21,68.26,0.3385,1,92.01,70.69,0.3212,1
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,1,True,True,pose_output_returned,188.61,0.3445,0.3599,25,10,0.9744,0.96,38,211.58,77.89,0.1797,1,212.93,86.9,0.1257,1,208.41,93.44,0.1175,1,201.01,84.27,0.1629,1,213.91,82.1,0.1448,1,204.07,57.16,0.4278,1,210.16,28.24,0.0796,1,213.36,25.14,0.0683,1,204.49,54.27,0.1622,1,211.25,32.15,0.1236,1,210.65,58.09,0.4956,1,214.39,33.36,0.0992,1,216.8,27.7,0.189,1,213.62,44.87,0.175,1,217.43,27.27,0.409,1,147.43,60.6,0.5579,1,83.39,24.12,0.1782,1,192.86,85.69,0.1675,1,169.45,101.49,0.2854,1,83.89,18.49,0.2477,1,66.45,8.56,0.4903,1,86.18,13.52,0.4083,1,62.6,10.33,0.5075,1,127.02,152.57,0.2706,0,151.37,110.55,0.7642,1,158.26,141.61,0.5386,1,99.48,190.83,0.4248,1,98.14,108.78,0.6102,1,94.17,146.26,0.4353,1,95.76,192.75,0.6446,1,211.75,207.82,0.3599,1,194.9,97.29,0.5539,1,195.06,98.17,0.5983,1,216.47,147.43,0.618,1,214.07,144.77,0.5234,1,213.51,205.72,0.3832,1,174.29,107.72,0.439,1,100.31,61.44,0.234,1,171.94,82.61,0.2348,1
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,2,False,False,pose_detector_failure,135.21,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,3,True,True,pose_output_returned,146.0,0.2661,0.2376,22,6,1.0,1.0,39,167.3,33.48,0.0617,1,167.5,38.97,0.1218,1,164.36,47.22,0.1465,1,161.49,35.71,0.1372,1,47.34,95.51,0.0779,1,154.01,21.3,0.069,1,153.8,28.27,0.0409,1,116.44,25.44,0.0708,1,154.86,16.06,0.1412,1,9.99,94.39,0.2376,1,171.59,15.69,0.1278,1,167.54,18.69,0.0439,1,168.64,16.06,0.1066,1,168.07,17.52,0.1748,1,169.25,15.58,0.2159,1,74.44,42.07,0.4383,1,82.17,15.75,0.3255,1,170.42,51.47,0.0381,1,164.28,105.73,0.1273,1,75.65,13.12,0.5117,1,66.55,6.22,0.5888,1,84.36,9.15,0.3547,1,64.9,9.65,0.5786,1,124.02,148.51,0.1245,1,87.02,102.71,0.5403,1,96.36,139.06,0.2473,1,92.75,191.17,0.636,1,150.33,111.47,0.5162,1,92.49,140.46,0.3531,1,98.7,189.33,0.3606,1,163.51,179.23,0.3476,1,202.1,99.77,0.3899,1,205.88,97.07,0.4333,1,154.42,135.91,0.4212,1,154.39,128.25,0.2732,1,165.52,181.57,0.3145,1,125.24,113.45,0.3013,1,189.64,66.76,0.224,1,68.64,66.24,0.1591,1
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,4,True,True,pose_output_returned,143.84,0.2868,0.2255,24,7,0.9744,0.9583,38,210.01,86.51,0.1406,1,206.86,93.92,0.0957,1,205.71,97.04,0.173,1,206.32,94.82,0.1632,1,207.28,92.83,0.1077,1,207.43,68.39,0.2246,1,136.45,32.91,0.0391,1,195.88,63.35,0.1241,1,208.33,56.89,0.1022,1,210.42,51.38,0.0969,1,213.95,64.42,0.3186,1,120.0,26.72,0.046,1,120.38,24.33,0.0658,1,212.19,50.91,0.1034,1,118.96,24.97,0.2111,1,75.0,39.27,0.5616,1,91.19,19.18,0.2255,1,174.9,89.85,0.1779,1,167.26,106.44,0.3891,1,77.72,13.9,0.2485,1,62.71,9.68,0.7209,1,87.35,11.4,0.3158,1,59.15,14.12,0.697,1,129.48,152.42,0.2268,0,92.2,106.97,0.5018,1,100.71,142.3,0.4021,1,95.58,189.86,0.6278,1,145.66,114.82,0.7859,1,153.65,138.27,0.4175,1,141.19,167.34,0.5579,1,163.92,179.43,0.3167,1,204.26,96.24,0.2909,1,87.07,104.04,0.2069,1,156.28,142.59,0.2192,1,158.68,142.58,0.165,1,163.33,180.09,0.0992,1,116.15,114.61,0.4342,1,190.36,65.87,0.2863,1,90.33,70.8,0.2986,1
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,5,True,True,pose_output_returned,141.39,0.3151,0.2866,23,7,0.9487,1.0,37,219.4,59.08,0.1125,1,34.85,89.81,0.04,1,37.27,95.09,0.0763,1,40.3,160.81,0.0794,0,44.43,161.83,0.0833,0,206.46,55.71,0.3552,1,209.27,29.15,0.0581,1,213.42,25.79,0.1373,1,205.6,50.82,0.1405,1,207.43,46.87,0.1092,1,213.32,54.05,0.4494,1,176.49,39.59,0.0507,1,170.71,33.42,0.083,1,210.71,42.93,0.1449,1,215.49,42.91,0.1585,1,54.88,37.49,0.492,1,65.85,20.07,0.2185,1,183.52,88.44,0.1673,1,185.23,91.11,0.2973,1,58.89,17.57,0.3272,1,44.62,15.96,0.2856,1,66.38,14.21,0.2941,1,194.81,59.14,0.2866,1,39.76,50.75,0.2032,1,104.52,107.39,0.746,1,111.09,142.25,0.4458,1,101.13,186.37,0.548,1,103.26,108.95,0.8299,1,101.26,143.29,0.7089,1,101.15,185.82,0.6154,1,161.91,181.56,0.4831,1,148.91,108.03,0.4342,1,151.78,107.55,0.3311,1,154.88,143.5,0.4753,1,158.24,145.05,0.6014,1,161.98,183.17,0.6903,1,126.01,114.77,0.4358,1,148.85,58.82,0.1353,1,129.25,54.77,0.158,1
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,6,False,False,pose_detector_failure,123.88,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,7,True,True,pose_output_returned,148.53,0.2836,0.2505,22,6,0.9231,0.9545,36,222.1,76.54,0.06,1,96.6,194.38,0.1039,1,195.43,80.26,0.0848,1,46.76,171.09,0.0821,0,45.42,169.15,0.0768,0,209.35,58.0,0.0815,1,123.18,133.04,0.0837,1,44.5,89.78,0.0804,1,91.58,55.87,0.0734,1,127.87,20.42,0.1775,1,218.3,50.58,0.1296,1,194.03,88.11,0.0452,1,166.18,3.95,0.0518,1,153.91,15.67,0.098,1,169.2,5.51,0.1734,1,81.45,39.82,0.4845,1,71.14,19.42,0.3473,1,173.86,85.01,0.1147,1,169.99,93.69,0.2904,1,67.22,15.19,0.4286,1,206.76,46.49,0.2024,1,73.28,10.52,0.3376,1,213.54,50.46,0.2755,1,128.04,147.85,0.2585,0,86.81,105.47,0.8402,1,95.25,140.47,0.5211,1,94.11,188.06,0.8206,1,146.89,112.43,0.6698,1,161.59,142.08,0.473,1,101.57,187.25,0.3832,1,165.82,178.99,0.6451,1,84.07,103.71,0.2915,1,90.28,102.88,0.2553,1,93.49,141.46,0.2574,1,158.74,144.19,0.3786,1,210.76,202.9,0.1497,1,120.35,109.33,0.7338,1,192.98,60.93,0.2505,1,91.07,67.45,0.247,1
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,0,False,False,pose_detector_failure,120.46,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,1,False,False,pose_detector_failure,131.28,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
