sample_id,dataset,behavior_canonical,split,pose_returned_frames,detector_success_frames,all_8_frames_pose,mean_keypoint_conf,mask_containment_sanity_rate_all,mask_containment_sanity_rate_conf02,transitions_evaluated,mean_frame_displacement_norm,max_frame_displacement_norm,jumps_gt_025_count,temporal_stability_flag
cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,cvb,Standing,train,6,6,False,0.3211,0.7276,0.7341,3,0.12,0.1562,11,SEVERE_INSTABILITY
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,cvb,Standing,train,1,1,False,0.2223,0.1218,0.1187,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,cvb,Standing,train,1,1,False,0.3139,0.1186,0.125,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,cvb,Standing,train,2,2,False,0.3285,0.1218,0.1185,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,cvb,Standing,val,2,2,False,0.4291,0.2212,0.2208,1,0.1131,0.1131,3,PARTIAL_DETECTION_FAILURE
cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,cvb,Standing,val,8,8,True,0.5223,0.968,0.9668,7,0.1946,0.4221,57,SEVERE_INSTABILITY
cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,cvb,Lying,train,1,1,False,0.3021,0.125,0.125,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,cvb,Lying,train,2,2,False,0.3517,0.2019,0.2028,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,cvb,Lying,train,3,3,False,0.2889,0.3429,0.3253,2,0.2059,0.2242,12,PARTIAL_DETECTION_FAILURE
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,cvb,Lying,train,2,2,False,0.249,0.25,0.25,0,0.0,0.0,0,PARTIAL_DETECTION_FAILURE
cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,cvb,Lying,val,5,5,False,0.2916,0.6186,0.625,2,0.1597,0.2751,7,PARTIAL_DETECTION_FAILURE
