dataset,behavior_canonical,split,sample_id,t,pred_viewpoint,confidence,entropy_nats,prob_front,prob_side,prob_rear,low_confidence_flag
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,0,side,0.7826,0.6437,0.0525,0.7826,0.1649,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,1,side,0.53,1.0011,0.174,0.53,0.296,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,2,side,0.5827,0.9224,0.1123,0.5827,0.3051,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,3,side,0.749,0.6449,0.025,0.749,0.226,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,4,side,0.7812,0.5948,0.0211,0.7812,0.1976,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,5,side,0.6144,0.8779,0.0913,0.6144,0.2943,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,6,side,0.5533,0.822,0.0399,0.5533,0.4067,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,7,side,0.6418,0.7495,0.0276,0.6418,0.3306,False
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,0,rear,0.6342,0.8709,0.2661,0.0997,0.6342,False
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,1,rear,0.5328,0.9955,0.3003,0.1669,0.5328,False
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,2,rear,0.4405,1.0591,0.3437,0.2158,0.4405,True
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,3,rear,0.5023,1.0373,0.2636,0.2342,0.5023,False
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,4,rear,0.5365,0.9982,0.2875,0.176,0.5365,False
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,5,rear,0.6229,0.8936,0.2634,0.1138,0.6229,False
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,6,rear,0.564,0.979,0.2599,0.176,0.564,False
cvb,Standing,train,cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,7,rear,0.5457,1.0035,0.2362,0.2182,0.5457,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,0,side,0.4657,1.0596,0.2872,0.4657,0.2471,True
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,1,side,0.6154,0.9315,0.2085,0.6154,0.1761,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,2,side,0.5258,1.0173,0.2098,0.5258,0.2644,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,3,side,0.5329,0.9921,0.3056,0.5329,0.1615,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,4,side,0.6631,0.872,0.1591,0.6631,0.1778,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,5,side,0.6232,0.9068,0.1325,0.6232,0.2443,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,6,side,0.7509,0.7326,0.1371,0.7509,0.1119,False
cvb,Standing,train,cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,7,side,0.6645,0.8679,0.147,0.6645,0.1884,False
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,0,front,0.7537,0.7181,0.7537,0.087,0.1593,False
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,1,front,0.4661,1.0567,0.4661,0.3005,0.2335,True
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,2,front,0.57,0.9785,0.57,0.1899,0.2402,False
cvb,Standing,train,cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,3,front,0.5948,0.955,0.5948,0.1883,0.2169,False
