sample_id,dataset,behavior_canonical,split,majority_viewpoint,pct_front,pct_side,pct_rear,mean_confidence,mean_entropy_nats,transition_stability_rate,class_switches_count,temporal_probability_variance,is_temporally_constant
cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00066_tr2_seg0,cvb,Standing,train,side,0.0,1.0,0.0,0.6544,0.782,1.0,0,0.005714,True
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00077_tr3_seg0,cvb,Standing,train,rear,0.0,0.0,1.0,0.5473,0.9796,1.0,0,0.00214,True
cvb_1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009_tr2_seg0,cvb,Standing,train,side,0.0,1.0,0.0,0.6052,0.9225,1.0,0,0.004587,True
cvb_0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6_tr4_seg0,cvb,Standing,train,front,0.625,0.0,0.375,0.5583,0.9411,0.5714,3,0.025708,False
cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr0_seg0,cvb,Standing,val,side,0.0,1.0,0.0,0.6717,0.8147,1.0,0,0.007529,True
cvb_1297_arm01_gopro3_20200326_033755_beh5_ani8_ins3_cut_00023_tr0_seg0,cvb,Standing,val,side,0.0,1.0,0.0,0.9636,0.1765,1.0,0,0.000176,True
cvb_1332_arm01_gopro4_20200323_035752_beh6_ani2_ins1_cut_00048_tr3_seg0,cvb,Lying,train,side,0.0,0.75,0.25,0.5464,0.9826,0.7143,2,0.014405,False
cvb_0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15_tr3_seg0,cvb,Lying,train,side,0.125,0.875,0.0,0.7863,0.6059,0.7143,2,0.030074,False
cvb_1259_arm01_gopro3_20200326_032013_beh6_ani1_ins1_cut_00005_tr3_seg0,cvb,Lying,train,side,0.0,1.0,0.0,0.6877,0.7398,1.0,0,0.004484,True
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00047_tr1_seg0,cvb,Lying,train,side,0.0,1.0,0.0,0.6133,0.9044,1.0,0,0.004931,True
cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,cvb,Lying,val,rear,0.25,0.0,0.75,0.5358,0.9507,0.4286,4,0.007616,False
cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,cvb,Lying,val,side,0.0,1.0,0.0,0.6036,0.9174,1.0,0,0.006064,True
cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,cvb,Feeding,train,side,0.0,0.625,0.375,0.6252,0.8345,0.5714,3,0.021464,False
cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,cvb,Feeding,train,side,0.0,0.75,0.25,0.6239,0.8602,0.7143,2,0.018113,False
cvb_0925_arm01_gopro1_20200326_223144_beh1_ani3_ins1_cut_00028_tr8_seg0,cvb,Feeding,train,side,0.0,1.0,0.0,0.7756,0.6804,1.0,0,0.001098,True
cvb_0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1_tr4_seg0,cvb,Feeding,train,rear,0.0,0.125,0.875,0.7062,0.7473,0.8571,1,0.013159,False
cvb_1227_arm01_gopro3_20200325_020417_beh3_ani8_ins1_cut_00007_tr0_seg0,cvb,Feeding,val,rear,0.25,0.25,0.5,0.5869,0.8636,0.2857,5,0.043024,False
cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_3_tr4_seg0,cvb,Feeding,val,rear,0.0,0.5,0.5,0.6283,0.7346,0.4286,4,0.027262,False
cvb_1030_arm01_gopro1_20200327_005320_beh7_ani6_ins1_cut_00001_tr8_seg0,cvb,Drinking,train,side,0.125,0.875,0.0,0.8981,0.3495,0.8571,1,0.033959,False
cvb_0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_2_tr0_seg0,cvb,Drinking,train,side,0.0,1.0,0.0,0.865,0.4198,1.0,0,0.010048,True
cvb_0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_3_tr10_seg0,cvb,Drinking,train,side,0.0,1.0,0.0,0.9531,0.2016,1.0,0,0.000388,True
cvb_0190_arm01_gopro1_20200323_014036_beh7_ani6_ins1_cut_2_tr4_seg0,cvb,Drinking,train,side,0.0,1.0,0.0,0.8504,0.4951,1.0,0,0.002833,True
cvb_0680_arm01_gopro1_20200325_002001_beh8_ani8_ins4_cut_2_tr3_seg0,cvb,Drinking,val,side,0.0,1.0,0.0,0.7595,0.6241,1.0,0,0.012063,True
cvb_0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_4_tr5_seg0,cvb,Drinking,val,side,0.0,0.75,0.25,0.529,0.9333,0.4286,4,0.0054,False
cvb_0082_arm01_gopro1_20200323_001206_beh7_ani4_ins1_cut_1_tr1_seg0,cvb,Walking,train,rear,0.0,0.375,0.625,0.6398,0.8125,0.7143,2,0.027525,False
cvb_0541_arm01_gopro1_20200324_223349+0000_beh7_ani1_ins1_cut_1_tr12_seg0,cvb,Walking,train,side,0.0,1.0,0.0,0.5797,0.9343,1.0,0,0.005596,True
cvb_1351_arm01_gopro4_20200324_040135_beh3_ani3_ins1_cut_00044_tr1_seg0,cvb,Walking,train,side,0.0,0.625,0.375,0.7901,0.5363,0.8571,1,0.081268,False
cvb_1271_arm01_gopro3_20200326_032013_beh4_ani4_ins1_cut_00005_tr9_seg0,cvb,Walking,train,front,1.0,0.0,0.0,0.8229,0.5136,1.0,0,0.007742,True
cvb_1284_arm01_gopro3_20200326_033755_beh6_ani4_ins1_cut_00003_tr5_seg0,cvb,Walking,val,side,0.0,0.75,0.25,0.6405,0.8167,0.5714,3,0.032614,False
cvb_0742_arm01_gopro1_20200325_025919_beh5_ani5_ins5_cut_8_tr6_seg0,cvb,Walking,val,side,0.0,1.0,0.0,0.7779,0.5921,1.0,0,0.0,True
beef_00000000580000000_10_clip_12,beef_cattle_behavior,Standing,train,front,0.625,0.25,0.125,0.5778,0.8981,0.2857,5,0.030761,False
beef_00000000580000000_27_clip_28,beef_cattle_behavior,Standing,train,front,0.625,0.375,0.0,0.6328,0.7586,0.2857,5,0.024512,False
beef_00000000082000000_5_clip_110,beef_cattle_behavior,Standing,train,front,1.0,0.0,0.0,0.9842,0.0821,1.0,0,9.2e-05,True
beef_00000000580000000_10_clip_42,beef_cattle_behavior,Standing,train,side,0.5,0.5,0.0,0.6181,0.8137,0.4286,4,0.029484,False
beef_186_2_clip_0,beef_cattle_behavior,Standing,val,front,1.0,0.0,0.0,0.7205,0.695,1.0,0,0.016095,True
beef_00000000514000000_71_clip_1,beef_cattle_behavior,Standing,val,rear,0.375,0.0,0.625,0.5101,0.8981,0.5714,3,0.011921,False
beef_00000000111000000_1_clip_73,beef_cattle_behavior,Lying,train,front,0.625,0.0,0.375,0.5743,0.8858,0.5714,3,0.021009,False
beef_00000000580000000_3_clip_1,beef_cattle_behavior,Lying,train,front,1.0,0.0,0.0,0.9978,0.0153,1.0,0,5e-06,True
beef_00000000109000000_4_clip_131,beef_cattle_behavior,Lying,train,front,0.875,0.125,0.0,0.7474,0.6659,0.8571,1,0.019957,False
beef_00000000111000000_4_clip_42,beef_cattle_behavior,Lying,train,front,1.0,0.0,0.0,0.7592,0.6296,1.0,0,0.009541,True
beef_00000000514000000_3_clip_40,beef_cattle_behavior,Lying,val,front,0.75,0.25,0.0,0.5997,0.8873,0.7143,2,0.015653,False
beef_00000000514000000_3_clip_49,beef_cattle_behavior,Lying,val,side,0.375,0.625,0.0,0.5013,1.0091,0.5714,3,0.010776,False
beef_195_4_clip_0,beef_cattle_behavior,Feeding,train,front,1.0,0.0,0.0,0.7578,0.5903,1.0,0,0.004849,True
beef_102_4_clip_0,beef_cattle_behavior,Feeding,train,front,1.0,0.0,0.0,0.9601,0.1499,1.0,0,0.001376,True
beef_154_6_clip_0,beef_cattle_behavior,Feeding,train,front,1.0,0.0,0.0,0.8925,0.3559,1.0,0,0.001839,True
beef_180_1_clip_0,beef_cattle_behavior,Feeding,train,rear,0.5,0.0,0.5,0.6821,0.6377,0.5714,3,0.028627,False
beef_175_2_clip_0,beef_cattle_behavior,Feeding,val,front,1.0,0.0,0.0,0.8949,0.3381,1.0,0,0.002685,True
beef_186_6_clip_0,beef_cattle_behavior,Feeding,val,front,1.0,0.0,0.0,0.9797,0.098,1.0,0,0.000269,True
beef_49_5_clip_0,beef_cattle_behavior,Drinking,train,front,1.0,0.0,0.0,0.9352,0.2154,1.0,0,0.001899,True
beef_29_3_clip_0,beef_cattle_behavior,Drinking,train,front,1.0,0.0,0.0,0.9812,0.0911,1.0,0,8.2e-05,True
beef_82_4_clip_0,beef_cattle_behavior,Drinking,train,front,1.0,0.0,0.0,0.9707,0.1385,1.0,0,0.000374,True
beef_62_6_clip_0,beef_cattle_behavior,Drinking,train,front,1.0,0.0,0.0,0.9786,0.1018,1.0,0,0.000388,True
beef_3_4_clip_0,beef_cattle_behavior,Drinking,val,front,1.0,0.0,0.0,0.9764,0.1105,1.0,0,0.00017,True
beef_12_4_clip_0,beef_cattle_behavior,Drinking,val,front,1.0,0.0,0.0,0.9151,0.3242,1.0,0,0.000284,True
