sample_id,canonical_behavior,session_id,source_video_id,frame_index,prompt_condition,exact_prompt_coordinates,mask_returned,mask_status,inference_time_ms,mask_area_ratio,number_of_connected_components,number_of_cow_detections,rtdetr_failure,selected_box,selected_box_confidence,selected_box_area_ratio
beef_8_2_clip_0,Drinking,8,8,125,A4_largest_rtdetr_box,"{""box"": [7.0, 17.9, 214.0, 208.3]}",True,segmented,350.41,0.284,7,5,False,"[7.0, 17.9, 214.0, 208.3]",0.9288,0.7851
beef_8_2_clip_0,Drinking,8,8,125,A5_rtdetr_box_center_point,"{""box"": [7.0, 17.9, 214.0, 208.3], ""points"": [[110.5, 113.1]], ""labels"": [1]}",True,segmented,141.5,0.2834,8,5,False,"[7.0, 17.9, 214.0, 208.3]",0.9288,0.7851
beef_32_3_clip_0,Drinking,32,32,125,A4_largest_rtdetr_box,"{""box"": [1.3, 25.2, 217.2, 194.9]}",True,segmented,144.91,0.2741,25,7,False,"[1.3, 25.2, 217.2, 194.9]",0.9286,0.7302
beef_32_3_clip_0,Drinking,32,32,125,A5_rtdetr_box_center_point,"{""box"": [1.3, 25.2, 217.2, 194.9], ""points"": [[109.2, 110.0]], ""labels"": [1]}",True,segmented,141.62,0.2782,30,7,False,"[1.3, 25.2, 217.2, 194.9]",0.9286,0.7302
beef_75_1_clip_0,Drinking,75,75,112,A4_largest_rtdetr_box,"{""box"": [7.2, 5.7, 212.5, 220.9]}",True,segmented,141.5,0.2932,7,1,False,"[7.2, 5.7, 212.5, 220.9]",0.9229,0.8807
beef_75_1_clip_0,Drinking,75,75,112,A5_rtdetr_box_center_point,"{""box"": [7.2, 5.7, 212.5, 220.9], ""points"": [[109.8, 113.3]], ""labels"": [1]}",True,segmented,142.88,0.2906,8,1,False,"[7.2, 5.7, 212.5, 220.9]",0.9229,0.8807
beef_79_2_clip_0,Drinking,79,79,125,A4_largest_rtdetr_box,"{""box"": [5.7, 23.4, 220.4, 204.3]}",True,segmented,138.19,0.3081,18,3,False,"[5.7, 23.4, 220.4, 204.3]",0.9409,0.774
beef_79_2_clip_0,Drinking,79,79,125,A5_rtdetr_box_center_point,"{""box"": [5.7, 23.4, 220.4, 204.3], ""points"": [[113.0, 113.9]], ""labels"": [1]}",True,segmented,140.21,0.2876,13,3,False,"[5.7, 23.4, 220.4, 204.3]",0.9409,0.774
beef_00000000082000000_4_clip_2,Drinking,82000000,82000000,125,A4_largest_rtdetr_box,"{""box"": [6.1, 25.3, 201.8, 181.7]}",True,segmented,140.51,0.2462,14,8,False,"[6.1, 25.3, 201.8, 181.7]",0.7938,0.6102
beef_00000000082000000_4_clip_2,Drinking,82000000,82000000,125,A5_rtdetr_box_center_point,"{""box"": [6.1, 25.3, 201.8, 181.7], ""points"": [[104.0, 103.5]], ""labels"": [1]}",True,segmented,140.29,0.246,12,8,False,"[6.1, 25.3, 201.8, 181.7]",0.7938,0.6102
beef_26_3_clip_0,Drinking,26,26,125,A4_largest_rtdetr_box,"{""box"": [1.8, 19.8, 222.1, 201.7]}",True,segmented,139.6,0.2379,104,4,False,"[1.8, 19.8, 222.1, 201.7]",0.3474,0.7985
