sample_id,canonical_behavior,session_id,frame_index,prompt_condition,exact_prompt_coordinates,mask_returned,mask_status,inference_time_ms,mask_area_ratio,number_of_connected_components,number_of_cow_detections,selected_box,selected_box_confidence,selected_box_area_ratio
beef_31_1_clip_0,Drinking,31,125,A0_full_crop,"{""box"": [0.0, 0.0, 223.0, 223.0]}",False,sam_no_mask,356.97,0.0,0,5,,,
beef_31_1_clip_0,Drinking,31,125,A1_center_point,"{""points"": [[112.0, 112.0]], ""labels"": [1]}",True,segmented,162.82,0.014,1,5,,,
beef_31_1_clip_0,Drinking,31,125,A2_multipoint,"{""points"": [[112.0, 112.0], [78.4, 112.0], [145.6, 112.0], [112.0, 78.4], [112.0, 145.6]], ""labels"": [1, 1, 1, 1, 1]}",True,segmented,149.33,0.3389,8,5,,,
beef_31_1_clip_0,Drinking,31,125,A3_center_negcorners,"{""points"": [[112.0, 112.0], [17.9, 17.9], [206.1, 17.9], [17.9, 206.1], [206.1, 206.1]], ""labels"": [1, 0, 0, 0, 0]}",True,segmented,143.27,0.014,12,5,,,
beef_31_1_clip_0,Drinking,31,125,A4_largest_rtdetr_box,"{""box"": [2.6, 29.4, 217.6, 200.1]}",True,segmented,146.07,0.3328,9,5,"[2.6, 29.4, 217.6, 200.1]",0.9635,0.7311
beef_31_1_clip_0,Drinking,31,125,A5_rtdetr_box_center_point,"{""box"": [2.6, 29.4, 217.6, 200.1], ""points"": [[110.1, 114.8]], ""labels"": [1]}",True,segmented,148.26,0.3345,7,5,"[2.6, 29.4, 217.6, 200.1]",0.9635,0.7311
beef_24_2_clip_0,Drinking,24,125,A0_full_crop,"{""box"": [0.0, 0.0, 223.0, 223.0]}",False,sam_no_mask,148.12,0.0,0,3,,,
beef_24_2_clip_0,Drinking,24,125,A1_center_point,"{""points"": [[112.0, 112.0]], ""labels"": [1]}",True,segmented,147.59,0.0284,1,3,,,
beef_24_2_clip_0,Drinking,24,125,A2_multipoint,"{""points"": [[112.0, 112.0], [78.4, 112.0], [145.6, 112.0], [112.0, 78.4], [112.0, 145.6]], ""labels"": [1, 1, 1, 1, 1]}",True,segmented,144.38,0.2688,16,3,,,
beef_24_2_clip_0,Drinking,24,125,A3_center_negcorners,"{""points"": [[112.0, 112.0], [17.9, 17.9], [206.1, 17.9], [17.9, 206.1], [206.1, 206.1]], ""labels"": [1, 0, 0, 0, 0]}",True,segmented,146.15,0.0306,12,3,,,
beef_24_2_clip_0,Drinking,24,125,A4_largest_rtdetr_box,"{""box"": [6.8, 9.3, 215.5, 223.4]}",True,segmented,148.25,0.3227,16,3,"[6.8, 9.3, 215.5, 223.4]",0.9527,0.8906
beef_24_2_clip_0,Drinking,24,125,A5_rtdetr_box_center_point,"{""box"": [6.8, 9.3, 215.5, 223.4], ""points"": [[111.2, 116.4]], ""labels"": [1]}",True,segmented,148.24,0.3226,15,3,"[6.8, 9.3, 215.5, 223.4]",0.9527,0.8906
beef_30_1_clip_0,Drinking,30,125,A0_full_crop,"{""box"": [0.0, 0.0, 223.0, 223.0]}",False,sam_no_mask,149.91,0.0,0,3,,,
beef_30_1_clip_0,Drinking,30,125,A1_center_point,"{""points"": [[112.0, 112.0]], ""labels"": [1]}",True,segmented,146.82,0.0265,8,3,,,
beef_30_1_clip_0,Drinking,30,125,A2_multipoint,"{""points"": [[112.0, 112.0], [78.4, 112.0], [145.6, 112.0], [112.0, 78.4], [112.0, 145.6]], ""labels"": [1, 1, 1, 1, 1]}",True,segmented,147.88,0.2884,52,3,,,
beef_30_1_clip_0,Drinking,30,125,A3_center_negcorners,"{""points"": [[112.0, 112.0], [17.9, 17.9], [206.1, 17.9], [17.9, 206.1], [206.1, 206.1]], ""labels"": [1, 0, 0, 0, 0]}",True,segmented,145.2,0.0275,20,3,,,
beef_30_1_clip_0,Drinking,30,125,A4_largest_rtdetr_box,"{""box"": [16.3, 8.7, 202.2, 220.4]}",True,segmented,149.52,0.3221,12,3,"[16.3, 8.7, 202.2, 220.4]",0.9586,0.7843
beef_30_1_clip_0,Drinking,30,125,A5_rtdetr_box_center_point,"{""box"": [16.3, 8.7, 202.2, 220.4], ""points"": [[109.2, 114.5]], ""labels"": [1]}",True,segmented,144.4,0.3071,18,3,"[16.3, 8.7, 202.2, 220.4]",0.9586,0.7843
beef_99_2_clip_0,Drinking,99,125,A0_full_crop,"{""box"": [0.0, 0.0, 223.0, 223.0]}",False,sam_no_mask,141.68,0.0,0,3,,,
beef_99_2_clip_0,Drinking,99,125,A1_center_point,"{""points"": [[112.0, 112.0]], ""labels"": [1]}",True,segmented,142.99,0.363,17,3,,,
beef_99_2_clip_0,Drinking,99,125,A2_multipoint,"{""points"": [[112.0, 112.0], [78.4, 112.0], [145.6, 112.0], [112.0, 78.4], [112.0, 145.6]], ""labels"": [1, 1, 1, 1, 1]}",True,segmented,146.71,0.2709,20,3,,,
