sample_id,dataset,canonical_behavior,source_video_id,session_id,frame_index,image_width,image_height,num_cattle_detections,highest_cattle_confidence,detection_status,inference_time_ms,gt_status,target_gt_bbox,target_best_iou,target_overlap_flag,matched_detection_conf,max_box_area_ratio,no_detection_flag
cvb_0641_arm01_gopro1_20200324_234437_beh7_ani2_ins1_cut_1_tr2_seg0,cvb,Drinking,arm01_gopro1_20200324_234437,0641_arm01_gopro1_20200324_234437_beh7_ani2_ins1_cut_1,225,1920,1080,15,0.9641,detected,4853.93,available,"[238.0, 502.0, 922.5, 1011.5]",0.6905,True,0.8937,0.235,False
cvb_0530_arm01_gopro1_20200324_221607+0000_beh7_ani3_ins1_cut_1_tr10_seg0,cvb,Drinking,arm01_gopro1_20200324_221607+0000,0530_arm01_gopro1_20200324_221607+0000_beh7_ani3_ins1_cut_1,373,1920,1080,15,0.9366,detected,61.96,available,"[239.4, 520.3, 544.0, 932.0]",0.9466,True,0.912,0.0609,False
cvb_0519_arm01_gopro1_20200324_025741_beh7_ani4_ins6_cut_1_tr11_seg0,cvb,Drinking,arm01_gopro1_20200324_025741,0519_arm01_gopro1_20200324_025741_beh7_ani4_ins6_cut_1,311,1920,1080,15,0.9509,detected,61.9,available,"[854.0, 546.0, 1160.0, 801.0]",0.7859,True,0.9328,0.105,False
cvb_0445_arm01_gopro1_20200324_014653_beh7_ani5_ins1_cut_1_tr6_seg0,cvb,Drinking,arm01_gopro1_20200324_014653,0445_arm01_gopro1_20200324_014653_beh7_ani5_ins1_cut_1,75,1920,1080,16,0.8852,detected,61.83,available,"[210.0, 576.0, 406.0, 910.0]",0.8719,True,0.8408,0.0803,False
cvb_0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3_tr10_seg0,cvb,Drinking,arm01_gopro1_20200324_005347,0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3,428,1920,1080,11,0.9561,detected,62.02,available,"[382.0, 676.0, 864.0, 1079.0]",0.7042,True,0.9414,0.105,False
cvb_0379_arm01_gopro1_20200324_003605_beh8_ani3_ins3_cut_1_tr0_seg0,cvb,Feeding,arm01_gopro1_20200324_003605,0379_arm01_gopro1_20200324_003605_beh8_ani3_ins3_cut_1,225,1920,1080,12,0.9405,detected,61.75,available,"[692.0, 497.0, 923.0, 670.0]",0.9755,True,0.9405,0.0236,False
cvb_0988_arm01_gopro1_20200327_001756_beh1_ani6_ins2_cut_00015_tr0_seg0,cvb,Feeding,arm01_gopro1_20200327_001756,0988_arm01_gopro1_20200327_001756_beh1_ani6_ins2_cut_00015,225,1920,1080,10,0.8478,detected,61.65,available,"[1057.0, 491.0, 1119.0, 537.0]",0.8671,True,0.7972,0.0064,False
cvb_0810_arm01_gopro1_20200325_232248_beh1_ani6_ins2_cut_21_tr5_seg0,cvb,Feeding,arm01_gopro1_20200325_232248,0810_arm01_gopro1_20200325_232248_beh1_ani6_ins2_cut_21,203,1920,1080,8,0.9204,detected,61.57,available,"[863.0, 431.0, 999.0, 514.0]",0.9602,True,0.92,0.0074,False
cvb_0789_arm01_gopro1_20200325_230506_beh9_ani2_ins1_cut_1_tr0_seg0,cvb,Feeding,arm01_gopro1_20200325_230506,0789_arm01_gopro1_20200325_230506_beh9_ani2_ins1_cut_1,225,1920,1080,8,0.9572,detected,61.79,available,"[856.0, 465.0, 1103.0, 804.0]",0.9635,True,0.9513,0.0781,False
cvb_1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00032_tr1_seg0,cvb,Feeding,arm01_gopro4_20200323_035752,1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00032,225,1920,1080,17,0.8789,detected,61.31,available,"[1241.0, 452.0, 1300.0, 488.0]",0.7863,True,0.8463,0.0027,False
