sample_id,dataset,canonical_behavior,source_video_id,session_id,frame_index,image_width,image_height,cvb_gt_prompt_box,cvb_gt_mask_returned,cvb_gt_mask_status,cvb_gt_inference_time_ms,cvb_gt_mask_area_pixels,cvb_gt_mask_area_ratio,cvb_gt_mask_in_target_box_ratio_sanity,cvb_gt_num_connected_components,cvb_rtdetr_prompt_box,cvb_rtdetr_prompt_box_iou_with_gt,cvb_rtdetr_mask_returned,cvb_rtdetr_mask_status,cvb_rtdetr_inference_time_ms,cvb_rtdetr_mask_area_pixels,cvb_rtdetr_mask_area_ratio,cvb_rtdetr_mask_in_target_box_ratio_sanity,cvb_rtdetr_num_connected_components,beef_fullcrop_prompt_box,beef_mask_returned,beef_mask_status,beef_inference_time_ms,beef_mask_area_pixels,beef_mask_area_ratio,beef_num_connected_components
cvb_0641_arm01_gopro1_20200324_234437_beh7_ani2_ins1_cut_1_tr2_seg0,cvb,Drinking,arm01_gopro1_20200324_234437,0641_arm01_gopro1_20200324_234437_beh7_ani2_ins1_cut_1,225,1920,1080,"[238.0, 502.0, 922.5, 1011.5]",True,segmented,394.17,122658.0,0.0592,1.0,4.0,"[237.0, 536.2, 789.1, 973.7]",0.6905,True,segmented,144.24,119306.0,0.0575,1.0,6.0,,,,,,,
cvb_0530_arm01_gopro1_20200324_221607+0000_beh7_ani3_ins1_cut_1_tr10_seg0,cvb,Drinking,arm01_gopro1_20200324_221607+0000,0530_arm01_gopro1_20200324_221607+0000_beh7_ani3_ins1_cut_1,373,1920,1080,"[239.4, 520.3, 544.0, 932.0]",True,segmented,145.48,70824.0,0.0342,1.0,1.0,"[243.7, 524.3, 548.3, 939.2]",0.9465,True,segmented,146.69,70768.0,0.0341,1.0,1.0,,,,,,,
cvb_0519_arm01_gopro1_20200324_025741_beh7_ani4_ins6_cut_1_tr11_seg0,cvb,Drinking,arm01_gopro1_20200324_025741,0519_arm01_gopro1_20200324_025741_beh7_ani4_ins6_cut_1,311,1920,1080,"[854.0, 546.0, 1160.0, 801.0]",True,segmented,145.55,48757.0,0.0235,0.9558,2.0,"[845.2, 526.5, 1174.9, 827.6]",0.7859,True,segmented,143.59,48695.0,0.0235,0.9549,1.0,,,,,,,
cvb_0445_arm01_gopro1_20200324_014653_beh7_ani5_ins1_cut_1_tr6_seg0,cvb,Drinking,arm01_gopro1_20200324_014653,0445_arm01_gopro1_20200324_014653_beh7_ani5_ins1_cut_1,75,1920,1080,"[210.0, 576.0, 406.0, 910.0]",True,segmented,145.56,37233.0,0.018,1.0,1.0,"[218.1, 585.5, 398.6, 919.5]",0.8719,True,segmented,146.77,37467.0,0.0181,1.0,3.0,,,,,,,
cvb_0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3_tr10_seg0,cvb,Drinking,arm01_gopro1_20200324_005347,0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3,428,1920,1080,"[382.0, 676.0, 864.0, 1079.0]",True,segmented,142.6,149622.0,0.0722,0.8806,11.0,"[424.3, 564.0, 848.0, 1077.7]",0.7042,True,segmented,147.94,100054.0,0.0483,0.8602,13.0,,,,,,,
cvb_0379_arm01_gopro1_20200324_003605_beh8_ani3_ins3_cut_1_tr0_seg0,cvb,Feeding,arm01_gopro1_20200324_003605,0379_arm01_gopro1_20200324_003605_beh8_ani3_ins3_cut_1,225,1920,1080,"[692.0, 497.0, 923.0, 670.0]",True,segmented,144.89,25291.0,0.0122,0.9989,1.0,"[690.1, 497.1, 925.2, 671.2]",0.9755,True,segmented,148.15,25293.0,0.0122,0.9989,1.0,,,,,,,
cvb_0988_arm01_gopro1_20200327_001756_beh1_ani6_ins2_cut_00015_tr0_seg0,cvb,Feeding,arm01_gopro1_20200327_001756,0988_arm01_gopro1_20200327_001756_beh1_ani6_ins2_cut_00015,225,1920,1080,"[1057.0, 491.0, 1119.0, 537.0]",True,segmented,146.18,2391.0,0.0012,0.977,1.0,"[1056.1, 489.9, 1120.8, 540.8]",0.8671,True,segmented,148.77,2459.0,0.0012,0.9683,1.0,,,,,,,
cvb_0810_arm01_gopro1_20200325_232248_beh1_ani6_ins2_cut_21_tr5_seg0,cvb,Feeding,arm01_gopro1_20200325_232248,0810_arm01_gopro1_20200325_232248_beh1_ani6_ins2_cut_21,203,1920,1080,"[863.0, 431.0, 999.0, 514.0]",True,segmented,147.77,7606.0,0.0037,0.9975,1.0,"[864.7, 430.5, 1001.5, 514.3]",0.9602,True,segmented,147.66,7608.0,0.0037,0.9974,1.0,,,,,,,
cvb_0789_arm01_gopro1_20200325_230506_beh9_ani2_ins1_cut_1_tr0_seg0,cvb,Feeding,arm01_gopro1_20200325_230506,0789_arm01_gopro1_20200325_230506_beh9_ani2_ins1_cut_1,225,1920,1080,"[856.0, 465.0, 1103.0, 804.0]",True,segmented,148.45,44701.0,0.0216,0.9995,1.0,"[851.0, 463.8, 1104.8, 801.6]",0.9635,True,segmented,150.89,44709.0,0.0216,0.9996,1.0,,,,,,,
cvb_1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00032_tr1_seg0,cvb,Feeding,arm01_gopro4_20200323_035752,1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00032,225,1920,1080,"[1241.0, 452.0, 1300.0, 488.0]",True,segmented,144.88,1891.0,0.0009,0.9566,1.0,"[1238.4, 450.5, 1304.8, 491.2]",0.7863,True,segmented,146.2,1957.0,0.0009,0.9371,1.0,,,,,,,
cvb_1148_arm01_gopro1_20200327_023932_beh8_ani1_ins1_cut_00001_tr3_seg0,cvb,Lying,arm01_gopro1_20200327_023932,1148_arm01_gopro1_20200327_023932_beh8_ani1_ins1_cut_00001,225,1920,1080,"[746.0, 513.0, 799.0, 552.0]",True,segmented,145.9,1706.0,0.0008,0.9871,1.0,"[744.5, 512.4, 800.0, 551.3]",0.925,True,segmented,147.5,1717.0,0.0008,0.9849,1.0,,,,,,,
cvb_1271_arm01_gopro3_20200326_032013_beh4_ani4_ins1_cut_00009_tr2_seg0,cvb,Lying,arm01_gopro3_20200326_032013,1271_arm01_gopro3_20200326_032013_beh4_ani4_ins1_cut_00009,225,1920,1080,"[520.0, 279.0, 625.0, 351.0]",True,segmented,146.7,4774.0,0.0023,0.9952,1.0,"[521.2, 279.7, 625.4, 352.9]",0.9505,True,segmented,147.72,4783.0,0.0023,0.9944,1.0,,,,,,,
cvb_1351_arm01_gopro4_20200324_040135_beh3_ani3_ins1_cut_00083_tr4_seg0,cvb,Lying,arm01_gopro4_20200324_040135,1351_arm01_gopro4_20200324_040135_beh3_ani3_ins1_cut_00083,223,1920,1080,"[1479.0, 515.0, 1645.0, 589.0]",True,segmented,147.21,9394.0,0.0045,0.9995,1.0,"[1500.8, 514.4, 1641.3, 586.0]",0.8064,True,segmented,145.71,9052.0,0.0044,1.0,1.0,,,,,,,
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00065_tr6_seg0,cvb,Lying,arm01_gopro4_20200323_035752,1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00065,225,1920,1080,"[626.7, 507.1, 733.5, 557.0]",True,segmented,145.19,3745.0,0.0018,0.984,1.0,"[631.0, 506.5, 725.7, 557.2]",0.8736,True,segmented,147.39,3702.0,0.0018,0.9843,1.0,,,,,,,
cvb_0238_arm01_gopro1_20200323_023342_beh4_ani8_ins1_cut_19_tr1_seg0,cvb,Lying,arm01_gopro1_20200323_023342,0238_arm01_gopro1_20200323_023342_beh4_ani8_ins1_cut_19,225,1920,1080,"[239.0, 590.0, 416.0, 716.0]",True,segmented,146.28,13306.0,0.0064,1.0,1.0,"[240.2, 587.2, 415.4, 717.3]",0.9597,True,segmented,149.29,13314.0,0.0064,1.0,1.0,,,,,,,
cvb_0577_arm01_gopro1_20200324_225131_beh7_ani5_ins1_cut_1_tr7_seg0,cvb,Standing,arm01_gopro1_20200324_225131,0577_arm01_gopro1_20200324_225131_beh7_ani5_ins1_cut_1,135,1920,1080,"[1175.0, 478.0, 1378.0, 756.0]",True,segmented,146.71,30689.0,0.0148,0.9957,1.0,"[1176.9, 477.2, 1378.0, 758.0]",0.9806,True,segmented,144.89,30720.0,0.0148,0.9955,1.0,,,,,,,
cvb_0198_arm01_gopro1_20200323_023342_beh5_ani2_ins1_cut_1_tr5_seg0,cvb,Standing,arm01_gopro1_20200323_023342,0198_arm01_gopro1_20200323_023342_beh5_ani2_ins1_cut_1,225,1920,1080,"[1220.0, 581.0, 1339.0, 914.0]",True,segmented,145.11,31746.0,0.0153,0.8533,1.0,"[1192.4, 572.8, 1384.3, 899.2]",0.5881,True,segmented,145.17,31949.0,0.0154,0.8352,1.0,,,,,,,
cvb_1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00023_tr5_seg0,cvb,Standing,arm01_gopro4_20200323_035752,1335_arm01_gopro4_20200323_035752_beh4_ani8_ins1_cut_00023,225,1920,1080,"[747.0, 459.0, 785.0, 510.0]",True,segmented,146.87,1652.0,0.0008,0.8886,1.0,"[738.5, 449.9, 785.7, 505.5]",0.6332,True,segmented,147.86,1912.0,0.0009,0.8311,1.0,,,,,,,
cvb_0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2_tr2_seg0,cvb,Standing,arm01_gopro1_20200322_235424,0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2,7,1920,1080,"[1194.0, 558.0, 1498.0, 909.0]",True,segmented,146.45,56443.0,0.0272,1.0,1.0,"[1195.9, 563.3, 1497.9, 913.7]",0.9654,True,segmented,144.72,56425.0,0.0272,1.0,1.0,,,,,,,
cvb_0561_arm01_gopro1_20200324_223349+0000_beh7_ani8_ins1_cut_1_tr4_seg0,cvb,Standing,arm01_gopro1_20200324_223349+0000,0561_arm01_gopro1_20200324_223349+0000_beh7_ani8_ins1_cut_1,8,1920,1080,"[223.0, 504.0, 817.0, 939.0]",True,segmented,146.87,151360.0,0.073,0.9596,1.0,"[175.2, 499.9, 861.8, 946.4]",0.8428,True,segmented,145.59,152475.0,0.0735,0.9571,1.0,,,,,,,
cvb_1014_arm01_gopro1_20200327_005320_beh7_ani3_ins1_cut_00001_tr7_seg0,cvb,Walking,arm01_gopro1_20200327_005320,1014_arm01_gopro1_20200327_005320_beh7_ani3_ins1_cut_00001,398,1920,1080,"[368.0, 572.0, 770.0, 950.0]",True,segmented,147.2,69980.0,0.0337,0.9999,2.0,"[391.1, 571.5, 768.5, 956.5]",0.9229,True,segmented,145.9,69945.0,0.0337,0.9999,1.0,,,,,,,
cvb_0826_arm01_gopro1_20200325_234030_beh7_ani8_ins1_cut_2_tr18_seg0,cvb,Walking,arm01_gopro1_20200325_234030,0826_arm01_gopro1_20200325_234030_beh7_ani8_ins1_cut_2,410,1920,1080,"[389.0, 458.0, 911.0, 855.0]",True,segmented,144.69,96675.0,0.0466,0.9998,5.0,"[387.1, 500.5, 877.5, 852.2]",0.8264,True,segmented,147.22,90232.0,0.0435,1.0,1.0,,,,,,,
cvb_1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00046_tr9_seg0,cvb,Walking,arm01_gopro4_20200323_035752,1333_arm01_gopro4_20200323_035752_beh4_ani2_ins1_cut_00046,250,1920,1080,"[1269.0, 451.0, 1334.0, 496.0]",True,segmented,144.87,2336.0,0.0011,0.9366,1.0,"[1264.8, 451.9, 1317.2, 489.2]",0.5826,True,segmented,146.15,1647.0,0.0008,0.9848,1.0,,,,,,,
cvb_0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3_tr9_seg0,cvb,Walking,arm01_gopro1_20200324_005347,0400_arm01_gopro1_20200324_005347_beh7_ani2_ins1_cut_3,203,1920,1080,"[147.0, 523.0, 268.0, 765.0]",True,segmented,147.09,10280.0,0.005,0.999,2.0,"[149.0, 526.6, 415.3, 764.8]",0.4404,True,segmented,148.05,20367.0,0.0098,0.5319,1.0,,,,,,,
cvb_0566_arm01_gopro1_20200324_225131_beh7_ani1_ins1_cut_1_tr9_seg0,cvb,Walking,arm01_gopro1_20200324_225131,0566_arm01_gopro1_20200324_225131_beh7_ani1_ins1_cut_1,195,1920,1080,"[821.0, 470.0, 997.0, 614.0]",True,segmented,146.96,15267.0,0.0074,1.0,1.0,"[835.7, 482.9, 990.6, 600.3]",0.7179,True,segmented,147.73,14019.0,0.0068,1.0,2.0,,,,,,,
beef_31_1_clip_0,beef_cattle_behavior,Drinking,31,31,125,224,224,,,,,,,,,,,,,,,,,,"[0, 0, 223, 223]",False,sam_no_mask,2849.6,0.0,0.0,0.0
