sample_id,dataset,category_or_subset,image_path,model_name,detection_idx,num_detections,detection_status,box_x1,box_y1,box_x2,box_y2,confidence,inference_time_ms,image_width,image_height
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,YOLOv8s,0,0,no_detection,,,,,,491.0,1024,576
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,FasterRCNN_v2,1,1,detected,308.82,5.43,980.24,576.0,0.9872,661.02,1024,576
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,RT-DETR-L,1,1,detected,335.28,0.22,933.36,576.21,0.9377,830.96,1024,576
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,YOLOv8s,1,1,detected,169.65,0.83,595.17,567.85,0.937,47.4,1024,576
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,FasterRCNN_v2,1,3,detected,160.02,3.96,616.45,575.0,0.9984,538.87,1024,576
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,FasterRCNN_v2,2,3,detected,376.87,0.0,596.53,565.26,0.2792,538.87,1024,576
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,FasterRCNN_v2,3,3,detected,182.36,31.99,406.7,499.82,0.2618,538.87,1024,576
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,RT-DETR-L,1,2,detected,170.39,0.35,599.85,576.33,0.9567,95.05,1024,576
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,RT-DETR-L,2,2,detected,688.08,0.38,1024.6,576.37,0.4717,95.05,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,YOLOv8s,1,1,detected,251.18,3.19,969.36,570.28,0.7665,27.01,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,FasterRCNN_v2,1,3,detected,184.6,6.69,844.77,573.77,0.993,498.47,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,FasterRCNN_v2,2,3,detected,495.32,23.52,988.37,572.08,0.6077,498.47,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,FasterRCNN_v2,3,3,detected,6.25,5.94,429.78,576.0,0.2977,498.47,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,RT-DETR-L,1,4,detected,234.06,-0.05,849.79,575.94,0.7292,94.79,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,RT-DETR-L,2,4,detected,237.93,0.05,1022.81,576.04,0.3813,94.79,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,RT-DETR-L,3,4,detected,-0.01,0.6,1023.98,576.6,0.2982,94.79,1024,576
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,RT-DETR-L,4,4,detected,755.83,0.51,1024.32,576.5,0.2947,94.79,1024,576
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,YOLOv8s,0,0,no_detection,,,,,,24.74,1024,576
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,FasterRCNN_v2,0,0,no_detection,,,,,,487.56,1024,576
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,RT-DETR-L,0,0,no_detection,,,,,,94.32,1024,576
sample_0005,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,YOLOv8s,1,1,detected,235.21,2.84,803.03,566.4,0.5384,25.47,1024,576
