sample_id,dataset,category_or_subset,model_name,num_detections,top_confidence,detection_status,inference_time_ms
sample_0001,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,491.0
sample_0001,ScienceDB,BCS_3.25,FasterRCNN_v2,1,0.9872,detected,661.02
sample_0001,ScienceDB,BCS_3.25,RT-DETR-L,1,0.9377,detected,830.96
sample_0002,ScienceDB,BCS_3.25,YOLOv8s,1,0.937,detected,47.4
sample_0002,ScienceDB,BCS_3.25,FasterRCNN_v2,3,0.9984,detected,538.87
sample_0002,ScienceDB,BCS_3.25,RT-DETR-L,2,0.9567,detected,95.05
sample_0003,ScienceDB,BCS_3.25,YOLOv8s,1,0.7665,detected,27.01
sample_0003,ScienceDB,BCS_3.25,FasterRCNN_v2,3,0.993,detected,498.47
sample_0003,ScienceDB,BCS_3.25,RT-DETR-L,4,0.7292,detected,94.79
sample_0004,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,24.74
sample_0004,ScienceDB,BCS_3.25,FasterRCNN_v2,0,,no_detection,487.56
sample_0004,ScienceDB,BCS_3.25,RT-DETR-L,0,,no_detection,94.32
sample_0005,ScienceDB,BCS_3.25,YOLOv8s,1,0.5384,detected,25.47
sample_0005,ScienceDB,BCS_3.25,FasterRCNN_v2,3,0.9909,detected,490.52
sample_0005,ScienceDB,BCS_3.25,RT-DETR-L,6,0.9631,detected,95.13
sample_0006,ScienceDB,BCS_3.25,YOLOv8s,4,0.9061,detected,26.53
sample_0006,ScienceDB,BCS_3.25,FasterRCNN_v2,12,0.9975,detected,486.45
sample_0006,ScienceDB,BCS_3.25,RT-DETR-L,18,0.9265,detected,93.71
sample_0007,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,29.64
sample_0007,ScienceDB,BCS_3.25,FasterRCNN_v2,2,0.9385,detected,489.95
sample_0007,ScienceDB,BCS_3.25,RT-DETR-L,4,0.6105,detected,94.35
sample_0008,ScienceDB,BCS_3.25,YOLOv8s,1,0.9198,detected,24.92
sample_0008,ScienceDB,BCS_3.25,FasterRCNN_v2,1,0.9963,detected,486.04
sample_0008,ScienceDB,BCS_3.25,RT-DETR-L,1,0.9619,detected,94.12
sample_0009,ScienceDB,BCS_3.25,YOLOv8s,1,0.7582,detected,26.38
sample_0009,ScienceDB,BCS_3.25,FasterRCNN_v2,1,0.9976,detected,489.22
sample_0009,ScienceDB,BCS_3.25,RT-DETR-L,1,0.9678,detected,93.83
sample_0010,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,24.12
sample_0010,ScienceDB,BCS_3.25,FasterRCNN_v2,2,0.825,detected,483.89
sample_0010,ScienceDB,BCS_3.25,RT-DETR-L,1,0.9239,detected,94.87
sample_0011,ScienceDB,BCS_3.25,YOLOv8s,1,0.4671,detected,33.76
sample_0011,ScienceDB,BCS_3.25,FasterRCNN_v2,2,0.986,detected,486.44
sample_0011,ScienceDB,BCS_3.25,RT-DETR-L,1,0.964,detected,94.84
sample_0012,ScienceDB,BCS_3.25,YOLOv8s,3,0.8602,detected,28.91
sample_0012,ScienceDB,BCS_3.25,FasterRCNN_v2,9,0.9991,detected,493.54
sample_0012,ScienceDB,BCS_3.25,RT-DETR-L,15,0.9281,detected,93.44
sample_0013,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,25.05
sample_0013,ScienceDB,BCS_3.25,FasterRCNN_v2,2,0.9881,detected,491.43
sample_0013,ScienceDB,BCS_3.25,RT-DETR-L,1,0.9631,detected,94.81
sample_0014,ScienceDB,BCS_3.25,YOLOv8s,6,0.6193,detected,27.08
sample_0014,ScienceDB,BCS_3.25,FasterRCNN_v2,11,0.9876,detected,489.11
sample_0014,ScienceDB,BCS_3.25,RT-DETR-L,14,0.8905,detected,93.23
sample_0015,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,24.49
sample_0015,ScienceDB,BCS_3.25,FasterRCNN_v2,2,0.9707,detected,491.08
sample_0015,ScienceDB,BCS_3.25,RT-DETR-L,1,0.9581,detected,94.86
sample_0016,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,24.4
sample_0016,ScienceDB,BCS_3.25,FasterRCNN_v2,0,,no_detection,489.46
sample_0016,ScienceDB,BCS_3.25,RT-DETR-L,3,0.3961,detected,94.94
sample_0017,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,24.75
sample_0017,ScienceDB,BCS_3.25,FasterRCNN_v2,3,0.9896,detected,488.06
sample_0017,ScienceDB,BCS_3.25,RT-DETR-L,6,0.939,detected,94.49
sample_0018,ScienceDB,BCS_3.25,YOLOv8s,7,0.9041,detected,25.69
sample_0018,ScienceDB,BCS_3.25,FasterRCNN_v2,17,0.9996,detected,487.74
sample_0018,ScienceDB,BCS_3.25,RT-DETR-L,19,0.9642,detected,92.92
sample_0019,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,25.17
sample_0019,ScienceDB,BCS_3.25,FasterRCNN_v2,1,0.384,detected,489.38
sample_0019,ScienceDB,BCS_3.25,RT-DETR-L,1,0.912,detected,94.65
sample_0020,ScienceDB,BCS_3.25,YOLOv8s,1,0.9186,detected,25.42
sample_0020,ScienceDB,BCS_3.25,FasterRCNN_v2,2,0.8825,detected,490.86
sample_0020,ScienceDB,BCS_3.25,RT-DETR-L,2,0.9608,detected,107.08
sample_0021,ScienceDB,BCS_3.5,YOLOv8s,3,0.8803,detected,26.11
sample_0021,ScienceDB,BCS_3.5,FasterRCNN_v2,7,0.9995,detected,490.09
sample_0021,ScienceDB,BCS_3.5,RT-DETR-L,16,0.9438,detected,93.56
sample_0022,ScienceDB,BCS_3.5,YOLOv8s,0,,no_detection,25.57
sample_0022,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.6013,detected,490.94
sample_0022,ScienceDB,BCS_3.5,RT-DETR-L,1,0.253,detected,94.07
sample_0023,ScienceDB,BCS_3.5,YOLOv8s,2,0.9084,detected,25.34
sample_0023,ScienceDB,BCS_3.5,FasterRCNN_v2,3,0.9982,detected,491.13
sample_0023,ScienceDB,BCS_3.5,RT-DETR-L,7,0.9618,detected,93.63
sample_0024,ScienceDB,BCS_3.5,YOLOv8s,0,,no_detection,24.02
sample_0024,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.4695,detected,490.64
sample_0024,ScienceDB,BCS_3.5,RT-DETR-L,1,0.3042,detected,94.53
sample_0025,ScienceDB,BCS_3.5,YOLOv8s,1,0.6379,detected,25.83
sample_0025,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.9856,detected,494.22
sample_0025,ScienceDB,BCS_3.5,RT-DETR-L,3,0.9063,detected,94.91
sample_0026,ScienceDB,BCS_3.5,YOLOv8s,2,0.9101,detected,25.33
sample_0026,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.9988,detected,489.37
sample_0026,ScienceDB,BCS_3.5,RT-DETR-L,2,0.9409,detected,94.05
sample_0027,ScienceDB,BCS_3.5,YOLOv8s,0,,no_detection,23.36
sample_0027,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.3075,detected,489.83
sample_0027,ScienceDB,BCS_3.5,RT-DETR-L,2,0.9211,detected,94.76
sample_0028,ScienceDB,BCS_3.5,YOLOv8s,2,0.3796,detected,23.89
sample_0028,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.8824,detected,489.5
sample_0028,ScienceDB,BCS_3.5,RT-DETR-L,3,0.9524,detected,94.29
sample_0029,ScienceDB,BCS_3.5,YOLOv8s,5,0.8968,detected,24.98
sample_0029,ScienceDB,BCS_3.5,FasterRCNN_v2,10,0.9982,detected,487.19
sample_0029,ScienceDB,BCS_3.5,RT-DETR-L,9,0.9613,detected,92.88
sample_0030,ScienceDB,BCS_3.5,YOLOv8s,0,,no_detection,22.53
sample_0030,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.5108,detected,474.62
sample_0030,ScienceDB,BCS_3.5,RT-DETR-L,1,0.9345,detected,94.41
sample_0031,ScienceDB,BCS_3.5,YOLOv8s,1,0.882,detected,24.19
sample_0031,ScienceDB,BCS_3.5,FasterRCNN_v2,3,0.9994,detected,491.54
sample_0031,ScienceDB,BCS_3.5,RT-DETR-L,8,0.9584,detected,92.83
sample_0032,ScienceDB,BCS_3.5,YOLOv8s,2,0.7939,detected,25.11
sample_0032,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.991,detected,489.84
sample_0032,ScienceDB,BCS_3.5,RT-DETR-L,8,0.9243,detected,92.88
sample_0033,ScienceDB,BCS_3.5,YOLOv8s,2,0.6736,detected,24.74
sample_0033,ScienceDB,BCS_3.5,FasterRCNN_v2,5,0.9942,detected,491.73
sample_0033,ScienceDB,BCS_3.5,RT-DETR-L,3,0.9666,detected,94.01
sample_0034,ScienceDB,BCS_3.5,YOLOv8s,1,0.5971,detected,24.12
sample_0034,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.9985,detected,490.84
sample_0034,ScienceDB,BCS_3.5,RT-DETR-L,4,0.589,detected,94.41
sample_0035,ScienceDB,BCS_3.5,YOLOv8s,4,0.872,detected,24.81
sample_0035,ScienceDB,BCS_3.5,FasterRCNN_v2,15,0.9993,detected,488.14
sample_0035,ScienceDB,BCS_3.5,RT-DETR-L,8,0.9586,detected,92.62
sample_0036,ScienceDB,BCS_3.5,YOLOv8s,0,,no_detection,23.56
sample_0036,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.9754,detected,487.76
sample_0036,ScienceDB,BCS_3.5,RT-DETR-L,1,0.9551,detected,94.7
sample_0037,ScienceDB,BCS_3.5,YOLOv8s,2,0.9284,detected,24.36
sample_0037,ScienceDB,BCS_3.5,FasterRCNN_v2,3,0.8836,detected,491.3
sample_0037,ScienceDB,BCS_3.5,RT-DETR-L,4,0.9425,detected,93.89
sample_0038,ScienceDB,BCS_3.5,YOLOv8s,2,0.8379,detected,24.41
sample_0038,ScienceDB,BCS_3.5,FasterRCNN_v2,9,0.9989,detected,488.63
sample_0038,ScienceDB,BCS_3.5,RT-DETR-L,16,0.9393,detected,93.3
sample_0039,ScienceDB,BCS_3.5,YOLOv8s,1,0.413,detected,23.54
sample_0039,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.9628,detected,493.58
sample_0039,ScienceDB,BCS_3.5,RT-DETR-L,8,0.7104,detected,94.85
sample_0040,ScienceDB,BCS_3.5,YOLOv8s,1,0.382,detected,26.82
sample_0040,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.9973,detected,486.61
sample_0040,ScienceDB,BCS_3.5,RT-DETR-L,3,0.722,detected,94.35
sample_0041,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,35.75
sample_0041,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.6855,detected,490.36
sample_0041,ScienceDB,BCS_3.75,RT-DETR-L,0,,no_detection,94.06
sample_0042,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,24.62
sample_0042,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.889,detected,489.05
sample_0042,ScienceDB,BCS_3.75,RT-DETR-L,0,,no_detection,94.42
sample_0043,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,23.92
sample_0043,ScienceDB,BCS_3.75,FasterRCNN_v2,0,,no_detection,489.43
sample_0043,ScienceDB,BCS_3.75,RT-DETR-L,1,0.8244,detected,94.44
sample_0044,ScienceDB,BCS_3.75,YOLOv8s,1,0.3119,detected,25.14
sample_0044,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.995,detected,489.09
sample_0044,ScienceDB,BCS_3.75,RT-DETR-L,1,0.9562,detected,94.73
sample_0045,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,23.9
sample_0045,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.9269,detected,488.89
sample_0045,ScienceDB,BCS_3.75,RT-DETR-L,1,0.2555,detected,94.07
sample_0046,ScienceDB,BCS_3.75,YOLOv8s,4,0.8566,detected,24.8
sample_0046,ScienceDB,BCS_3.75,FasterRCNN_v2,13,0.9995,detected,485.49
sample_0046,ScienceDB,BCS_3.75,RT-DETR-L,18,0.9514,detected,92.92
sample_0047,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,22.7
sample_0047,ScienceDB,BCS_3.75,FasterRCNN_v2,0,,no_detection,491.96
sample_0047,ScienceDB,BCS_3.75,RT-DETR-L,0,,no_detection,94.17
sample_0048,ScienceDB,BCS_3.75,YOLOv8s,2,0.9189,detected,23.75
sample_0048,ScienceDB,BCS_3.75,FasterRCNN_v2,4,0.9717,detected,488.59
sample_0048,ScienceDB,BCS_3.75,RT-DETR-L,5,0.9623,detected,94.51
sample_0049,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,26.4
sample_0049,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.9319,detected,384.09
sample_0049,ScienceDB,BCS_3.75,RT-DETR-L,1,0.7132,detected,94.37
sample_0050,ScienceDB,BCS_3.75,YOLOv8s,1,0.3773,detected,23.63
sample_0050,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.8117,detected,487.93
sample_0050,ScienceDB,BCS_3.75,RT-DETR-L,2,0.9499,detected,93.74
sample_0051,ScienceDB,BCS_3.75,YOLOv8s,2,0.9412,detected,24.37
sample_0051,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.9963,detected,488.91
sample_0051,ScienceDB,BCS_3.75,RT-DETR-L,4,0.9593,detected,93.8
sample_0052,ScienceDB,BCS_3.75,YOLOv8s,3,0.8618,detected,25.91
sample_0052,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.9653,detected,488.93
sample_0052,ScienceDB,BCS_3.75,RT-DETR-L,2,0.9595,detected,93.78
sample_0053,ScienceDB,BCS_3.75,YOLOv8s,1,0.4438,detected,22.73
sample_0053,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.718,detected,489.72
sample_0053,ScienceDB,BCS_3.75,RT-DETR-L,2,0.9647,detected,94.72
sample_0054,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,21.84
sample_0054,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.9822,detected,489.61
sample_0054,ScienceDB,BCS_3.75,RT-DETR-L,2,0.4016,detected,94.39
sample_0055,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,22.1
sample_0055,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.6185,detected,493.12
sample_0055,ScienceDB,BCS_3.75,RT-DETR-L,2,0.2724,detected,93.97
sample_0056,ScienceDB,BCS_3.75,YOLOv8s,1,0.31,detected,23.87
sample_0056,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.7318,detected,491.07
sample_0056,ScienceDB,BCS_3.75,RT-DETR-L,0,,no_detection,94.21
sample_0057,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,23.76
sample_0057,ScienceDB,BCS_3.75,FasterRCNN_v2,3,0.9898,detected,385.26
sample_0057,ScienceDB,BCS_3.75,RT-DETR-L,7,0.549,detected,94.7
sample_0058,ScienceDB,BCS_3.75,YOLOv8s,1,0.6206,detected,23.77
sample_0058,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.9588,detected,488.06
sample_0058,ScienceDB,BCS_3.75,RT-DETR-L,6,0.9351,detected,94.74
sample_0059,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,23.16
sample_0059,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.6555,detected,488.89
sample_0059,ScienceDB,BCS_3.75,RT-DETR-L,0,,no_detection,94.29
sample_0060,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,22.63
sample_0060,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.3597,detected,488.92
sample_0060,ScienceDB,BCS_3.75,RT-DETR-L,2,0.3191,detected,94.69
sample_0061,ScienceDB,BCS_4.0,YOLOv8s,1,0.8698,detected,23.43
sample_0061,ScienceDB,BCS_4.0,FasterRCNN_v2,5,0.9963,detected,489.18
sample_0061,ScienceDB,BCS_4.0,RT-DETR-L,8,0.8952,detected,94.7
sample_0062,ScienceDB,BCS_4.0,YOLOv8s,0,,no_detection,23.35
sample_0062,ScienceDB,BCS_4.0,FasterRCNN_v2,1,0.7431,detected,489.59
sample_0062,ScienceDB,BCS_4.0,RT-DETR-L,1,0.2875,detected,94.54
sample_0063,ScienceDB,BCS_4.0,YOLOv8s,2,0.941,detected,23.86
sample_0063,ScienceDB,BCS_4.0,FasterRCNN_v2,5,0.9957,detected,487.39
sample_0063,ScienceDB,BCS_4.0,RT-DETR-L,14,0.9555,detected,93.43
