sample_id,dataset,category_or_subset,model_name,num_detections,top_confidence,detection_status,inference_time_ms
sample_0001,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,482.36
sample_0001,ScienceDB,BCS_3.25,FasterRCNN_v2,1,0.9872,detected,597.26
sample_0001,ScienceDB,BCS_3.25,RT-DETR-L,1,0.9377,detected,837.8
sample_0002,ScienceDB,BCS_3.25,YOLOv8s,1,0.937,detected,47.73
sample_0002,ScienceDB,BCS_3.25,FasterRCNN_v2,3,0.9984,detected,525.92
sample_0002,ScienceDB,BCS_3.25,RT-DETR-L,2,0.9567,detected,94.88
sample_0003,ScienceDB,BCS_3.25,YOLOv8s,1,0.7665,detected,26.14
sample_0003,ScienceDB,BCS_3.25,FasterRCNN_v2,3,0.993,detected,492.74
sample_0003,ScienceDB,BCS_3.25,RT-DETR-L,4,0.7292,detected,94.33
sample_0004,ScienceDB,BCS_3.25,YOLOv8s,0,,no_detection,24.64
sample_0004,ScienceDB,BCS_3.25,FasterRCNN_v2,0,,no_detection,487.91
sample_0004,ScienceDB,BCS_3.25,RT-DETR-L,0,,no_detection,93.94
sample_0005,ScienceDB,BCS_3.25,YOLOv8s,1,0.5384,detected,25.55
sample_0005,ScienceDB,BCS_3.25,FasterRCNN_v2,3,0.9909,detected,491.41
sample_0005,ScienceDB,BCS_3.25,RT-DETR-L,6,0.9631,detected,94.98
sample_0006,ScienceDB,BCS_3.25,YOLOv8s,4,0.9061,detected,26.03
sample_0006,ScienceDB,BCS_3.25,FasterRCNN_v2,12,0.9975,detected,485.87
sample_0006,ScienceDB,BCS_3.25,RT-DETR-L,18,0.9265,detected,94.14
sample_0007,ScienceDB,BCS_3.5,YOLOv8s,3,0.8803,detected,25.22
sample_0007,ScienceDB,BCS_3.5,FasterRCNN_v2,7,0.9995,detected,488.11
sample_0007,ScienceDB,BCS_3.5,RT-DETR-L,16,0.9438,detected,93.39
sample_0008,ScienceDB,BCS_3.5,YOLOv8s,0,,no_detection,24.27
sample_0008,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.6013,detected,487.48
sample_0008,ScienceDB,BCS_3.5,RT-DETR-L,1,0.253,detected,94.33
sample_0009,ScienceDB,BCS_3.5,YOLOv8s,2,0.9084,detected,24.96
sample_0009,ScienceDB,BCS_3.5,FasterRCNN_v2,3,0.9982,detected,488.46
sample_0009,ScienceDB,BCS_3.5,RT-DETR-L,7,0.9618,detected,93.49
sample_0010,ScienceDB,BCS_3.5,YOLOv8s,0,,no_detection,23.62
sample_0010,ScienceDB,BCS_3.5,FasterRCNN_v2,1,0.4695,detected,487.17
sample_0010,ScienceDB,BCS_3.5,RT-DETR-L,1,0.3042,detected,94.73
sample_0011,ScienceDB,BCS_3.5,YOLOv8s,1,0.6379,detected,25.39
sample_0011,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.9856,detected,488.7
sample_0011,ScienceDB,BCS_3.5,RT-DETR-L,3,0.9063,detected,94.87
sample_0012,ScienceDB,BCS_3.5,YOLOv8s,2,0.9101,detected,24.94
sample_0012,ScienceDB,BCS_3.5,FasterRCNN_v2,2,0.9988,detected,486.34
sample_0012,ScienceDB,BCS_3.5,RT-DETR-L,2,0.9409,detected,93.74
sample_0013,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,22.38
sample_0013,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.6855,detected,489.48
sample_0013,ScienceDB,BCS_3.75,RT-DETR-L,0,,no_detection,93.91
sample_0014,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,21.12
sample_0014,ScienceDB,BCS_3.75,FasterRCNN_v2,2,0.889,detected,488.76
sample_0014,ScienceDB,BCS_3.75,RT-DETR-L,0,,no_detection,94.05
sample_0015,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,22.51
sample_0015,ScienceDB,BCS_3.75,FasterRCNN_v2,0,,no_detection,490.88
sample_0015,ScienceDB,BCS_3.75,RT-DETR-L,1,0.8244,detected,94.36
sample_0016,ScienceDB,BCS_3.75,YOLOv8s,1,0.3119,detected,22.54
sample_0016,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.995,detected,486.97
sample_0016,ScienceDB,BCS_3.75,RT-DETR-L,1,0.9562,detected,94.37
sample_0017,ScienceDB,BCS_3.75,YOLOv8s,0,,no_detection,22.43
sample_0017,ScienceDB,BCS_3.75,FasterRCNN_v2,1,0.9269,detected,486.91
sample_0017,ScienceDB,BCS_3.75,RT-DETR-L,1,0.2555,detected,94.01
sample_0018,ScienceDB,BCS_3.75,YOLOv8s,4,0.8566,detected,22.7
sample_0018,ScienceDB,BCS_3.75,FasterRCNN_v2,13,0.9995,detected,486.29
sample_0018,ScienceDB,BCS_3.75,RT-DETR-L,18,0.9514,detected,92.9
sample_0019,ScienceDB,BCS_4.0,YOLOv8s,1,0.8698,detected,22.04
sample_0019,ScienceDB,BCS_4.0,FasterRCNN_v2,5,0.9963,detected,487.72
sample_0019,ScienceDB,BCS_4.0,RT-DETR-L,8,0.8952,detected,97.44
sample_0020,ScienceDB,BCS_4.0,YOLOv8s,0,,no_detection,22.14
sample_0020,ScienceDB,BCS_4.0,FasterRCNN_v2,1,0.7431,detected,488.33
sample_0020,ScienceDB,BCS_4.0,RT-DETR-L,1,0.2875,detected,94.58
sample_0021,ScienceDB,BCS_4.0,YOLOv8s,2,0.941,detected,23.13
sample_0021,ScienceDB,BCS_4.0,FasterRCNN_v2,5,0.9957,detected,488.07
sample_0021,ScienceDB,BCS_4.0,RT-DETR-L,14,0.9555,detected,93.61
sample_0022,ScienceDB,BCS_4.0,YOLOv8s,4,0.8403,detected,23.99
sample_0022,ScienceDB,BCS_4.0,FasterRCNN_v2,11,0.9978,detected,485.83
sample_0022,ScienceDB,BCS_4.0,RT-DETR-L,9,0.9551,detected,93.05
sample_0023,ScienceDB,BCS_4.0,YOLOv8s,1,0.9048,detected,23.09
sample_0023,ScienceDB,BCS_4.0,FasterRCNN_v2,2,0.9997,detected,485.83
sample_0023,ScienceDB,BCS_4.0,RT-DETR-L,10,0.9565,detected,92.56
sample_0024,ScienceDB,BCS_4.0,YOLOv8s,1,0.2565,detected,23.45
sample_0024,ScienceDB,BCS_4.0,FasterRCNN_v2,3,0.9659,detected,486.92
sample_0024,ScienceDB,BCS_4.0,RT-DETR-L,3,0.945,detected,94.92
sample_0025,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,22.73
sample_0025,ScienceDB,BCS_4.25,FasterRCNN_v2,1,0.4818,detected,487.6
sample_0025,ScienceDB,BCS_4.25,RT-DETR-L,1,0.7933,detected,94.66
sample_0026,ScienceDB,BCS_4.25,YOLOv8s,1,0.8347,detected,22.84
sample_0026,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.996,detected,487.0
sample_0026,ScienceDB,BCS_4.25,RT-DETR-L,9,0.9625,detected,93.0
sample_0027,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,21.55
sample_0027,ScienceDB,BCS_4.25,FasterRCNN_v2,0,,no_detection,487.34
sample_0027,ScienceDB,BCS_4.25,RT-DETR-L,0,,no_detection,93.88
sample_0028,ScienceDB,BCS_4.25,YOLOv8s,3,0.9099,detected,22.79
sample_0028,ScienceDB,BCS_4.25,FasterRCNN_v2,4,0.9867,detected,487.2
sample_0028,ScienceDB,BCS_4.25,RT-DETR-L,7,0.9665,detected,94.04
sample_0029,ScienceDB,BCS_4.25,YOLOv8s,2,0.7379,detected,23.16
sample_0029,ScienceDB,BCS_4.25,FasterRCNN_v2,8,0.9749,detected,487.08
sample_0029,ScienceDB,BCS_4.25,RT-DETR-L,8,0.9551,detected,94.01
sample_0030,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,21.74
sample_0030,ScienceDB,BCS_4.25,FasterRCNN_v2,1,0.2969,detected,485.92
sample_0030,ScienceDB,BCS_4.25,RT-DETR-L,4,0.6827,detected,94.88
sample_0031,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,35.95
sample_0031,MmCows,Behavior_Lying,FasterRCNN_v2,1,0.439,detected,496.36
sample_0031,MmCows,Behavior_Lying,RT-DETR-L,0,,no_detection,93.92
sample_0032,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,24.18
sample_0032,MmCows,Behavior_Lying,FasterRCNN_v2,5,0.6426,detected,500.72
sample_0032,MmCows,Behavior_Lying,RT-DETR-L,0,,no_detection,94.02
sample_0033,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,36.49
sample_0033,MmCows,Behavior_Lying,FasterRCNN_v2,4,0.8103,detected,350.2
sample_0033,MmCows,Behavior_Lying,RT-DETR-L,0,,no_detection,93.95
sample_0034,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,35.22
sample_0034,MmCows,Behavior_Lying,FasterRCNN_v2,0,,no_detection,431.02
sample_0034,MmCows,Behavior_Lying,RT-DETR-L,1,0.3528,detected,94.43
sample_0035,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,21.02
sample_0035,MmCows,Behavior_Lying,FasterRCNN_v2,5,0.9903,detected,466.27
sample_0035,MmCows,Behavior_Lying,RT-DETR-L,7,0.494,detected,94.62
sample_0036,MmCows,Behavior_Standing,YOLOv8s,2,0.8946,detected,20.57
sample_0036,MmCows,Behavior_Standing,FasterRCNN_v2,8,0.9994,detected,467.38
sample_0036,MmCows,Behavior_Standing,RT-DETR-L,5,0.9591,detected,94.62
sample_0037,MmCows,Behavior_Standing,YOLOv8s,0,,no_detection,37.68
sample_0037,MmCows,Behavior_Standing,FasterRCNN_v2,1,0.6429,detected,403.65
sample_0037,MmCows,Behavior_Standing,RT-DETR-L,2,0.8014,detected,94.83
sample_0038,MmCows,Behavior_Standing,YOLOv8s,0,,no_detection,36.56
sample_0038,MmCows,Behavior_Standing,FasterRCNN_v2,0,,no_detection,421.03
sample_0038,MmCows,Behavior_Standing,RT-DETR-L,4,0.6174,detected,94.07
sample_0039,MmCows,Behavior_Standing,YOLOv8s,1,0.428,detected,21.64
sample_0039,MmCows,Behavior_Standing,FasterRCNN_v2,2,0.8824,detected,461.2
sample_0039,MmCows,Behavior_Standing,RT-DETR-L,6,0.3933,detected,94.01
sample_0040,MmCows,Behavior_Standing,YOLOv8s,0,,no_detection,33.79
sample_0040,MmCows,Behavior_Standing,FasterRCNN_v2,0,,no_detection,332.46
sample_0040,MmCows,Behavior_Standing,RT-DETR-L,4,0.4568,detected,93.54
sample_0041,MmCows,Behavior_Feeding_head_down,YOLOv8s,2,0.5971,detected,41.34
sample_0041,MmCows,Behavior_Feeding_head_down,FasterRCNN_v2,2,0.974,detected,415.02
sample_0041,MmCows,Behavior_Feeding_head_down,RT-DETR-L,4,0.579,detected,94.68
sample_0042,MmCows,Behavior_Feeding_head_down,YOLOv8s,3,0.9348,detected,27.68
sample_0042,MmCows,Behavior_Feeding_head_down,FasterRCNN_v2,5,0.9976,detected,443.98
sample_0042,MmCows,Behavior_Feeding_head_down,RT-DETR-L,9,0.5711,detected,94.72
sample_0043,MmCows,Behavior_Feeding_head_down,YOLOv8s,1,0.7523,detected,37.12
sample_0043,MmCows,Behavior_Feeding_head_down,FasterRCNN_v2,3,0.9962,detected,460.5
sample_0043,MmCows,Behavior_Feeding_head_down,RT-DETR-L,1,0.9326,detected,94.78
sample_0044,MmCows,Behavior_Feeding_head_down,YOLOv8s,1,0.6036,detected,21.41
sample_0044,MmCows,Behavior_Feeding_head_down,FasterRCNN_v2,3,0.9996,detected,478.19
sample_0044,MmCows,Behavior_Feeding_head_down,RT-DETR-L,2,0.8945,detected,94.38
sample_0045,MmCows,Behavior_Feeding_head_down,YOLOv8s,0,,no_detection,29.0
sample_0045,MmCows,Behavior_Feeding_head_down,FasterRCNN_v2,1,0.8722,detected,380.92
sample_0045,MmCows,Behavior_Feeding_head_down,RT-DETR-L,2,0.6931,detected,94.75
sample_0046,MmCows,Behavior_Feeding_head_up,YOLOv8s,1,0.4599,detected,29.92
sample_0046,MmCows,Behavior_Feeding_head_up,FasterRCNN_v2,7,0.9787,detected,378.93
sample_0046,MmCows,Behavior_Feeding_head_up,RT-DETR-L,4,0.6279,detected,94.1
sample_0047,MmCows,Behavior_Feeding_head_up,YOLOv8s,2,0.7834,detected,21.64
sample_0047,MmCows,Behavior_Feeding_head_up,FasterRCNN_v2,3,0.9978,detected,338.66
sample_0047,MmCows,Behavior_Feeding_head_up,RT-DETR-L,1,0.9654,detected,94.09
sample_0048,MmCows,Behavior_Feeding_head_up,YOLOv8s,0,,no_detection,22.89
sample_0048,MmCows,Behavior_Feeding_head_up,FasterRCNN_v2,1,0.6071,detected,488.11
sample_0048,MmCows,Behavior_Feeding_head_up,RT-DETR-L,7,0.9413,detected,94.6
sample_0049,MmCows,Behavior_Feeding_head_up,YOLOv8s,1,0.3202,detected,42.67
sample_0049,MmCows,Behavior_Feeding_head_up,FasterRCNN_v2,4,0.9741,detected,384.99
sample_0049,MmCows,Behavior_Feeding_head_up,RT-DETR-L,4,0.9455,detected,93.95
sample_0050,MmCows,Behavior_Feeding_head_up,YOLOv8s,1,0.7366,detected,37.32
sample_0050,MmCows,Behavior_Feeding_head_up,FasterRCNN_v2,2,0.998,detected,464.24
sample_0050,MmCows,Behavior_Feeding_head_up,RT-DETR-L,3,0.9095,detected,93.86
sample_0051,MmCows,Behavior_Walking,YOLOv8s,2,0.8759,detected,20.82
sample_0051,MmCows,Behavior_Walking,FasterRCNN_v2,5,0.9917,detected,444.72
sample_0051,MmCows,Behavior_Walking,RT-DETR-L,4,0.9457,detected,94.04
sample_0052,MmCows,Behavior_Walking,YOLOv8s,3,0.7034,detected,39.94
sample_0052,MmCows,Behavior_Walking,FasterRCNN_v2,7,0.9979,detected,409.54
sample_0052,MmCows,Behavior_Walking,RT-DETR-L,2,0.9666,detected,93.93
sample_0053,MmCows,Behavior_Walking,YOLOv8s,1,0.7739,detected,22.96
sample_0053,MmCows,Behavior_Walking,FasterRCNN_v2,5,0.9731,detected,340.82
sample_0053,MmCows,Behavior_Walking,RT-DETR-L,6,0.8745,detected,94.51
sample_0054,MmCows,Behavior_Walking,YOLOv8s,0,,no_detection,38.27
sample_0054,MmCows,Behavior_Walking,FasterRCNN_v2,11,0.9917,detected,399.52
sample_0054,MmCows,Behavior_Walking,RT-DETR-L,4,0.8989,detected,93.93
sample_0055,MmCows,Behavior_Drinking,YOLOv8s,2,0.7391,detected,22.64
sample_0055,MmCows,Behavior_Drinking,FasterRCNN_v2,4,0.9915,detected,463.9
sample_0055,MmCows,Behavior_Drinking,RT-DETR-L,5,0.8846,detected,94.45
sample_0056,MmCows,Behavior_Drinking,YOLOv8s,1,0.8813,detected,39.08
sample_0056,MmCows,Behavior_Drinking,FasterRCNN_v2,3,0.9989,detected,425.2
sample_0056,MmCows,Behavior_Drinking,RT-DETR-L,1,0.9593,detected,94.61
sample_0057,MmCows,Behavior_Drinking,YOLOv8s,2,0.5769,detected,88.95
sample_0057,MmCows,Behavior_Drinking,FasterRCNN_v2,4,0.957,detected,455.82
sample_0057,MmCows,Behavior_Drinking,RT-DETR-L,6,0.4473,detected,95.1
sample_0058,MmCows,Behavior_Licking,YOLOv8s,0,,no_detection,36.34
sample_0058,MmCows,Behavior_Licking,FasterRCNN_v2,0,,no_detection,382.18
sample_0058,MmCows,Behavior_Licking,RT-DETR-L,1,0.3066,detected,93.64
sample_0059,MmCows,Behavior_Licking,YOLOv8s,1,0.8862,detected,36.16
sample_0059,MmCows,Behavior_Licking,FasterRCNN_v2,2,0.9895,detected,458.86
sample_0059,MmCows,Behavior_Licking,RT-DETR-L,1,0.9275,detected,94.96
sample_0060,MmCows,Behavior_Licking,YOLOv8s,2,0.3432,detected,34.42
sample_0060,MmCows,Behavior_Licking,FasterRCNN_v2,2,0.9676,detected,405.79
sample_0060,MmCows,Behavior_Licking,RT-DETR-L,5,0.8486,detected,94.88
sample_0061,SideViewCows2026,ReID_parlor,YOLOv8s,1,0.9007,detected,21.34
sample_0061,SideViewCows2026,ReID_parlor,FasterRCNN_v2,5,0.9992,detected,471.74
sample_0061,SideViewCows2026,ReID_parlor,RT-DETR-L,3,0.9544,detected,94.26
sample_0062,SideViewCows2026,ReID_parlor,YOLOv8s,1,0.9497,detected,21.82
sample_0062,SideViewCows2026,ReID_parlor,FasterRCNN_v2,3,0.9979,detected,504.69
sample_0062,SideViewCows2026,ReID_parlor,RT-DETR-L,6,0.9768,detected,94.46
sample_0063,SideViewCows2026,ReID_parlor,YOLOv8s,2,0.9192,detected,26.44
sample_0063,SideViewCows2026,ReID_parlor,FasterRCNN_v2,5,0.9993,detected,426.09
sample_0063,SideViewCows2026,ReID_parlor,RT-DETR-L,6,0.9672,detected,94.49
sample_0064,SideViewCows2026,ReID_parlor,YOLOv8s,2,0.7719,detected,22.31
sample_0064,SideViewCows2026,ReID_parlor,FasterRCNN_v2,2,0.9978,detected,481.12
sample_0064,SideViewCows2026,ReID_parlor,RT-DETR-L,6,0.9211,detected,94.43
sample_0065,SideViewCows2026,ReID_parlor,YOLOv8s,2,0.9061,detected,25.24
sample_0065,SideViewCows2026,ReID_parlor,FasterRCNN_v2,4,0.9985,detected,454.42
sample_0065,SideViewCows2026,ReID_parlor,RT-DETR-L,5,0.9721,detected,95.13
sample_0066,SideViewCows2026,ReID_parlor,YOLOv8s,0,,no_detection,35.47
sample_0066,SideViewCows2026,ReID_parlor,FasterRCNN_v2,3,0.9517,detected,457.24
sample_0066,SideViewCows2026,ReID_parlor,RT-DETR-L,5,0.9224,detected,94.92
sample_0067,SideViewCows2026,ReID_parlor,YOLOv8s,3,0.8814,detected,37.08
sample_0067,SideViewCows2026,ReID_parlor,FasterRCNN_v2,2,0.7869,detected,488.22
sample_0067,SideViewCows2026,ReID_parlor,RT-DETR-L,16,0.9731,detected,94.04
sample_0068,SideViewCows2026,ReID_parlor,YOLOv8s,1,0.8765,detected,22.04
sample_0068,SideViewCows2026,ReID_parlor,FasterRCNN_v2,5,0.9996,detected,456.67
sample_0068,SideViewCows2026,ReID_parlor,RT-DETR-L,5,0.9507,detected,94.09
sample_0069,SideViewCows2026,ReID_parlor,YOLOv8s,1,0.9094,detected,23.3
sample_0069,SideViewCows2026,ReID_parlor,FasterRCNN_v2,2,0.9914,detected,467.6
sample_0069,SideViewCows2026,ReID_parlor,RT-DETR-L,7,0.9766,detected,94.2
sample_0070,SideViewCows2026,ReID_parlor,YOLOv8s,2,0.8805,detected,23.83
sample_0070,SideViewCows2026,ReID_parlor,FasterRCNN_v2,1,0.9542,detected,470.0
sample_0070,SideViewCows2026,ReID_parlor,RT-DETR-L,5,0.9692,detected,94.03
sample_0071,SideViewCows2026,ReID_barn,YOLOv8s,1,0.9456,detected,24.22
sample_0071,SideViewCows2026,ReID_barn,FasterRCNN_v2,1,0.9966,detected,500.31
sample_0071,SideViewCows2026,ReID_barn,RT-DETR-L,1,0.9799,detected,94.42
sample_0072,SideViewCows2026,ReID_barn,YOLOv8s,2,0.8609,detected,22.89
sample_0072,SideViewCows2026,ReID_barn,FasterRCNN_v2,18,0.9993,detected,502.86
sample_0072,SideViewCows2026,ReID_barn,RT-DETR-L,11,0.9755,detected,92.29
sample_0073,SideViewCows2026,ReID_barn,YOLOv8s,7,0.8678,detected,22.83
sample_0073,SideViewCows2026,ReID_barn,FasterRCNN_v2,18,0.9996,detected,505.91
sample_0073,SideViewCows2026,ReID_barn,RT-DETR-L,22,0.9739,detected,94.07
sample_0074,SideViewCows2026,ReID_barn,YOLOv8s,1,0.9264,detected,23.26
sample_0074,SideViewCows2026,ReID_barn,FasterRCNN_v2,2,0.9997,detected,505.35
sample_0074,SideViewCows2026,ReID_barn,RT-DETR-L,1,0.9763,detected,94.16
sample_0075,SideViewCows2026,ReID_barn,YOLOv8s,2,0.9192,detected,23.14
sample_0075,SideViewCows2026,ReID_barn,FasterRCNN_v2,4,0.9998,detected,503.25
sample_0075,SideViewCows2026,ReID_barn,RT-DETR-L,2,0.9791,detected,94.89
sample_0076,SideViewCows2026,ReID_barn,YOLOv8s,3,0.8601,detected,22.63
sample_0076,SideViewCows2026,ReID_barn,FasterRCNN_v2,4,0.9989,detected,505.61
sample_0076,SideViewCows2026,ReID_barn,RT-DETR-L,8,0.9773,detected,94.41
sample_0077,SideViewCows2026,ReID_barn,YOLOv8s,3,0.9152,detected,22.73
sample_0077,SideViewCows2026,ReID_barn,FasterRCNN_v2,9,0.9992,detected,503.7
sample_0077,SideViewCows2026,ReID_barn,RT-DETR-L,9,0.9743,detected,94.72
sample_0078,SideViewCows2026,ReID_barn,YOLOv8s,4,0.8645,detected,23.17
sample_0078,SideViewCows2026,ReID_barn,FasterRCNN_v2,19,0.9995,detected,501.17
sample_0078,SideViewCows2026,ReID_barn,RT-DETR-L,22,0.9569,detected,93.56
sample_0079,SideViewCows2026,ReID_barn,YOLOv8s,1,0.8767,detected,23.23
sample_0079,SideViewCows2026,ReID_barn,FasterRCNN_v2,3,0.9979,detected,501.88
sample_0079,SideViewCows2026,ReID_barn,RT-DETR-L,4,0.9774,detected,95.16
sample_0080,SideViewCows2026,ReID_barn,YOLOv8s,1,0.9037,detected,22.44
sample_0080,SideViewCows2026,ReID_barn,FasterRCNN_v2,3,0.9994,detected,503.14
sample_0080,SideViewCows2026,ReID_barn,RT-DETR-L,2,0.9804,detected,94.92
sample_0081,SideViewCows2026,ReID_snapshots,YOLOv8s,4,0.9048,detected,34.05
sample_0081,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,6,0.9996,detected,407.6
sample_0081,SideViewCows2026,ReID_snapshots,RT-DETR-L,6,0.9666,detected,94.33
sample_0082,SideViewCows2026,ReID_snapshots,YOLOv8s,1,0.8142,detected,30.87
sample_0082,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,1,0.9976,detected,407.97
sample_0082,SideViewCows2026,ReID_snapshots,RT-DETR-L,1,0.9753,detected,95.03
sample_0083,SideViewCows2026,ReID_snapshots,YOLOv8s,1,0.8961,detected,30.16
sample_0083,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,3,0.9999,detected,411.91
sample_0083,SideViewCows2026,ReID_snapshots,RT-DETR-L,1,0.9732,detected,93.92
sample_0084,SideViewCows2026,ReID_snapshots,YOLOv8s,1,0.8965,detected,29.71
sample_0084,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,1,0.9997,detected,407.38
sample_0084,SideViewCows2026,ReID_snapshots,RT-DETR-L,2,0.9696,detected,94.24
sample_0085,SideViewCows2026,ReID_snapshots,YOLOv8s,3,0.7917,detected,30.1
sample_0085,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,3,0.9994,detected,409.22
sample_0085,SideViewCows2026,ReID_snapshots,RT-DETR-L,5,0.9577,detected,93.43
sample_0086,SideViewCows2026,ReID_snapshots,YOLOv8s,5,0.9234,detected,30.21
sample_0086,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,18,0.9994,detected,407.43
sample_0086,SideViewCows2026,ReID_snapshots,RT-DETR-L,14,0.975,detected,92.77
sample_0087,SideViewCows2026,ReID_snapshots,YOLOv8s,2,0.9222,detected,31.13
sample_0087,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,3,0.9975,detected,407.15
sample_0087,SideViewCows2026,ReID_snapshots,RT-DETR-L,6,0.9742,detected,94.06
sample_0088,SideViewCows2026,ReID_snapshots,YOLOv8s,1,0.9305,detected,30.55
sample_0088,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,1,0.9992,detected,410.3
sample_0088,SideViewCows2026,ReID_snapshots,RT-DETR-L,5,0.9769,detected,94.72
sample_0089,SideViewCows2026,ReID_snapshots,YOLOv8s,1,0.8673,detected,30.28
sample_0089,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,11,0.9997,detected,407.86
sample_0089,SideViewCows2026,ReID_snapshots,RT-DETR-L,5,0.9706,detected,93.72
sample_0090,SideViewCows2026,ReID_snapshots,YOLOv8s,4,0.8992,detected,29.68
sample_0090,SideViewCows2026,ReID_snapshots,FasterRCNN_v2,21,0.999,detected,408.77
sample_0090,SideViewCows2026,ReID_snapshots,RT-DETR-L,7,0.9734,detected,93.3
