sample_id,dataset,model_name,keypoint_idx,keypoint_name,x_crop,y_crop,x_orig,y_orig,raw_confidence,is_above_vis_threshold,inside_gt_mask
sample_0001,ScienceDB,hrnet_w32,0,nose,439.56,296.04,774.56,296.04,0.0603,False,
sample_0001,ScienceDB,hrnet_w32,1,upper_jaw,470.19,351.3,805.19,351.3,0.0606,False,
sample_0001,ScienceDB,hrnet_w32,2,lower_jaw,310.94,474.12,645.94,474.12,0.3627,True,
sample_0001,ScienceDB,hrnet_w32,3,mouth_end_right,457.94,277.62,792.94,277.62,0.0367,False,
sample_0001,ScienceDB,hrnet_w32,4,mouth_end_left,482.44,320.6,817.44,320.6,0.1104,False,
sample_0001,ScienceDB,hrnet_w32,5,right_eye,476.31,271.48,811.31,271.48,0.2865,True,
sample_0001,ScienceDB,hrnet_w32,6,right_earbase,470.19,210.07,805.19,210.07,0.1235,False,
sample_0001,ScienceDB,hrnet_w32,7,right_earend,445.69,210.07,780.69,210.07,0.0636,False,
sample_0001,ScienceDB,hrnet_w32,8,right_antler_base,470.19,210.07,805.19,210.07,0.1147,False,
sample_0001,ScienceDB,hrnet_w32,9,right_antler_end,188.44,523.24,523.44,523.24,0.1365,False,
sample_0001,ScienceDB,hrnet_w32,10,left_eye,513.06,283.76,848.06,283.76,0.5104,True,
sample_0001,ScienceDB,hrnet_w32,11,left_earbase,549.81,271.48,884.81,271.48,0.0728,False,
sample_0001,ScienceDB,hrnet_w32,12,left_earend,219.06,560.09,554.06,560.09,0.0108,False,
sample_0001,ScienceDB,hrnet_w32,13,left_antler_base,549.81,271.48,884.81,271.48,0.0653,False,
sample_0001,ScienceDB,hrnet_w32,14,left_antler_end,188.44,523.24,523.44,523.24,0.1453,False,
sample_0001,ScienceDB,hrnet_w32,15,neck_base,488.56,345.16,823.56,345.16,0.0874,False,
sample_0001,ScienceDB,hrnet_w32,16,neck_end,274.19,265.34,609.19,265.34,0.0592,False,
sample_0001,ScienceDB,hrnet_w32,17,throat_base,464.06,363.59,799.06,363.59,0.0801,False,
sample_0001,ScienceDB,hrnet_w32,18,throat_end,476.31,375.87,811.31,375.87,0.0803,False,
sample_0001,ScienceDB,hrnet_w32,19,back_base,274.19,265.34,609.19,265.34,0.0639,False,
sample_0001,ScienceDB,hrnet_w32,20,back_end,200.69,412.71,535.69,412.71,0.1371,False,
sample_0001,ScienceDB,hrnet_w32,21,back_middle,261.94,265.34,596.94,265.34,0.0687,False,
sample_0001,ScienceDB,hrnet_w32,22,tail_base,200.69,412.71,535.69,412.71,0.1396,False,
sample_0001,ScienceDB,hrnet_w32,23,tail_end,188.44,523.24,523.44,523.24,0.2287,True,
sample_0001,ScienceDB,hrnet_w32,24,front_left_thai,543.69,394.29,878.69,394.29,0.1557,False,
sample_0001,ScienceDB,hrnet_w32,25,front_left_knee,549.81,504.82,884.81,504.82,0.0702,False,
sample_0001,ScienceDB,hrnet_w32,26,front_left_paw,415.06,566.23,750.06,566.23,0.1198,False,
