sample_id,dataset,model_name,keypoint_idx,keypoint_name,x_crop,y_crop,x_orig,y_orig,raw_confidence,is_above_vis_threshold,inside_gt_mask
sample_0001,ScienceDB,resnet_50,0,nose,200.15,515.12,535.15,515.12,0.2262,True,
sample_0001,ScienceDB,resnet_50,1,upper_jaw,205.28,538.52,540.28,538.52,0.3435,True,
sample_0001,ScienceDB,resnet_50,2,lower_jaw,209.19,539.0,544.19,539.0,0.2656,True,
sample_0001,ScienceDB,resnet_50,3,mouth_end_right,215.82,535.96,550.82,535.96,0.1402,False,
sample_0001,ScienceDB,resnet_50,4,mouth_end_left,214.14,536.83,549.14,536.83,0.2528,True,
sample_0001,ScienceDB,resnet_50,5,right_eye,252.49,471.95,587.49,471.95,0.4805,True,
sample_0001,ScienceDB,resnet_50,6,right_earbase,213.14,406.67,548.14,406.67,0.28,True,
sample_0001,ScienceDB,resnet_50,7,right_earend,202.0,415.41,537.0,415.41,0.4051,True,
sample_0001,ScienceDB,resnet_50,8,right_antler_base,215.87,490.18,550.87,490.18,0.1321,False,
sample_0001,ScienceDB,resnet_50,9,right_antler_end,273.02,260.44,608.02,260.44,0.1906,False,
sample_0001,ScienceDB,resnet_50,10,left_eye,264.55,477.63,599.55,477.63,0.3555,True,
sample_0001,ScienceDB,resnet_50,11,left_earbase,347.7,461.27,682.7,461.27,0.1041,False,
sample_0001,ScienceDB,resnet_50,12,left_earend,509.11,477.73,844.11,477.73,0.1791,False,
sample_0001,ScienceDB,resnet_50,13,left_antler_base,288.18,432.73,623.18,432.73,0.1007,False,
sample_0001,ScienceDB,resnet_50,14,left_antler_end,384.6,460.37,719.6,460.37,0.1962,False,
sample_0001,ScienceDB,resnet_50,15,neck_base,288.06,385.22,623.06,385.22,0.4765,True,
sample_0001,ScienceDB,resnet_50,16,neck_end,279.05,357.73,614.05,357.73,0.2273,True,
sample_0001,ScienceDB,resnet_50,17,throat_base,289.86,422.44,624.86,422.44,0.1285,False,
sample_0001,ScienceDB,resnet_50,18,throat_end,341.96,423.88,676.96,423.88,0.0872,False,
sample_0001,ScienceDB,resnet_50,19,back_base,279.87,350.26,614.87,350.26,0.2378,True,
sample_0001,ScienceDB,resnet_50,20,back_end,252.85,268.53,587.85,268.53,0.2649,True,
sample_0001,ScienceDB,resnet_50,21,back_middle,273.65,256.43,608.65,256.43,0.2299,True,
sample_0001,ScienceDB,resnet_50,22,tail_base,255.62,272.76,590.62,272.76,0.2012,True,
sample_0001,ScienceDB,resnet_50,23,tail_end,508.64,477.28,843.64,477.28,0.1606,False,
sample_0001,ScienceDB,resnet_50,24,front_left_thai,363.21,398.79,698.21,398.79,0.3558,True,
sample_0001,ScienceDB,resnet_50,25,front_left_knee,381.57,469.19,716.57,469.19,0.2776,True,
sample_0001,ScienceDB,resnet_50,26,front_left_paw,428.44,542.18,763.44,542.18,0.2684,True,
sample_0001,ScienceDB,resnet_50,27,front_right_thai,445.4,434.67,780.4,434.67,0.2688,True,
sample_0001,ScienceDB,resnet_50,28,front_right_knee,356.16,471.76,691.16,471.76,0.2189,True,
sample_0001,ScienceDB,resnet_50,29,front_right_paw,368.94,465.59,703.94,465.59,0.3502,True,
sample_0001,ScienceDB,resnet_50,30,back_left_paw,419.45,539.73,754.45,539.73,0.1531,False,
sample_0001,ScienceDB,resnet_50,31,back_left_thai,449.4,432.98,784.4,432.98,0.1005,False,
sample_0001,ScienceDB,resnet_50,32,back_right_thai,235.5,356.26,570.5,356.26,0.3805,True,
sample_0001,ScienceDB,resnet_50,33,back_left_knee,275.74,277.13,610.74,277.13,0.0861,False,
sample_0001,ScienceDB,resnet_50,34,back_right_knee,436.97,430.37,771.97,430.37,0.1274,False,
sample_0001,ScienceDB,resnet_50,35,back_right_paw,416.77,539.46,751.77,539.46,0.2124,True,
sample_0001,ScienceDB,resnet_50,36,belly_bottom,407.8,426.15,742.8,426.15,0.1888,False,
sample_0001,ScienceDB,resnet_50,37,body_middle_right,241.44,353.39,576.44,353.39,0.163,False,
sample_0001,ScienceDB,resnet_50,38,body_middle_left,493.61,403.4,828.61,403.4,0.1492,False,
sample_0002,ScienceDB,resnet_50,0,nose,246.45,147.8,416.45,147.8,0.1615,False,
sample_0002,ScienceDB,resnet_50,1,upper_jaw,151.9,482.03,321.9,482.03,0.1056,False,
sample_0002,ScienceDB,resnet_50,2,lower_jaw,152.37,461.53,322.37,461.53,0.1411,False,
sample_0002,ScienceDB,resnet_50,3,mouth_end_right,143.07,471.26,313.07,471.26,0.0897,False,
sample_0002,ScienceDB,resnet_50,4,mouth_end_left,182.22,363.02,352.22,363.02,0.1574,False,
sample_0002,ScienceDB,resnet_50,5,right_eye,247.08,231.79,417.08,231.79,0.3752,True,
sample_0002,ScienceDB,resnet_50,6,right_earbase,36.99,228.41,206.99,228.41,0.4881,True,
sample_0002,ScienceDB,resnet_50,7,right_earend,60.74,212.57,230.74,212.57,0.2119,True,
sample_0002,ScienceDB,resnet_50,8,right_antler_base,51.18,189.89,221.18,189.89,0.2582,True,
sample_0002,ScienceDB,resnet_50,9,right_antler_end,176.58,339.14,346.58,339.14,0.0934,False,
sample_0002,ScienceDB,resnet_50,10,left_eye,83.17,206.56,253.17,206.56,0.2491,True,
sample_0002,ScienceDB,resnet_50,11,left_earbase,179.74,219.8,349.74,219.8,0.2468,True,
sample_0002,ScienceDB,resnet_50,12,left_earend,184.21,351.36,354.21,351.36,0.2542,True,
sample_0002,ScienceDB,resnet_50,13,left_antler_base,320.31,158.43,490.31,158.43,0.1796,False,
sample_0002,ScienceDB,resnet_50,14,left_antler_end,193.59,208.81,363.59,208.81,0.1731,False,
sample_0002,ScienceDB,resnet_50,15,neck_base,171.74,365.89,341.74,365.89,0.2931,True,
sample_0002,ScienceDB,resnet_50,16,neck_end,187.78,216.02,357.78,216.02,0.1789,False,
sample_0002,ScienceDB,resnet_50,17,throat_base,167.76,370.81,337.76,370.81,0.3888,True,
sample_0002,ScienceDB,resnet_50,18,throat_end,177.43,376.15,347.43,376.15,0.2203,True,
sample_0002,ScienceDB,resnet_50,19,back_base,186.73,211.04,356.73,211.04,0.3266,True,
sample_0002,ScienceDB,resnet_50,20,back_end,133.31,397.84,303.31,397.84,0.1083,False,
sample_0002,ScienceDB,resnet_50,21,back_middle,285.48,326.61,455.48,326.61,0.0969,False,
sample_0002,ScienceDB,resnet_50,22,tail_base,207.01,199.59,377.01,199.59,0.0636,False,
sample_0002,ScienceDB,resnet_50,23,tail_end,131.82,437.0,301.82,437.0,0.0942,False,
sample_0002,ScienceDB,resnet_50,24,front_left_thai,349.31,442.58,519.31,442.58,0.3466,True,
sample_0002,ScienceDB,resnet_50,25,front_left_knee,359.66,549.76,529.66,549.76,0.3256,True,
sample_0002,ScienceDB,resnet_50,26,front_left_paw,201.69,492.04,371.69,492.04,0.1186,False,
sample_0002,ScienceDB,resnet_50,27,front_right_thai,131.88,389.16,301.88,389.16,0.3388,True,
sample_0002,ScienceDB,resnet_50,28,front_right_knee,143.56,402.26,313.56,402.26,0.3897,True,
sample_0002,ScienceDB,resnet_50,29,front_right_paw,188.69,491.97,358.69,491.97,0.6042,True,
sample_0002,ScienceDB,resnet_50,30,back_left_paw,149.43,448.6,319.43,448.6,0.1502,False,
sample_0002,ScienceDB,resnet_50,31,back_left_thai,385.59,361.96,555.59,361.96,0.2598,True,
sample_0002,ScienceDB,resnet_50,32,back_right_thai,127.28,378.74,297.28,378.74,0.4134,True,
sample_0002,ScienceDB,resnet_50,33,back_left_knee,386.16,260.41,556.16,260.41,0.2443,True,
sample_0002,ScienceDB,resnet_50,34,back_right_knee,141.67,405.59,311.67,405.59,0.5262,True,
sample_0002,ScienceDB,resnet_50,35,back_right_paw,136.92,437.6,306.92,437.6,0.4421,True,
sample_0002,ScienceDB,resnet_50,36,belly_bottom,281.73,449.93,451.73,449.93,0.5141,True,
sample_0002,ScienceDB,resnet_50,37,body_middle_right,31.53,244.24,201.53,244.24,0.247,True,
sample_0002,ScienceDB,resnet_50,38,body_middle_left,372.5,273.26,542.5,273.26,0.3455,True,
sample_0003,ScienceDB,resnet_50,0,nose,521.74,308.02,521.74,309.02,0.1675,False,
sample_0003,ScienceDB,resnet_50,1,upper_jaw,538.54,347.36,538.54,348.36,0.1095,False,
