sample_id,dataset,category_or_subset,image_path,model_name,detector_name,crop_x1,crop_y1,crop_x2,crop_y2,pose_detector_status,inference_status,inference_time_ms,num_returned_keypoints,mean_raw_confidence,median_raw_confidence,num_below_vis_threshold,num_above_vis_threshold,vis_threshold,keypoints_inside_mask_rate,failure_reason
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,335,0,933,576,detector_detected,pose_output_returned,893.25,39,0.1349,0.1147,33,6,0.2,,
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,170,0,600,576,detector_detected,pose_output_returned,493.91,39,0.1264,0.1177,33,6,0.2,,
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,1,1024,576,detector_detected,pose_output_returned,531.04,39,0.2033,0.112,26,13,0.2,,
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0005,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,618,576,detector_no_detection,pose_detector_failure,411.91,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0006,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,280,66,750,572,detector_detected,pose_output_returned,452.17,39,0.1523,0.1348,30,9,0.2,,
sample_0007,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_3070_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,533.14,39,0.0762,0.0617,37,2,0.2,,
sample_0008,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_864_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,532,0,903,576,detector_detected,pose_output_returned,526.45,39,0.0725,0.0527,37,2,0.2,,
sample_0009,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_862_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,497,0,927,575,detector_detected,pose_output_returned,493.14,39,0.1083,0.0995,36,3,0.2,,
sample_0010,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1059_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,12,0,828,576,detector_detected,pose_output_returned,507.53,39,0.1255,0.0988,32,7,0.2,,
