sample_id,dataset,category_or_subset,image_path,model_name,detector_name,crop_x1,crop_y1,crop_x2,crop_y2,pose_detector_status,inference_status,inference_time_ms,num_returned_keypoints,mean_raw_confidence,median_raw_confidence,num_below_vis_threshold,num_above_vis_threshold,vis_threshold,keypoints_inside_mask_rate,failure_reason
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,335,0,933,576,detector_detected,pose_output_returned,891.89,39,0.2299,0.2189,17,22,0.2,,
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,170,0,600,576,detector_detected,pose_output_returned,476.4,39,0.2621,0.247,15,24,0.2,,
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,0,1,1024,576,detector_detected,pose_output_returned,514.34,39,0.2434,0.1958,21,18,0.2,,
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0005,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,0,0,618,576,detector_no_detection,pose_detector_failure,417.52,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0006,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,280,66,750,572,detector_detected,pose_output_returned,435.64,39,0.3148,0.2893,11,28,0.2,,
sample_0007,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_3070_4.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,505.86,39,0.3054,0.2665,7,32,0.2,,
sample_0008,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_864_4.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,532,0,903,576,detector_detected,pose_output_returned,509.72,39,0.3232,0.2759,7,32,0.2,,
sample_0009,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_862_1.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,497,0,927,575,detector_detected,pose_output_returned,476.06,39,0.2956,0.2525,14,25,0.2,,
sample_0010,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1059_4.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,12,0,828,576,detector_detected,pose_output_returned,492.92,39,0.2708,0.2573,13,26,0.2,,
sample_0011,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2009_1.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,256,0,890,576,detector_detected,pose_output_returned,440.56,39,0.2995,0.266,12,27,0.2,,
sample_0012,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1857_1.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,289,71,634,572,detector_detected,pose_output_returned,497.53,39,0.2534,0.2493,13,26,0.2,,
sample_0013,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2361_8.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,237,0,833,576,detector_detected,pose_output_returned,439.08,39,0.2597,0.2475,13,26,0.2,,
sample_0014,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1704_1.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,391,79,693,475,detector_detected,pose_output_returned,469.09,39,0.2519,0.2246,18,21,0.2,,
sample_0015,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1751_1.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,132,0,810,576,detector_detected,pose_output_returned,439.38,39,0.2594,0.1939,21,18,0.2,,
sample_0016,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_942_2.jpg,resnet_50,fasterrcnn_resnet50_fpn_v2,220,0,1023,576,detector_detected,pose_output_returned,476.99,39,0.3004,0.2312,16,23,0.2,,
