sample_id,dataset,category_or_subset,image_path,model_name,detector_name,crop_x1,crop_y1,crop_x2,crop_y2,pose_detector_status,inference_status,inference_time_ms,num_returned_keypoints,mean_raw_confidence,median_raw_confidence,num_below_vis_threshold,num_above_vis_threshold,vis_threshold,keypoints_inside_mask_rate,failure_reason
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,335,0,933,576,detector_detected,pose_output_returned,894.22,39,0.1349,0.1147,33,6,0.2,,
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,170,0,600,576,detector_detected,pose_output_returned,493.69,39,0.1264,0.1177,33,6,0.2,,
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,1,1024,576,detector_detected,pose_output_returned,534.32,39,0.2033,0.112,26,13,0.2,,
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0005,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,618,576,detector_no_detection,pose_detector_failure,410.98,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0006,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,280,66,750,572,detector_detected,pose_output_returned,453.83,39,0.1523,0.1348,30,9,0.2,,
sample_0007,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_3070_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,1024,576,detector_detected,pose_output_returned,530.95,39,0.0762,0.0617,37,2,0.2,,
sample_0008,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_864_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,532,0,903,576,detector_detected,pose_output_returned,529.96,39,0.0725,0.0527,37,2,0.2,,
sample_0009,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_862_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,497,0,927,575,detector_detected,pose_output_returned,492.86,39,0.1083,0.0995,36,3,0.2,,
sample_0010,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1059_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,12,0,828,576,detector_detected,pose_output_returned,507.8,39,0.1255,0.0988,32,7,0.2,,
sample_0101,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690305476_12-17-56_2_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0102,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690315496_15-04-56_3_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0103,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690294961_09-22-41_13_1.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0104,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690310816_13-46-56_1_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,60,12,273,157,detector_detected,pose_output_returned,510.51,39,0.1693,0.1571,26,13,0.2,,
sample_0105,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690344881_23-14-41_6_3.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,500,321,detector_detected,pose_output_returned,523.26,39,0.1132,0.0749,33,6,0.2,,
sample_0106,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690330451_19-14-11_3_3.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0107,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690345676_23-27-56_4_2.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,315,63,433,162,detector_detected,pose_output_returned,460.0,39,0.2266,0.1936,22,17,0.2,,
sample_0108,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690284566_06-29-26_9_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,,,,,not_run,upstream_localization_failure,0.0,0,,,0,0,0.2,,RT-DETR-L did not provide target-cow crop
sample_0109,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690283996_06-19-56_2_4.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,407,0,519,155,detector_detected,pose_output_returned,499.52,39,0.2268,0.1779,22,17,0.2,,
sample_0110,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690299986_10-46-26_3_3.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,0,398,309,detector_detected,pose_output_returned,487.54,39,0.0824,0.0601,37,2,0.2,,
sample_0201,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/503/503_0130.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,12,690,492,detector_detected,pose_output_returned,507.24,39,0.2468,0.2282,19,20,0.2,0.5897,
sample_0202,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/962/962_0113.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,9,819,495,detector_detected,pose_output_returned,548.67,39,0.4438,0.4975,11,28,0.2,0.6923,
sample_0203,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/733/733_0514.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,0,18,625,548,detector_detected,pose_output_returned,461.47,39,0.2085,0.1071,24,15,0.2,0.4359,
sample_0204,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/871/871_0057.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,36,35,741,505,detector_detected,pose_output_returned,516.39,39,0.3221,0.3251,16,23,0.2,0.6923,
sample_0205,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/442/442_0333.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,38,14,787,567,detector_detected,pose_output_returned,494.52,39,0.3637,0.2488,18,21,0.2,0.5641,
sample_0206,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/275/275_0115.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,24,11,546,444,detector_detected,pose_output_returned,477.67,39,0.249,0.187,22,17,0.2,0.6667,
sample_0207,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/733/733_0190.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,109,13,978,529,detector_detected,pose_output_returned,546.99,39,0.1322,0.1192,30,9,0.2,0.6923,
sample_0208,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/680/680_0155.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,23,22,885,553,detector_no_detection,pose_detector_failure,502.31,0,,,0,0,0.2,,SuperAnimal internal detector found 0 cows in crop
sample_0209,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/887/887_0366.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,1,16,757,533,detector_detected,pose_output_returned,516.15,39,0.3443,0.2926,18,21,0.2,0.7692,
sample_0210,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/887/887_0547.jpg,hrnet_w32,fasterrcnn_resnet50_fpn_v2,20,12,906,472,detector_detected,pose_output_returned,509.36,39,0.3633,0.3883,14,25,0.2,0.8974,
