sample_id,dataset,dataset_role,image_path,mask_path,category_or_subset,burst_or_session,metadata
sample_0001,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,,BCS_3.25,GS_burst_0727,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_0727"", ""original_passage_id"": ""GS_1652"", ""farm_source"": ""GS_Gansu""}"
sample_0002,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,,BCS_3.25,GS_burst_1473,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1473"", ""original_passage_id"": ""GS_2331"", ""farm_source"": ""GS_Gansu""}"
sample_0003,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,,BCS_3.25,GS_burst_1251,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1251"", ""original_passage_id"": ""GS_2127"", ""farm_source"": ""GS_Gansu""}"
sample_0004,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,,BCS_3.25,GS_burst_3267,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_3267"", ""original_passage_id"": ""GS_934"", ""farm_source"": ""GS_Gansu""}"
sample_0005,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,,BCS_3.25,GS_burst_1969,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1969"", ""original_passage_id"": ""GS_2779"", ""farm_source"": ""GS_Gansu""}"
sample_0006,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,,BCS_3.25,YM_burst_0409,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_0409"", ""original_passage_id"": ""YM_1367"", ""farm_source"": ""YM_Farm2""}"
sample_0007,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_3070_4.jpg,,BCS_3.25,GS_burst_2294,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_2294"", ""original_passage_id"": ""GS_3070"", ""farm_source"": ""GS_Gansu""}"
sample_0008,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_864_4.jpg,,BCS_3.25,YM_burst_1905,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_1905"", ""original_passage_id"": ""YM_864"", ""farm_source"": ""YM_Farm2""}"
sample_0009,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_862_1.jpg,,BCS_3.25,YM_burst_1903,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_1903"", ""original_passage_id"": ""YM_862"", ""farm_source"": ""YM_Farm2""}"
sample_0010,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1059_4.jpg,,BCS_3.25,GS_burst_0068,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_0068"", ""original_passage_id"": ""GS_1059"", ""farm_source"": ""GS_Gansu""}"
sample_0011,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2009_1.jpg,,BCS_3.25,GS_burst_1120,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1120"", ""original_passage_id"": ""GS_2009"", ""farm_source"": ""GS_Gansu""}"
sample_0012,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1857_1.jpg,,BCS_3.25,YM_burst_0952,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_0952"", ""original_passage_id"": ""YM_1857"", ""farm_source"": ""YM_Farm2""}"
sample_0013,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2361_8.jpg,,BCS_3.25,GS_burst_1506,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1506"", ""original_passage_id"": ""GS_2361"", ""farm_source"": ""GS_Gansu""}"
sample_0014,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1704_1.jpg,,BCS_3.25,YM_burst_0783,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_0783"", ""original_passage_id"": ""YM_1704"", ""farm_source"": ""YM_Farm2""}"
sample_0015,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1751_1.jpg,,BCS_3.25,GS_burst_0837,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_0837"", ""original_passage_id"": ""GS_1751"", ""farm_source"": ""GS_Gansu""}"
