sample_id,dataset,dataset_role,image_path,mask_path,category_or_subset,burst_or_session,metadata
sample_0001,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,,BCS_3.25,GS_burst_0727,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_0727"", ""original_passage_id"": ""GS_1652"", ""farm_source"": ""GS_Gansu""}"
sample_0002,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,,BCS_3.25,GS_burst_1473,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1473"", ""original_passage_id"": ""GS_2331"", ""farm_source"": ""GS_Gansu""}"
sample_0003,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,,BCS_3.25,GS_burst_1251,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1251"", ""original_passage_id"": ""GS_2127"", ""farm_source"": ""GS_Gansu""}"
sample_0004,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,,BCS_3.25,GS_burst_3267,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_3267"", ""original_passage_id"": ""GS_934"", ""farm_source"": ""GS_Gansu""}"
sample_0005,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,,BCS_3.25,GS_burst_1969,"{""bcs_label"": 3.25, ""burst_group_id"": ""GS_burst_1969"", ""original_passage_id"": ""GS_2779"", ""farm_source"": ""GS_Gansu""}"
sample_0006,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,,BCS_3.25,YM_burst_0409,"{""bcs_label"": 3.25, ""burst_group_id"": ""YM_burst_0409"", ""original_passage_id"": ""YM_1367"", ""farm_source"": ""YM_Farm2""}"
sample_0007,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1724_4.jpg,,BCS_3.5,YM_burst_0805,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_0805"", ""original_passage_id"": ""YM_1724"", ""farm_source"": ""YM_Farm2""}"
sample_0008,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1215_4.jpg,,BCS_3.5,GS_burst_0242,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_0242"", ""original_passage_id"": ""GS_1215"", ""farm_source"": ""GS_Gansu""}"
sample_0009,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1011_1.jpg,,BCS_3.5,YM_burst_0016,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_0016"", ""original_passage_id"": ""YM_1011"", ""farm_source"": ""YM_Farm2""}"
sample_0010,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1857_4.jpg,,BCS_3.5,GS_burst_0951,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_0951"", ""original_passage_id"": ""GS_1857"", ""farm_source"": ""GS_Gansu""}"
sample_0011,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1781_4.jpg,,BCS_3.5,GS_burst_0870,"{""bcs_label"": 3.5, ""burst_group_id"": ""GS_burst_0870"", ""original_passage_id"": ""GS_1781"", ""farm_source"": ""GS_Gansu""}"
sample_0012,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_574_1.jpg,,BCS_3.5,YM_burst_1583,"{""bcs_label"": 3.5, ""burst_group_id"": ""YM_burst_1583"", ""original_passage_id"": ""YM_574"", ""farm_source"": ""YM_Farm2""}"
sample_0013,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1461_2.jpg,,BCS_3.75,GS_burst_0515,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0515"", ""original_passage_id"": ""GS_1461"", ""farm_source"": ""GS_Gansu""}"
sample_0014,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1272_2.jpg,,BCS_3.75,GS_burst_0305,"{""bcs_label"": 3.75, ""burst_group_id"": ""GS_burst_0305"", ""original_passage_id"": ""GS_1272"", ""farm_source"": ""GS_Gansu""}"
sample_0015,ScienceDB,BCS (Primary),D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i10959.jpg,,BCS_3.75,STEREO_burst_0241,"{""bcs_label"": 3.75, ""burst_group_id"": ""STEREO_burst_0241"", ""original_passage_id"": ""STEREO_blk_241"", ""farm_source"": ""STEREO_Farm3""}"
