sample_id,dataset,category_or_subset,image_path,rtdetr_box_status,sam2_status,sam2_time_ms,sam2_sideview_iou,sam2_sideview_dice,yolo26_status,yolo26_time_ms,yolo26_sideview_iou,yolo26_sideview_dice,oracle_sam_iou,oracle_sam_dice
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,box_present,segmented,907.1,,,segmented,235.9,,,,
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,box_present,segmented,376.2,,,segmented,28.6,,,,
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,box_present,segmented,376.2,,,segmented,27.9,,,,
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,upstream_localization_failure,upstream_localization_failure,0.0,,,no_detection,27.5,,,,
sample_0005,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,box_present,segmented,375.3,,,no_detection,27.0,,,,
sample_0006,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,box_present,segmented,375.9,,,segmented,35.2,,,,
sample_0007,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_3070_4.jpg,box_present,segmented,374.7,,,no_detection,28.1,,,,
sample_0008,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_864_4.jpg,box_present,segmented,376.1,,,segmented,28.3,,,,
sample_0009,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_862_1.jpg,box_present,segmented,375.7,,,segmented,28.7,,,,
sample_0010,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1059_4.jpg,box_present,segmented,374.7,,,segmented,28.2,,,,
sample_0011,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2009_1.jpg,box_present,segmented,377.1,,,segmented,28.1,,,,
sample_0012,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1857_1.jpg,box_present,segmented,375.9,,,segmented,28.3,,,,
sample_0013,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2361_8.jpg,box_present,segmented,376.0,,,segmented,28.3,,,,
sample_0014,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1704_1.jpg,box_present,segmented,377.8,,,segmented,28.7,,,,
sample_0015,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1751_1.jpg,box_present,segmented,376.2,,,no_detection,27.1,,,,
