sample_id,dataset,category_or_subset,image_path,rtdetr_box_status,sam2_status,sam2_time_ms,sam2_sideview_iou,sam2_sideview_dice,yolo26_status,yolo26_time_ms,yolo26_sideview_iou,yolo26_sideview_dice,oracle_sam_iou,oracle_sam_dice
sample_0001,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1652_1.jpg,box_present,segmented,979.3,,,segmented,293.8,,,,
sample_0002,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2331_8.jpg,box_present,segmented,396.4,,,segmented,29.2,,,,
sample_0003,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2127_4.jpg,box_present,segmented,389.0,,,segmented,28.0,,,,
sample_0004,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_934_2.jpg,upstream_localization_failure,upstream_localization_failure,0.0,,,no_detection,26.6,,,,
sample_0005,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,box_present,segmented,389.9,,,no_detection,26.7,,,,
sample_0006,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1367_2.jpg,box_present,segmented,389.5,,,segmented,35.0,,,,
sample_0007,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_3070_4.jpg,box_present,segmented,389.2,,,no_detection,27.3,,,,
sample_0008,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_864_4.jpg,box_present,segmented,389.4,,,segmented,28.0,,,,
sample_0009,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_862_1.jpg,box_present,segmented,389.7,,,segmented,27.7,,,,
sample_0010,ScienceDB,BCS_3.25,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1059_4.jpg,box_present,segmented,388.0,,,segmented,29.0,,,,
sample_0101,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690305476_12-17-56_2_2.jpg,upstream_localization_failure,upstream_localization_failure,0.0,,,no_detection,58.5,,,,
sample_0102,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690315496_15-04-56_3_2.jpg,upstream_localization_failure,upstream_localization_failure,0.0,,,no_detection,30.7,,,,
sample_0103,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690294961_09-22-41_13_1.jpg,upstream_localization_failure,upstream_localization_failure,0.0,,,no_detection,55.2,,,,
sample_0104,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690310816_13-46-56_1_4.jpg,box_present,segmented,390.9,,,no_detection,57.6,,,,
sample_0105,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690344881_23-14-41_6_3.jpg,box_present,segmented,392.0,,,segmented,29.9,,,,
sample_0106,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690330451_19-14-11_3_3.jpg,upstream_localization_failure,upstream_localization_failure,0.0,,,no_detection,25.4,,,,
sample_0107,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690345676_23-27-56_4_2.jpg,box_present,segmented,391.2,,,no_detection,51.6,,,,
sample_0108,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690284566_06-29-26_9_4.jpg,upstream_localization_failure,upstream_localization_failure,0.0,,,no_detection,51.7,,,,
sample_0109,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690283996_06-19-56_2_4.jpg,box_present,segmented,391.6,,,no_detection,22.1,,,,
sample_0110,MmCows,Behavior_Lying,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690299986_10-46-26_3_3.jpg,box_present,segmented,404.7,,,segmented,55.0,,,,
sample_0201,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/503/503_0130.jpg,box_present,segmented,412.5,0.7981,0.8877,segmented,28.0,0.733,0.8459,0.9372,0.9676
sample_0202,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/962/962_0113.jpg,box_present,segmented,390.8,0.9659,0.9827,segmented,27.5,0.9019,0.9484,0.9666,0.983
sample_0203,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/733/733_0514.jpg,box_present,segmented,411.2,0.6796,0.8093,segmented,60.8,0.4712,0.6406,0.8441,0.9155
sample_0204,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/871/871_0057.jpg,box_present,segmented,389.6,0.8086,0.8942,segmented,29.0,0.7495,0.8568,0.8497,0.9187
sample_0205,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/442/442_0333.jpg,box_present,segmented,397.7,0.9557,0.9773,segmented,32.7,0.8304,0.9074,0.961,0.9801
sample_0206,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/275/275_0115.jpg,box_present,segmented,403.5,0.6974,0.8217,segmented,53.6,0.7869,0.8807,0.905,0.9501
sample_0207,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/733/733_0190.jpg,box_present,segmented,393.4,0.9162,0.9563,segmented,55.1,0.8586,0.9239,0.9265,0.9619
sample_0208,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/680/680_0155.jpg,box_present,segmented,396.4,0.9209,0.9588,segmented,27.1,0.9158,0.956,0.933,0.9653
sample_0209,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/887/887_0366.jpg,box_present,segmented,394.5,0.9141,0.9551,segmented,31.3,0.9297,0.9636,0.9336,0.9657
sample_0210,SideViewCows2026,ReID_parlor,datasets/id/external/sideviewcows2026/parlor/images/887/887_0547.jpg,box_present,segmented,399.5,0.8244,0.9038,segmented,28.0,0.8674,0.929,0.9594,0.9793
