sample_id,dataset,source_image_path,provenance_group,cow_or_identity_id_if_available,session_or_timeblock_if_available,viewpoint,occlusion,body_cutoff,multiple_cows,review_status
vp1k_0001,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/YM_1859_5.jpg,YM_burst_0954,,YM_Farm2/YM_1859,rear,none,none,yes,human_verified
vp1k_0002,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/GS_336_4.jpg,GS_burst_2603,,GS_Gansu/GS_336,rear,none,none,no,human_verified
vp1k_0003,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690306586_12-36-26_14_4.jpg,ev_1690306586_c14,cow_14,tb_2_cam_4,side,none,none,no,human_verified
vp1k_0004,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/GS_3313_18.jpg,GS_burst_2564,,GS_Gansu/GS_3313,rear,none,none,no,human_verified
vp1k_0005,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/YM_1682_3.jpg,YM_burst_0758,,YM_Farm2/YM_1682,rear-oblique,none,none,yes,human_verified
vp1k_0006,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/GS_556_5.jpg,GS_burst_2847,,GS_Gansu/GS_556,rear,none,partial,no,human_verified
vp1k_0007,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/GS_342_4.jpg,GS_burst_2610,,GS_Gansu/GS_342,rear,none,partial,no,human_verified
vp1k_0008,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690343501_22-51-41_12_3.jpg,ev_1690343501_c12,cow_12,tb_3_cam_3,rear-oblique,none,none,no,human_verified
vp1k_0009,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/684/684_0260.jpg,barn_cow_0684_sess_001,cow_684,barn/barn_cow_0684_sess_001,side,partial,none,no,human_verified
vp1k_0010,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690319411_16-10-11_14_2.jpg,ev_1690319411_c14,cow_14,tb_2_cam_2,unknown / ambiguous,severe,severe,no,human_verified
vp1k_0011,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/725/725_0159.jpg,barn_cow_0725_sess_001,cow_725,barn/barn_cow_0725_sess_001,side,none,partial,no,human_verified
vp1k_0012,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/166/166_0262.jpg,barn_cow_0166_sess_001,cow_166,barn/barn_cow_0166_sess_001,side,none,none,yes,human_verified
vp1k_0013,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/GS_1833_5.jpg,GS_burst_0925,,GS_Gansu/GS_1833,rear,partial,none,yes,human_verified
vp1k_0014,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/920/920_0239.jpg,barn_cow_0920_sess_001,cow_920,barn/barn_cow_0920_sess_001,side,none,none,no,human_verified
vp1k_0015,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.25/R-i640.jpg,STEREO_burst_0012,,STEREO_Farm3/STEREO_blk_012,rear,none,severe,no,human_verified
vp1k_0016,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/2/1690313741_14-35-41_5_2.jpg,ev_1690313741_c5,cow_5,tb_2_cam_2,unknown / ambiguous,none,none,no,human_verified
vp1k_0017,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690290236_08-03-56_4_2.jpg,ev_1690290236_c4,cow_4,tb_2_cam_2,rear-oblique,partial,partial,yes,human_verified
vp1k_0018,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690299941_10-45-41_5_3.jpg,ev_1690299941_c5,cow_5,tb_2_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0019,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/465/465_0020.jpg,snap_cow_0465_sess_003,cow_465,snapshots/snap_cow_0465_sess_003,side,none,partial,no,human_verified
vp1k_0020,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/244/244_0860.jpg,parlor_cow_0244_sess_047,cow_244,parlor/parlor_cow_0244_sess_047,side,partial,partial,no,human_verified
vp1k_0021,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/207/207_0009.jpg,snap_cow_0207_sess_003,cow_207,snapshots/snap_cow_0207_sess_003,side,partial,none,no,human_verified
vp1k_0022,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.25/GS_145_18.jpg,GS_burst_0502,,GS_Gansu/GS_145,rear,none,none,no,human_verified
vp1k_0023,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/475/475_0164.jpg,barn_cow_0475_sess_001,cow_475,barn/barn_cow_0475_sess_001,side,partial,partial,no,human_verified
vp1k_0024,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/853/853_0413.jpg,parlor_cow_0853_sess_023,cow_853,parlor/parlor_cow_0853_sess_023,side,partial,partial,no,human_verified
vp1k_0025,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/680/680_0121.jpg,barn_cow_0680_sess_001,cow_680,barn/barn_cow_0680_sess_001,side,none,none,no,human_verified
vp1k_0026,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/594/594_0416.jpg,barn_cow_0594_sess_002,cow_594,barn/barn_cow_0594_sess_002,side,none,none,no,human_verified
vp1k_0027,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.25/GS_2259_4.jpg,GS_burst_1393,,GS_Gansu/GS_2259,rear,none,partial,no,human_verified
vp1k_0028,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690338356_21-25-56_16_3.jpg,ev_1690338356_c16,cow_16,tb_3_cam_3,unknown / ambiguous,none,none,no,human_verified
vp1k_0029,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/7/1690334861_20-27-41_5_2.jpg,ev_1690334861_c5,cow_5,tb_3_cam_2,unknown / ambiguous,none,none,no,human_verified
vp1k_0030,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/YM_1199_5.jpg,YM_burst_0223,,YM_Farm2/YM_1199,rear,none,partial,no,human_verified
vp1k_0031,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.5/GS_1395_4.jpg,GS_burst_0441,,GS_Gansu/GS_1395,unknown / ambiguous,none,none,no,human_verified
vp1k_0032,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/124/124_0081.jpg,barn_cow_0124_sess_001,cow_124,barn/barn_cow_0124_sess_001,side,none,partial,no,human_verified
vp1k_0033,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/3.75/GS_1939_3.jpg,GS_burst_1041,,GS_Gansu/GS_1939,rear,none,partial,no,human_verified
vp1k_0034,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/680/680_0010.jpg,snap_cow_0680_sess_001,cow_680,snapshots/snap_cow_0680_sess_001,side,none,partial,no,human_verified
vp1k_0035,ScienceDB,datasets/bcs/sciencedb_bcs/dataset/4.0/YM_700_4.jpg,YM_burst_1724,,YM_Farm2/YM_700,rear-oblique,none,partial,yes,human_verified
