sample_id,dataset,source_image_path,category_or_subset,provenance_group,agent_viewpoint,agent_confidence,agent_notes,review_status
vp2_0001,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_2779_1.jpg,BCS_3.25,GS_burst_1969,rear,high,"Direct caudal rear view, tailhead and pin bones centered",agent_labeled_pending_chatgpt_crosscheck
vp2_0002,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_942_2.jpg,BCS_3.25,GS_burst_3276,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0003,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\GS_1166_4.jpg,BCS_3.25,GS_burst_0187,rear,high,Rear view with slight oblique angle,agent_labeled_pending_chatgpt_crosscheck
vp2_0004,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1785_8.jpg,BCS_3.25,YM_burst_0872,rear-oblique,high,"Three-quarter rear view in chute, hindquarters and right flank visible",agent_labeled_pending_chatgpt_crosscheck
vp2_0005,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1704_1.jpg,BCS_3.25,YM_burst_0783,rear-oblique,high,"Three-quarter rear view in chute, hindquarters and flank visible",agent_labeled_pending_chatgpt_crosscheck
vp2_0006,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\YM_1857_1.jpg,BCS_3.25,YM_burst_0952,rear-oblique,high,Three-quarter rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0007,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_635_1.jpg,BCS_3.5,GS_burst_2935,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0008,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_886_4.jpg,BCS_3.5,GS_burst_3213,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0009,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\GS_1781_4.jpg,BCS_3.5,GS_burst_0870,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0010,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1906_1.jpg,BCS_3.5,YM_burst_1006,rear-oblique,high,Three-quarter rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0011,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_478_2.jpg,BCS_3.5,YM_burst_1476,rear,high,"Caudal rear view in chute, cow walking straight away",agent_labeled_pending_chatgpt_crosscheck
vp2_0012,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\YM_1011_1.jpg,BCS_3.5,YM_burst_0016,rear-oblique,high,Three-quarter rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0013,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_55_3.jpg,BCS_3.75,GS_burst_2840,rear-oblique,medium,Motion blurred rear-oblique view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0014,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_1806_2.jpg,BCS_3.75,GS_burst_0898,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0015,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\GS_3286_2.jpg,BCS_3.75,GS_burst_2533,rear,medium,"Motion blur, but rear orientation clearly identifiable",agent_labeled_pending_chatgpt_crosscheck
vp2_0016,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_1765_2.jpg,BCS_3.75,YM_burst_0850,rear-oblique,high,Three-quarter rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0017,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\YM_262_1.jpg,BCS_3.75,YM_burst_1237,front-oblique,medium,"Cow angled toward camera in chute, head/shoulder and flank visible",agent_labeled_pending_chatgpt_crosscheck
vp2_0018,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_853_2.jpg,BCS_4.0,GS_burst_3177,rear-oblique,high,Rear-oblique view showing hindquarters and right flank,agent_labeled_pending_chatgpt_crosscheck
vp2_0019,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_540_2.jpg,BCS_4.0,GS_burst_2830,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0020,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\GS_2286_8.jpg,BCS_4.0,GS_burst_1423,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0021,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_819_2.jpg,BCS_4.0,YM_burst_1855,rear-oblique,high,Three-quarter rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0022,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1092_8.jpg,BCS_4.0,YM_burst_0105,rear-oblique,high,"Three-quarter rear view in chute, angled right",agent_labeled_pending_chatgpt_crosscheck
vp2_0023,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.0\YM_1356_1.jpg,BCS_4.0,YM_burst_0397,front-oblique,high,Cow angled across chute with head and flank visible,agent_labeled_pending_chatgpt_crosscheck
vp2_0024,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_801_2.jpg,BCS_4.25,GS_burst_3120,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0025,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_2916_4.jpg,BCS_4.25,GS_burst_2122,rear,high,Direct caudal rear view,agent_labeled_pending_chatgpt_crosscheck
vp2_0026,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_13_2.jpg,BCS_4.25,YM_burst_0334,rear,high,Caudal rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0027,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_723_8.jpg,BCS_4.25,YM_burst_1749,rear-oblique,high,Three-quarter rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0028,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\YM_815_2.jpg,BCS_4.25,YM_burst_1851,rear,high,Caudal rear view in chute,agent_labeled_pending_chatgpt_crosscheck
vp2_0029,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.25\L-i1330.jpg,BCS_3.25,STEREO_blk_26,front-oblique,high,Close-up front-oblique view of head and shoulder,agent_labeled_pending_chatgpt_crosscheck
vp2_0030,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.5\L-i10816.jpg,BCS_3.5,STEREO_blk_216,front,high,Front view of cow head and muzzle looking toward camera,agent_labeled_pending_chatgpt_crosscheck
vp2_0031,ScienceDB,D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\3.75\R-i8702.jpg,BCS_3.75,STEREO_blk_174,rear,high,Caudal rear view in chute,agent_labeled_pending_chatgpt_crosscheck
