sample_id,dataset,ground_truth,raw_physical_pred,raw_physical_score,second_pred,second_score,score_margin,pred_with_margin_rejection,is_rejected,input_mode,prob_front,prob_front_oblique,prob_side,prob_rear_oblique,prob_rear
vp2_0001,ScienceDB,rear,side,0.8708329796791077,front-oblique,0.12685687839984894,0.7439761012792587,side,False,rtdetr_crop,0.00060930074,0.12685688,0.870833,8.877554e-05,0.0016120238
vp2_0002,ScienceDB,rear,side,0.8135499358177185,rear-oblique,0.08992153406143188,0.7236284017562866,side,False,rtdetr_crop,0.0083457045,0.00036450225,0.81354994,0.089921534,0.08781828
vp2_0003,ScienceDB,rear,side,0.958986759185791,rear,0.03821888193488121,0.9207678772509098,side,False,rtdetr_crop,0.0013262297,0.0014303222,0.95898676,3.7799255e-05,0.038218882
vp2_0004,ScienceDB,rear-oblique,rear,0.3164125680923462,rear-oblique,0.27826163172721863,0.038150936365127563,unknown / ambiguous,True,rtdetr_crop,0.11671766,0.13773301,0.1508751,0.27826163,0.31641257
vp2_0005,ScienceDB,rear-oblique,front-oblique,0.4867936968803406,side,0.4462546110153198,0.04053908586502075,unknown / ambiguous,True,rtdetr_crop,0.032188628,0.4867937,0.4462546,0.0017858712,0.032977246
vp2_0006,ScienceDB,rear-oblique,front,0.7855340242385864,front-oblique,0.19961892068386078,0.5859151035547256,front,False,rtdetr_crop,0.785534,0.19961892,0.0066430774,0.0035690037,0.0046350393
vp2_0007,ScienceDB,rear,rear,0.8709401488304138,side,0.10684557259082794,0.7640945762395859,rear,False,rtdetr_crop,0.013026102,0.007581623,0.10684557,0.0016066077,0.87094015
vp2_0008,ScienceDB,rear,side,0.9535573720932007,front,0.02825242467224598,0.9253049474209547,side,False,rtdetr_crop,0.028252425,0.0016312074,0.9535574,0.005979192,0.0105798645
vp2_0009,ScienceDB,rear,side,0.4594116508960724,front,0.3481937348842621,0.1112179160118103,side,False,rtdetr_crop,0.34819373,0.020369302,0.45941165,0.011735437,0.16028984
vp2_0010,ScienceDB,rear,front,0.4917415976524353,side,0.4274630844593048,0.0642785131931305,unknown / ambiguous,True,rtdetr_crop,0.4917416,0.050029032,0.42746308,0.02711639,0.003649914
vp2_0011,ScienceDB,rear,side,0.8654391169548035,rear,0.12426058202981949,0.741178534924984,side,False,rtdetr_crop,0.0003664183,0.005773964,0.8654391,0.0041599628,0.12426058
vp2_0012,ScienceDB,rear,front,0.871839165687561,front-oblique,0.08437956124544144,0.7874596044421196,front,False,rtdetr_crop,0.87183917,0.08437956,0.03685952,0.0031360476,0.0037857064
vp2_0013,ScienceDB,rear-oblique,side,0.977374255657196,rear,0.01768837682902813,0.9596858788281679,side,False,rtdetr_crop,0.001569373,0.0032326765,0.97737426,0.0001352847,0.017688377
vp2_0014,ScienceDB,rear,side,0.7198450565338135,rear,0.2630487382411957,0.4567963182926178,side,False,rtdetr_crop,0.00137684,0.0105190845,0.71984506,0.0052102697,0.26304874
vp2_0015,ScienceDB,rear,side,0.9630723595619202,rear,0.025994090363383293,0.9370782691985369,side,False,rtdetr_crop,0.0044164187,0.00025987384,0.96307236,0.006257261,0.02599409
vp2_0016,ScienceDB,rear-oblique,front,0.7770252823829651,front-oblique,0.21791961789131165,0.5591056644916534,front,False,rtdetr_crop,0.7770253,0.21791962,0.0036137234,0.00062083127,0.0008205014
vp2_0017,ScienceDB,rear,side,0.9931584000587463,front,0.0032470752485096455,0.9899113248102367,side,False,rtdetr_crop,0.0032470752,0.0009916837,0.9931584,0.0018258155,0.0007769535
vp2_0018,ScienceDB,rear,side,0.7630683779716492,rear-oblique,0.1407003551721573,0.6223680227994919,side,False,rtdetr_crop,0.037733916,0.035282455,0.7630684,0.14070036,0.023214912
vp2_0019,ScienceDB,rear,side,0.9035051465034485,front,0.07491753250360489,0.8285876139998436,side,False,rtdetr_crop,0.07491753,0.00060414715,0.90350515,0.01750407,0.0034691547
vp2_0020,ScienceDB,rear,front,0.7906584739685059,side,0.1448715776205063,0.6457868963479996,front,False,rtdetr_crop,0.7906585,0.0020209837,0.14487158,0.0023516498,0.06009738
vp2_0021,ScienceDB,rear-oblique,side,0.3452835977077484,front,0.2788499593734741,0.06643363833427429,unknown / ambiguous,True,rtdetr_crop,0.27884996,0.26691735,0.3452836,0.00024869226,0.108700395
vp2_0022,ScienceDB,rear,front,0.6911941170692444,side,0.20003065466880798,0.4911634624004364,front,False,rtdetr_crop,0.6911941,0.07429162,0.20003065,0.0013722393,0.03311138
vp2_0023,ScienceDB,rear,side,0.693160891532898,rear-oblique,0.11839191615581512,0.5747689753770828,side,False,rtdetr_crop,0.108272456,0.041227136,0.6931609,0.118391916,0.038947638
vp2_0024,ScienceDB,rear,side,0.9823076725006104,front,0.012680808082222939,0.9696268644183874,side,False,rtdetr_crop,0.012680808,0.00035103387,0.9823077,0.0042661503,0.0003943225
vp2_0025,ScienceDB,rear,front,0.35150694847106934,rear,0.33382362127304077,0.017683327198028564,unknown / ambiguous,True,full_image_fallback,0.35150695,0.012563058,0.30099815,0.0011082228,0.33382362
vp2_0026,ScienceDB,rear,side,0.9507563710212708,front,0.04683282598853111,0.9039235450327396,side,False,rtdetr_crop,0.046832826,0.00015419806,0.9507564,0.0001763155,0.002080286
vp2_0027,ScienceDB,rear,front,0.6457393765449524,side,0.23267872631549835,0.41306065022945404,front,False,rtdetr_crop,0.6457394,0.05804336,0.23267873,0.0048493603,0.058689136
vp2_0028,ScienceDB,rear,side,0.43530407547950745,front-oblique,0.3683905005455017,0.06691357493400574,unknown / ambiguous,True,rtdetr_crop,0.18289196,0.3683905,0.43530408,0.00070821657,0.012705208
vp2_0029,ScienceDB,rear-oblique,side,0.581741213798523,front,0.31588906049728394,0.265852153301239,side,False,full_image_fallback,0.31588906,0.076113984,0.5817412,5.5380897e-05,0.026200341
vp2_0030,ScienceDB,rear,front,0.984433650970459,front-oblique,0.013522769324481487,0.9709108816459775,front,False,full_image_fallback,0.98443365,0.013522769,0.0013033065,4.7497725e-08,0.00074031594
vp2_0031,ScienceDB,rear,front,0.8076825737953186,rear,0.13612379133701324,0.6715587824583054,front,False,full_image_fallback,0.8076826,0.04118037,0.012017517,0.0029957802,0.13612379
vp2_0032,ScienceDB,rear-oblique,rear,0.8117685914039612,side,0.18389752507209778,0.6278710663318634,rear,False,full_image_fallback,0.0008981119,0.0027744803,0.18389753,0.0006612392,0.8117686
vp2_0033,ScienceDB,rear,rear,0.7396161556243896,front,0.24070104956626892,0.4989151060581207,rear,False,full_image_fallback,0.24070105,0.001279168,0.004902605,0.0135010015,0.73961616
vp2_0034,ScienceDB,rear-oblique,side,0.8927090167999268,front,0.0579272136092186,0.8347818031907082,side,False,full_image_fallback,0.057927214,0.0032592148,0.892709,0.00013937833,0.045965143
vp2_0035,MmCows,unknown / ambiguous,front,0.8054949641227722,side,0.13797231018543243,0.6675226539373398,front,False,full_image_fallback,0.80549496,0.050747525,0.13797231,0.00010174672,0.0056834314
vp2_0036,MmCows,side,front,0.7236374616622925,rear,0.19162341952323914,0.5320140421390533,front,False,full_image_fallback,0.72363746,0.0018965711,0.08218652,0.00065606344,0.19162342
vp2_0037,MmCows,side,front,0.6981374621391296,front-oblique,0.29956039786338806,0.3985770642757416,front,False,full_image_fallback,0.69813746,0.2995604,0.001616129,2.3144755e-06,0.00068368326
