sample_id,dataset,ground_truth,pred8,pred5,conf,input_mode
vp2_0001,ScienceDB,rear,back,rear,0.8975034952163696,rtdetr_crop
vp2_0002,ScienceDB,rear,back,rear,0.9999938011169434,rtdetr_crop
vp2_0003,ScienceDB,rear,back,rear,0.9998231530189514,rtdetr_crop
vp2_0004,ScienceDB,rear-oblique,back-left,rear-oblique,0.8985942006111145,rtdetr_crop
vp2_0005,ScienceDB,rear-oblique,back,rear,0.9966006875038147,rtdetr_crop
vp2_0006,ScienceDB,rear-oblique,back,rear,0.9922812581062317,rtdetr_crop
vp2_0007,ScienceDB,rear,back,rear,0.8509536981582642,rtdetr_crop
vp2_0008,ScienceDB,rear,front-left,front-oblique,0.6593579649925232,rtdetr_crop
vp2_0009,ScienceDB,rear,back,rear,0.6805211901664734,rtdetr_crop
vp2_0010,ScienceDB,rear,back,rear,0.9900503158569336,rtdetr_crop
vp2_0011,ScienceDB,rear,back-left,rear-oblique,0.7270815968513489,rtdetr_crop
vp2_0012,ScienceDB,rear,back,rear,0.9996941089630127,rtdetr_crop
vp2_0013,ScienceDB,rear-oblique,back,rear,0.9776344299316406,rtdetr_crop
vp2_0014,ScienceDB,rear,back,rear,0.9989444613456726,rtdetr_crop
vp2_0015,ScienceDB,rear,back,rear,0.9905659556388855,rtdetr_crop
vp2_0016,ScienceDB,rear-oblique,back,rear,0.999618649482727,rtdetr_crop
vp2_0017,ScienceDB,rear,back-left,rear-oblique,0.8433785438537598,rtdetr_crop
vp2_0018,ScienceDB,rear,back,rear,0.9982903599739075,rtdetr_crop
vp2_0019,ScienceDB,rear,back,rear,0.9999996423721313,rtdetr_crop
vp2_0020,ScienceDB,rear,back,rear,0.9638535380363464,rtdetr_crop
vp2_0021,ScienceDB,rear-oblique,back,rear,0.992124617099762,rtdetr_crop
vp2_0022,ScienceDB,rear,back,rear,0.9999369382858276,rtdetr_crop
vp2_0023,ScienceDB,rear,back-left,rear-oblique,0.7412853837013245,rtdetr_crop
vp2_0024,ScienceDB,rear,back,rear,0.9933949112892151,rtdetr_crop
vp2_0025,ScienceDB,rear,back,rear,0.9696192741394043,full_image_fallback
vp2_0026,ScienceDB,rear,back,rear,0.9998533725738525,rtdetr_crop
vp2_0027,ScienceDB,rear,back,rear,0.6705352067947388,rtdetr_crop
vp2_0028,ScienceDB,rear,back-left,rear-oblique,0.9900027513504028,rtdetr_crop
vp2_0029,ScienceDB,rear-oblique,back-left,rear-oblique,0.7540159225463867,full_image_fallback
vp2_0030,ScienceDB,rear,back-left,rear-oblique,0.9916374087333679,full_image_fallback
vp2_0031,ScienceDB,rear,right,side,0.43523094058036804,full_image_fallback
vp2_0032,ScienceDB,rear-oblique,back-left,rear-oblique,0.8299816846847534,full_image_fallback
vp2_0033,ScienceDB,rear,back-left,rear-oblique,0.6424962282180786,full_image_fallback
vp2_0034,ScienceDB,rear-oblique,back,rear,0.9313033819198608,full_image_fallback
vp2_0035,MmCows,unknown / ambiguous,back-left,rear-oblique,0.5660982131958008,full_image_fallback
vp2_0036,MmCows,side,back,rear,0.9930607080459595,full_image_fallback
vp2_0037,MmCows,side,back-left,rear-oblique,0.49448660016059875,full_image_fallback
vp2_0038,MmCows,front-oblique,back-left,rear-oblique,0.5141416192054749,rtdetr_crop
vp2_0039,MmCows,unknown / ambiguous,back,rear,0.8878318071365356,full_image_fallback
vp2_0040,MmCows,side,back,rear,0.9995218515396118,rtdetr_crop
vp2_0041,MmCows,side,back-left,rear-oblique,0.9838593602180481,rtdetr_crop
vp2_0042,MmCows,side,back-left,rear-oblique,0.9151538610458374,rtdetr_crop
vp2_0043,MmCows,side,back,rear,0.9461614489555359,rtdetr_crop
vp2_0044,MmCows,side,back-left,rear-oblique,0.9345924854278564,rtdetr_crop
vp2_0045,MmCows,rear-oblique,back,rear,0.9999738931655884,rtdetr_crop
vp2_0046,MmCows,side,back,rear,0.9729094505310059,rtdetr_crop
vp2_0047,MmCows,side,back,rear,0.5057336688041687,rtdetr_crop
vp2_0048,MmCows,side,back-left,rear-oblique,0.24146722257137299,rtdetr_crop
vp2_0049,MmCows,rear,back,rear,0.99952232837677,full_image_fallback
vp2_0050,MmCows,side,back-right,rear-oblique,0.4700402021408081,rtdetr_crop
vp2_0051,MmCows,side,back,rear,0.4410785734653473,rtdetr_crop
vp2_0052,MmCows,side,back-right,rear-oblique,0.9661511182785034,rtdetr_crop
vp2_0053,MmCows,side,back-right,rear-oblique,0.8603115677833557,rtdetr_crop
vp2_0054,MmCows,rear-oblique,back-left,rear-oblique,0.6867955327033997,rtdetr_crop
vp2_0055,MmCows,unknown / ambiguous,back,rear,0.9635692238807678,rtdetr_crop
vp2_0056,MmCows,side,back,rear,0.9566724300384521,rtdetr_crop
vp2_0057,MmCows,front-oblique,back,rear,0.9999562501907349,rtdetr_crop
vp2_0058,MmCows,side,back-right,rear-oblique,0.5997183918952942,rtdetr_crop
vp2_0059,MmCows,side,back,rear,0.4462566673755646,rtdetr_crop
vp2_0060,MmCows,rear,back,rear,0.9989328980445862,full_image_fallback
vp2_0061,MmCows,unknown / ambiguous,back,rear,0.9999496936798096,rtdetr_crop
vp2_0062,MmCows,side,back-right,rear-oblique,0.5210329294204712,rtdetr_crop
vp2_0063,MmCows,rear-oblique,back,rear,0.9994168281555176,full_image_fallback
vp2_0064,MmCows,side,back,rear,0.9993869066238403,rtdetr_crop
vp2_0065,MmCows,unknown / ambiguous,back,rear,0.9545567035675049,rtdetr_crop
vp2_0066,MmCows,side,back-left,rear-oblique,0.6308223605155945,rtdetr_crop
vp2_0067,MmCows,side,back-left,rear-oblique,0.6240581274032593,rtdetr_crop
vp2_0068,SideViewCows2026,side,back-left,rear-oblique,0.8853996396064758,rtdetr_crop
vp2_0069,SideViewCows2026,side,back-left,rear-oblique,0.9739006757736206,rtdetr_crop
vp2_0070,SideViewCows2026,side,back,rear,0.9999467134475708,rtdetr_crop
vp2_0071,SideViewCows2026,side,right,side,0.7994345426559448,rtdetr_crop
vp2_0072,SideViewCows2026,side,back,rear,0.5748418569564819,rtdetr_crop
vp2_0073,SideViewCows2026,side,back-left,rear-oblique,0.5966063737869263,rtdetr_crop
vp2_0074,SideViewCows2026,side,back,rear,0.9996814727783203,rtdetr_crop
