sample_id,dataset,category_or_subset,human_viewpoint,predicted_viewpoint,top_score,second_viewpoint,second_score,score_margin,input_mode,model_name,runtime_ms
vp2_0001,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.9242,side,0.0327,0.8915,rtdetr_crop,google/siglip-base-patch16-224,50.8
vp2_0002,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.8652,side,0.0725,0.7926,rtdetr_crop,google/siglip-base-patch16-224,43.3
vp2_0003,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.8272,side,0.145,0.6821,rtdetr_crop,google/siglip-base-patch16-224,62.7
vp2_0004,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.8899,side,0.0603,0.8295,rtdetr_crop,google/siglip-base-patch16-224,59.2
vp2_0005,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.9705,front,0.0141,0.9564,rtdetr_crop,google/siglip-base-patch16-224,40.5
vp2_0006,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.9385,side,0.0278,0.9107,rtdetr_crop,google/siglip-base-patch16-224,98.6
vp2_0007,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.8837,side,0.0609,0.8228,rtdetr_crop,google/siglip-base-patch16-224,41.3
vp2_0008,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.865,front,0.0952,0.7699,rtdetr_crop,google/siglip-base-patch16-224,41.4
vp2_0009,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.9219,side,0.0376,0.8844,rtdetr_crop,google/siglip-base-patch16-224,41.3
vp2_0010,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.9121,side,0.0522,0.8599,rtdetr_crop,google/siglip-base-patch16-224,39.7
vp2_0011,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.9774,front,0.013,0.9643,rtdetr_crop,google/siglip-base-patch16-224,42.6
vp2_0012,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.9709,front,0.0172,0.9537,rtdetr_crop,google/siglip-base-patch16-224,41.0
vp2_0013,ScienceDB,BCS_3.75,rear-oblique,unknown / ambiguous,0.9757,rear,0.0142,0.9615,rtdetr_crop,google/siglip-base-patch16-224,41.7
vp2_0014,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.9358,side,0.0368,0.899,rtdetr_crop,google/siglip-base-patch16-224,42.8
vp2_0015,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.892,side,0.0602,0.8318,rtdetr_crop,google/siglip-base-patch16-224,42.3
vp2_0016,ScienceDB,BCS_3.75,rear-oblique,unknown / ambiguous,0.9509,front,0.0241,0.9269,rtdetr_crop,google/siglip-base-patch16-224,41.5
vp2_0017,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.9451,front,0.0263,0.9188,rtdetr_crop,google/siglip-base-patch16-224,40.4
vp2_0018,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.9014,side,0.036,0.8655,rtdetr_crop,google/siglip-base-patch16-224,41.9
vp2_0019,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.874,front,0.0873,0.7867,rtdetr_crop,google/siglip-base-patch16-224,41.5
vp2_0020,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.9747,rear,0.0093,0.9654,rtdetr_crop,google/siglip-base-patch16-224,41.3
vp2_0021,ScienceDB,BCS_4.0,rear-oblique,unknown / ambiguous,0.9264,side,0.0365,0.8899,rtdetr_crop,google/siglip-base-patch16-224,41.7
vp2_0022,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.9527,front,0.0245,0.9282,rtdetr_crop,google/siglip-base-patch16-224,40.7
vp2_0023,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.9461,front,0.0396,0.9065,rtdetr_crop,google/siglip-base-patch16-224,41.2
vp2_0024,ScienceDB,BCS_4.25,rear,unknown / ambiguous,0.8796,front,0.0407,0.8389,rtdetr_crop,google/siglip-base-patch16-224,42.4
vp2_0025,ScienceDB,BCS_4.25,rear,unknown / ambiguous,0.8953,side,0.0525,0.8428,full_image_fallback,google/siglip-base-patch16-224,41.0
vp2_0026,ScienceDB,BCS_4.25,rear,unknown / ambiguous,0.9833,front,0.0081,0.9753,rtdetr_crop,google/siglip-base-patch16-224,42.2
vp2_0027,ScienceDB,BCS_4.25,rear,unknown / ambiguous,0.9687,front,0.0143,0.9544,rtdetr_crop,google/siglip-base-patch16-224,41.1
vp2_0028,ScienceDB,BCS_4.25,rear,unknown / ambiguous,0.9045,front,0.0661,0.8384,rtdetr_crop,google/siglip-base-patch16-224,41.5
vp2_0029,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.9218,front,0.0476,0.8741,full_image_fallback,google/siglip-base-patch16-224,41.8
vp2_0030,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.821,front,0.1222,0.6987,full_image_fallback,google/siglip-base-patch16-224,42.0
vp2_0031,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.8834,front,0.0604,0.823,full_image_fallback,google/siglip-base-patch16-224,42.5
vp2_0032,ScienceDB,BCS_3.75,rear-oblique,unknown / ambiguous,0.9063,front,0.0634,0.8428,full_image_fallback,google/siglip-base-patch16-224,42.6
vp2_0033,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.9206,front,0.0491,0.8716,full_image_fallback,google/siglip-base-patch16-224,42.4
vp2_0034,ScienceDB,BCS_4.25,rear-oblique,unknown / ambiguous,0.9043,front,0.0605,0.8437,full_image_fallback,google/siglip-base-patch16-224,41.6
vp2_0035,MmCows,Behavior_Lying,unknown / ambiguous,unknown / ambiguous,0.8398,front,0.0927,0.7471,full_image_fallback,google/siglip-base-patch16-224,42.1
vp2_0036,MmCows,Behavior_Lying,side,unknown / ambiguous,0.8617,side,0.0642,0.7975,full_image_fallback,google/siglip-base-patch16-224,40.5
vp2_0037,MmCows,Behavior_Lying,side,unknown / ambiguous,0.9734,side,0.0122,0.9612,full_image_fallback,google/siglip-base-patch16-224,40.2
vp2_0038,MmCows,Behavior_Lying,front-oblique,unknown / ambiguous,0.5782,front,0.2722,0.306,rtdetr_crop,google/siglip-base-patch16-224,40.3
vp2_0039,MmCows,Behavior_Lying,unknown / ambiguous,unknown / ambiguous,0.9404,rear,0.036,0.9044,full_image_fallback,google/siglip-base-patch16-224,41.5
vp2_0040,MmCows,Behavior_Standing,side,unknown / ambiguous,0.9441,side,0.0332,0.9108,rtdetr_crop,google/siglip-base-patch16-224,40.6
vp2_0041,MmCows,Behavior_Standing,side,unknown / ambiguous,0.6338,front,0.1794,0.4544,rtdetr_crop,google/siglip-base-patch16-224,41.1
vp2_0042,MmCows,Behavior_Standing,side,unknown / ambiguous,0.8188,front,0.1087,0.7101,rtdetr_crop,google/siglip-base-patch16-224,41.7
vp2_0043,MmCows,Behavior_Standing,side,unknown / ambiguous,0.942,front,0.0251,0.9169,rtdetr_crop,google/siglip-base-patch16-224,40.9
vp2_0044,MmCows,Behavior_Standing,side,unknown / ambiguous,0.8209,front,0.1097,0.7112,rtdetr_crop,google/siglip-base-patch16-224,40.0
