sample_id,dataset,category_or_subset,human_viewpoint,predicted_viewpoint,top_score,second_viewpoint,second_score,score_margin,input_mode,model_name,runtime_ms
vp2_0001,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.9342,front,0.0361,0.8981,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.9
vp2_0002,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.6766,rear,0.1457,0.5309,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.4
vp2_0003,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.6867,front,0.1343,0.5523,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.6
vp2_0004,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.7651,front,0.1171,0.6481,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.0
vp2_0005,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.7471,rear,0.1048,0.6422,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.6
vp2_0006,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.7387,rear,0.1291,0.6096,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.6
vp2_0007,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.5989,front,0.1869,0.4121,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.0
vp2_0008,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.3793,rear,0.2709,0.1084,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.1
vp2_0009,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.5985,rear,0.1479,0.4506,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.1
vp2_0010,ScienceDB,BCS_3.5,rear,front,0.3765,unknown / ambiguous,0.297,0.0795,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.0
vp2_0011,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.6105,rear-oblique,0.1519,0.4586,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.9
vp2_0012,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.5589,front,0.2546,0.3042,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.1
