sample_id,dataset,category_or_subset,human_viewpoint,predicted_viewpoint,top_score,second_viewpoint,second_score,score_margin,input_mode,model_name,runtime_ms
sample_0001,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.8287,front,0.0957,0.7331,rtdetr_crop,google/siglip-base-patch16-224,51.3
sample_0003,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.9232,side,0.051,0.8721,rtdetr_crop,google/siglip-base-patch16-224,43.2
sample_0006,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.8795,front,0.0839,0.7956,rtdetr_crop,google/siglip-base-patch16-224,41.1
sample_0010,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.9328,side,0.0386,0.8942,rtdetr_crop,google/siglip-base-patch16-224,41.5
sample_0021,ScienceDB,BCS_3.5,rear-oblique,unknown / ambiguous,0.9329,front,0.0441,0.8888,rtdetr_crop,google/siglip-base-patch16-224,40.5
sample_0022,ScienceDB,BCS_3.5,unknown / ambiguous,unknown / ambiguous,0.949,side,0.0222,0.9268,rtdetr_crop,google/siglip-base-patch16-224,41.9
sample_0026,ScienceDB,BCS_3.5,rear-oblique,unknown / ambiguous,0.9441,front,0.0369,0.9072,rtdetr_crop,google/siglip-base-patch16-224,41.2
sample_0030,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.6523,side,0.259,0.3934,rtdetr_crop,google/siglip-base-patch16-224,41.1
sample_0041,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.9367,side,0.0412,0.8955,full_image_fallback,google/siglip-base-patch16-224,41.6
sample_0043,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.9527,front,0.0306,0.9221,rtdetr_crop,google/siglip-base-patch16-224,41.6
sample_0051,ScienceDB,BCS_3.75,rear-oblique,unknown / ambiguous,0.9849,front,0.0075,0.9775,rtdetr_crop,google/siglip-base-patch16-224,40.6
sample_0053,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.9439,front,0.0314,0.9125,rtdetr_crop,google/siglip-base-patch16-224,41.0
sample_0061,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.9018,side,0.0601,0.8416,rtdetr_crop,google/siglip-base-patch16-224,41.8
sample_0063,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.9682,front,0.0189,0.9493,rtdetr_crop,google/siglip-base-patch16-224,40.6
sample_0065,ScienceDB,BCS_4.0,rear-oblique,unknown / ambiguous,0.9185,front,0.0568,0.8617,rtdetr_crop,google/siglip-base-patch16-224,39.7
sample_0070,ScienceDB,BCS_4.0,rear-oblique,unknown / ambiguous,0.9046,front,0.0583,0.8463,rtdetr_crop,google/siglip-base-patch16-224,40.9
sample_0081,ScienceDB,BCS_4.25,rear,unknown / ambiguous,0.8508,side,0.0877,0.7631,rtdetr_crop,google/siglip-base-patch16-224,40.4
sample_0082,ScienceDB,BCS_4.25,rear-oblique,unknown / ambiguous,0.9325,front,0.0394,0.8932,rtdetr_crop,google/siglip-base-patch16-224,40.0
sample_0084,ScienceDB,BCS_4.25,front-oblique,unknown / ambiguous,0.9663,front,0.0163,0.95,rtdetr_crop,google/siglip-base-patch16-224,40.1
sample_0090,ScienceDB,BCS_4.25,rear-oblique,unknown / ambiguous,0.9658,front,0.0171,0.9487,rtdetr_crop,google/siglip-base-patch16-224,41.2
sample_0104,MmCows,Behavior_Lying,side,unknown / ambiguous,0.8744,rear,0.0614,0.813,rtdetr_crop,google/siglip-base-patch16-224,39.1
sample_0105,MmCows,Behavior_Lying,side,unknown / ambiguous,0.8485,side,0.0791,0.7694,rtdetr_crop,google/siglip-base-patch16-224,40.2
sample_0107,MmCows,Behavior_Lying,unknown / ambiguous,unknown / ambiguous,0.859,rear,0.0875,0.7714,rtdetr_crop,google/siglip-base-patch16-224,39.2
sample_0117,MmCows,Behavior_Standing,side,unknown / ambiguous,0.839,front,0.1006,0.7384,rtdetr_crop,google/siglip-base-patch16-224,41.4
sample_0120,MmCows,Behavior_Standing,side,unknown / ambiguous,0.8095,side,0.1079,0.7016,rtdetr_crop,google/siglip-base-patch16-224,40.2
sample_0124,MmCows,Behavior_Standing,rear-oblique,unknown / ambiguous,0.8484,front,0.088,0.7605,rtdetr_crop,google/siglip-base-patch16-224,40.2
sample_0133,MmCows,Behavior_Feeding_head_down,rear,unknown / ambiguous,0.9741,front,0.018,0.9562,rtdetr_crop,google/siglip-base-patch16-224,39.4
sample_0137,MmCows,Behavior_Feeding_head_down,rear-oblique,unknown / ambiguous,0.9421,front,0.0263,0.9158,rtdetr_crop,google/siglip-base-patch16-224,39.7
sample_0140,MmCows,Behavior_Feeding_head_down,unknown / ambiguous,unknown / ambiguous,0.8886,front,0.0538,0.8347,rtdetr_crop,google/siglip-base-patch16-224,39.4
sample_0149,MmCows,Behavior_Feeding_head_up,rear-oblique,unknown / ambiguous,0.9101,side,0.041,0.8691,rtdetr_crop,google/siglip-base-patch16-224,39.2
sample_0152,MmCows,Behavior_Feeding_head_up,rear-oblique,unknown / ambiguous,0.8761,front,0.0606,0.8155,rtdetr_crop,google/siglip-base-patch16-224,39.6
