sample_id,dataset,category_or_subset,human_viewpoint,predicted_viewpoint,top_score,second_viewpoint,second_score,score_margin,input_mode,model_name,runtime_ms
sample_0001,ScienceDB,BCS_3.25,rear,front,0.3808,front-oblique,0.2538,0.1269,rtdetr_crop,openai/clip-vit-base-patch32,111.9
sample_0003,ScienceDB,BCS_3.25,rear,front,0.368,rear,0.1619,0.2061,rtdetr_crop,openai/clip-vit-base-patch32,24.1
sample_0006,ScienceDB,BCS_3.25,rear-oblique,front-oblique,0.3826,rear-oblique,0.2102,0.1725,rtdetr_crop,openai/clip-vit-base-patch32,22.6
sample_0010,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.4363,rear,0.2553,0.181,rtdetr_crop,openai/clip-vit-base-patch32,21.0
sample_0021,ScienceDB,BCS_3.5,rear-oblique,front,0.4584,front-oblique,0.3215,0.1369,rtdetr_crop,openai/clip-vit-base-patch32,20.1
sample_0022,ScienceDB,BCS_3.5,unknown / ambiguous,rear,0.3433,front,0.3024,0.0409,rtdetr_crop,openai/clip-vit-base-patch32,21.0
sample_0026,ScienceDB,BCS_3.5,rear-oblique,front-oblique,0.34,front,0.2074,0.1326,rtdetr_crop,openai/clip-vit-base-patch32,20.2
sample_0030,ScienceDB,BCS_3.5,rear,front,0.3809,rear,0.1828,0.1981,rtdetr_crop,openai/clip-vit-base-patch32,21.1
sample_0041,ScienceDB,BCS_3.75,rear,rear,0.3922,rear-oblique,0.2211,0.1711,full_image_fallback,openai/clip-vit-base-patch32,21.7
sample_0043,ScienceDB,BCS_3.75,rear,rear-oblique,0.3636,rear,0.2735,0.09,rtdetr_crop,openai/clip-vit-base-patch32,21.5
sample_0051,ScienceDB,BCS_3.75,rear-oblique,front,0.4173,front-oblique,0.3426,0.0747,rtdetr_crop,openai/clip-vit-base-patch32,20.3
sample_0053,ScienceDB,BCS_3.75,rear,rear-oblique,0.3565,rear,0.287,0.0696,rtdetr_crop,openai/clip-vit-base-patch32,20.7
sample_0061,ScienceDB,BCS_4.0,rear,front,0.3358,unknown / ambiguous,0.1825,0.1533,rtdetr_crop,openai/clip-vit-base-patch32,21.8
sample_0063,ScienceDB,BCS_4.0,rear,front-oblique,0.3665,rear-oblique,0.3084,0.0581,rtdetr_crop,openai/clip-vit-base-patch32,20.8
sample_0065,ScienceDB,BCS_4.0,rear-oblique,front-oblique,0.2354,rear-oblique,0.2011,0.0342,rtdetr_crop,openai/clip-vit-base-patch32,20.2
sample_0070,ScienceDB,BCS_4.0,rear-oblique,front,0.538,front-oblique,0.1731,0.3649,rtdetr_crop,openai/clip-vit-base-patch32,21.3
sample_0081,ScienceDB,BCS_4.25,rear,rear,0.537,rear-oblique,0.1783,0.3587,rtdetr_crop,openai/clip-vit-base-patch32,20.7
sample_0082,ScienceDB,BCS_4.25,rear-oblique,front-oblique,0.3323,front,0.3024,0.0299,rtdetr_crop,openai/clip-vit-base-patch32,20.2
