sample_id,dataset,category_or_subset,human_viewpoint,predicted_viewpoint,top_score,second_viewpoint,second_score,score_margin,input_mode,model_name,runtime_ms
sample_0001,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.6558,front,0.1252,0.5306,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.3
sample_0003,ScienceDB,BCS_3.25,rear,front,0.5581,unknown / ambiguous,0.2087,0.3495,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.1
sample_0006,ScienceDB,BCS_3.25,rear-oblique,unknown / ambiguous,0.5662,rear-oblique,0.1417,0.4245,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.8
sample_0010,ScienceDB,BCS_3.25,rear,unknown / ambiguous,0.7743,front,0.1075,0.6668,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.2
sample_0021,ScienceDB,BCS_3.5,rear-oblique,unknown / ambiguous,0.6511,front,0.1678,0.4833,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.9
sample_0022,ScienceDB,BCS_3.5,unknown / ambiguous,unknown / ambiguous,0.8869,rear,0.0643,0.8226,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.7
sample_0026,ScienceDB,BCS_3.5,rear-oblique,unknown / ambiguous,0.4736,rear-oblique,0.1934,0.2803,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.3
sample_0030,ScienceDB,BCS_3.5,rear,unknown / ambiguous,0.4929,rear,0.2673,0.2256,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.5
sample_0041,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.9572,front,0.0187,0.9385,full_image_fallback,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.0
sample_0043,ScienceDB,BCS_3.75,rear,rear-oblique,0.3678,rear,0.316,0.0517,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.6
sample_0051,ScienceDB,BCS_3.75,rear-oblique,unknown / ambiguous,0.6833,front,0.2078,0.4755,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.7
sample_0053,ScienceDB,BCS_3.75,rear,unknown / ambiguous,0.5914,rear-oblique,0.2036,0.3878,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.6
sample_0061,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.7906,rear-oblique,0.0693,0.7213,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,21.5
sample_0063,ScienceDB,BCS_4.0,rear,unknown / ambiguous,0.3972,front,0.2991,0.098,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.0
sample_0065,ScienceDB,BCS_4.0,rear-oblique,unknown / ambiguous,0.8536,rear-oblique,0.0671,0.7865,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.1
sample_0070,ScienceDB,BCS_4.0,rear-oblique,unknown / ambiguous,0.797,front,0.1165,0.6805,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.8
sample_0081,ScienceDB,BCS_4.25,rear,rear,0.4562,unknown / ambiguous,0.2299,0.2263,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.0
sample_0082,ScienceDB,BCS_4.25,rear-oblique,unknown / ambiguous,0.3833,front,0.381,0.0023,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.5
sample_0084,ScienceDB,BCS_4.25,front-oblique,unknown / ambiguous,0.8366,front,0.1035,0.7331,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,18.8
sample_0090,ScienceDB,BCS_4.25,rear-oblique,unknown / ambiguous,0.5288,rear-oblique,0.1914,0.3374,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,20.7
sample_0104,MmCows,Behavior_Lying,side,unknown / ambiguous,0.997,rear,0.0019,0.9951,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.9
sample_0105,MmCows,Behavior_Lying,side,unknown / ambiguous,0.9824,rear,0.0071,0.9752,rtdetr_crop,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,19.4
