keypoint,mean_confidence,pct_above_02
nose,0.3811,61.9
upper_jaw,0.3149,52.38
lower_jaw,0.3047,52.38
mouth_end_right,0.2744,52.38
mouth_end_left,0.2842,59.52
right_eye,0.4073,59.52
right_earbase,0.325,66.67
right_earend,0.2822,64.29
right_antler_base,0.3173,66.67
right_antler_end,0.2473,54.76
left_eye,0.4016,64.29
left_earbase,0.2679,57.14
left_earend,0.2611,66.67
left_antler_base,0.2989,57.14
left_antler_end,0.2796,61.9
neck_base,0.4752,95.24
neck_end,0.4043,83.33
throat_base,0.2701,45.24
throat_end,0.3092,61.9
back_base,0.4449,85.71
back_end,0.448,83.33
back_middle,0.481,92.86
tail_base,0.4934,80.95
tail_end,0.1994,35.71
front_left_thai,0.5068,97.62
front_left_knee,0.4912,92.86
front_left_paw,0.5799,90.48
front_right_thai,0.5257,92.86
front_right_knee,0.4602,85.71
front_right_paw,0.5562,92.86
back_left_paw,0.4789,95.24
back_left_thai,0.4582,92.86
back_right_thai,0.4812,88.1
back_left_knee,0.4983,85.71
back_right_knee,0.493,90.48
back_right_paw,0.5402,90.48
belly_bottom,0.4178,95.24
body_middle_right,0.2437,66.67
body_middle_left,0.3032,85.71
