index,cow_id,split,subset,image_filename,crop_box_xyxy,predicted_class,confidence,entropy,p_front,p_side,p_rear,is_low_conf_50,is_low_conf_60
0,565,train,parlor,565_0083.jpg,"[0, 9, 708, 462]",rear,0.397,1.0775,0.3621,0.2409,0.397,True,True
1,507,train,parlor,507_0069.jpg,"[0, 0, 705, 548]",front,0.88,0.4299,0.88,0.0939,0.0262,False,False
2,545,train,parlor,545_0198.jpg,"[23, 0, 881, 537]",front,0.6625,0.8315,0.6625,0.0865,0.251,False,False
3,565,train,parlor,565_0073.jpg,"[0, 0, 847, 555]",front,0.95,0.2221,0.95,0.009,0.041,False,False
4,442,train,parlor,442_0219.jpg,"[0, 0, 793, 577]",side,0.9835,0.0944,0.0115,0.9835,0.005,False,False
5,209,train,parlor,209_0086.jpg,"[0, 0, 609, 539]",rear,0.966,0.1682,0.0093,0.0246,0.966,False,False
6,144,train,parlor,144_0267.jpg,"[0, 0, 934, 521]",side,0.8949,0.3529,0.1012,0.8949,0.0039,False,False
7,405,train,parlor,405_0028.jpg,"[0, 0, 869, 507]",side,0.4008,1.0735,0.3667,0.4008,0.2325,True,True
8,909,train,parlor,909_0121.jpg,"[0, 0, 742, 526]",rear,0.7326,0.7593,0.1635,0.1039,0.7326,False,False
9,507,train,parlor,507_0267.jpg,"[0, 0, 726, 567]",front,0.8705,0.4479,0.8705,0.1053,0.0242,False,False
10,547,train,parlor,547_0076.jpg,"[113, 0, 778, 451]",front,0.6235,0.794,0.6235,0.042,0.3345,False,False
11,958,train,parlor,958_0108.jpg,"[0, 0, 2431, 1053]",rear,0.7056,0.8012,0.1832,0.1112,0.7056,False,False
12,244,train,parlor,244_0274.jpg,"[0, 0, 753, 478]",side,0.8878,0.4277,0.0478,0.8878,0.0644,False,False
13,937,train,parlor,937_0275.jpg,"[0, 0, 646, 566]",rear,0.6183,0.8514,0.3085,0.0732,0.6183,False,False
14,403,train,parlor,403_0261.jpg,"[68, 0, 752, 442]",side,0.5745,0.7719,0.0232,0.5745,0.4024,False,True
15,260,train,parlor,260_0110.jpg,"[0, 5, 792, 555]",side,0.9036,0.3273,0.0943,0.9036,0.0021,False,False
16,401,train,parlor,401_0279.jpg,"[0, 0, 823, 565]",rear,0.6636,0.8665,0.1982,0.1382,0.6636,False,False
17,605,train,parlor,605_0053.jpg,"[0, 3, 796, 365]",side,0.5037,1.0275,0.1993,0.5037,0.297,False,True
18,909,train,parlor,909_0060.jpg,"[0, 5, 893, 493]",front,0.574,0.7807,0.574,0.3998,0.0262,False,True
19,553,train,parlor,553_0287.jpg,"[24, 0, 901, 552]",rear,0.8398,0.5301,0.1202,0.04,0.8398,False,False
20,405,train,parlor,405_0379.jpg,"[0, 0, 578, 454]",front,0.8942,0.3964,0.8942,0.0258,0.08,False,False
21,823,train,parlor,823_0180.jpg,"[27, 0, 882, 508]",rear,0.8421,0.5245,0.1188,0.0391,0.8421,False,False
22,937,train,parlor,937_0030.jpg,"[0, 1, 508, 541]",rear,0.8025,0.6137,0.1427,0.0549,0.8025,False,False
23,908,train,parlor,908_0063.jpg,"[0, 0, 750, 450]",rear,0.6751,0.8118,0.2449,0.08,0.6751,False,False
24,403,train,parlor,403_0282.jpg,"[131, 0, 901, 549]",side,0.3581,1.0971,0.3134,0.3581,0.3285,True,True
25,244,val,parlor,244_0774.jpg,"[37, 0, 728, 487]",front,0.752,0.7003,0.752,0.0626,0.1854,False,False
26,934,val,parlor,934_0252.jpg,"[4, 0, 914, 506]",rear,0.5627,0.8608,0.0604,0.3769,0.5627,False,True
27,887,val,parlor,887_0970.jpg,"[0, 0, 789, 481]",front,0.8053,0.527,0.8053,0.1865,0.0082,False,False
28,796,val,parlor,796_0317.jpg,"[0, 0, 794, 524]",front,0.7477,0.6257,0.7477,0.2358,0.0165,False,False
29,887,val,parlor,887_0846.jpg,"[0, 0, 815, 377]",front,0.6166,0.886,0.6166,0.1003,0.2831,False,False
30,887,val,parlor,887_0807.jpg,"[0, 14, 945, 444]",front,0.6907,0.7575,0.6907,0.0513,0.258,False,False
31,401,val,parlor,401_0377.jpg,"[27, 0, 1841, 1092]",rear,0.5585,0.8521,0.3865,0.0549,0.5585,False,True
32,887,val,parlor,887_0965.jpg,"[0, 0, 922, 515]",front,0.9956,0.0307,0.9956,0.0033,0.0011,False,False
33,367,val,parlor,367_0398.jpg,"[0, 0, 819, 560]",rear,0.4446,1.0669,0.3152,0.2402,0.4446,True,True
