cow_id,cow_number,total_images,n_sessions,sessions_list,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,min_bcs,max_bcs,bcs_trajectory
Cow_1,1,141,3,Cow_1;Cow_1_27;Cow_1_6006,0,0,137,4,0,0,4,5,BCS_4(137) -> BCS_5(4)
Cow_2,2,62,4,Cow_2;Cow_2_1015;Cow_2_6006;Cow_2_6016,0,11,48,0,3,0,3,6,BCS_3(11) -> BCS_4(48) -> BCS_6(3)
Cow_3,3,141,4,Cow_3;Cow_3_25;Cow_3_3083;Cow_3_6018,0,11,12,113,5,0,3,6,BCS_3(11) -> BCS_4(12) -> BCS_5(113) -> BCS_6(5)
Cow_4,4,235,4,Cow_4;Cow_4_1;Cow_4_103;Cow_4_8036,0,0,221,11,3,0,4,6,BCS_4(221) -> BCS_5(11) -> BCS_6(3)
Cow_5,5,44,5,Cow_5;Cow_5_1;Cow_5_1018;Cow_5_273;Cow_5_8041,29,0,15,0,0,0,2,4,BCS_2(29) -> BCS_4(15)
Cow_6,6,27,3,Cow_6_103;Cow_6_5029;Cow_6_5051,0,10,0,17,0,0,3,5,BCS_3(10) -> BCS_5(17)
Cow_7,7,105,4,Cow_7;Cow_7_06;Cow_7_6022;Cow_7_9008,0,0,89,12,4,0,4,6,BCS_4(89) -> BCS_5(12) -> BCS_6(4)
Cow_8,8,71,4,Cow_8;Cow_8_2023;Cow_8_9012;Cow_8_NOTAG,0,13,54,4,0,0,3,5,BCS_3(13) -> BCS_4(54) -> BCS_5(4)
Cow_9,9,160,4,Cow_9;Cow_9_1044;Cow_9_NOTAG;Cow_9_NOTG,0,0,150,6,4,0,4,6,BCS_4(150) -> BCS_5(6) -> BCS_6(4)
Cow_10,10,105,4,Cow_10_0014;Cow_10_0029;Cow_10_1;Cow_10_2038,0,0,99,6,0,0,4,5,BCS_4(99) -> BCS_5(6)
Cow_11,11,530,5,Cow_11;Cow_11_0018;Cow_11_0075;Cow_11_07;Cow_11_2,501,0,23,0,6,0,2,6,BCS_2(501) -> BCS_4(23) -> BCS_6(6)
Cow_12,12,150,4,Cow_12;Cow_12_2014;Cow_12_6006;Cow_12_NOTAG,0,123,0,12,15,0,3,6,BCS_3(123) -> BCS_5(12) -> BCS_6(15)
Cow_13,13,149,4,Cow_13_1;Cow_13_66;Cow_13_8001;Cow_13_9025,0,0,9,136,4,0,4,6,BCS_4(9) -> BCS_5(136) -> BCS_6(4)
Cow_14,14,62,3,Cow_14;Cow_14_0011;Cow_14_1044,0,55,0,7,0,0,3,5,BCS_3(55) -> BCS_5(7)
