burst_group_id,farm_source,n_passages,member_passages,n_images,bcs_classes,primary_bcs,sample_files,merge_reason,assigned_split
GS_burst_0001,GS_Gansu,1,GS_1,8,{'4.25': 8},4.25,GS_1_1.jpg;GS_1_2.jpg;GS_1_3.jpg,singleton_passage,train
GS_burst_0002,GS_Gansu,1,GS_10,12,{'4.25': 12},4.25,GS_10_1.jpg;GS_10_10.jpg;GS_10_11.jpg,singleton_passage,train
GS_burst_0003,GS_Gansu,1,GS_100,7,{'3.5': 7},3.5,GS_100_1.jpg;GS_100_2.jpg;GS_100_3.jpg,singleton_passage,test
GS_burst_0004,GS_Gansu,1,GS_1000,8,{'3.75': 8},3.75,GS_1000_1.jpg;GS_1000_2.jpg;GS_1000_3.jpg,singleton_passage,train
GS_burst_0005,GS_Gansu,1,GS_1001,10,{'3.75': 10},3.75,GS_1001_1.jpg;GS_1001_10.jpg;GS_1001_2.jpg,singleton_passage,train
GS_burst_0006,GS_Gansu,1,GS_1002,9,{'3.5': 9},3.5,GS_1002_1.jpg;GS_1002_2.jpg;GS_1002_3.jpg,singleton_passage,test
GS_burst_0007,GS_Gansu,1,GS_1003,10,{'3.25': 10},3.25,GS_1003_1.jpg;GS_1003_10.jpg;GS_1003_2.jpg,singleton_passage,train
GS_burst_0008,GS_Gansu,1,GS_1004,8,{'4.0': 8},4.0,GS_1004_1.jpg;GS_1004_2.jpg;GS_1004_3.jpg,singleton_passage,train
GS_burst_0009,GS_Gansu,1,GS_1005,9,{'3.25': 9},3.25,GS_1005_1.jpg;GS_1005_2.jpg;GS_1005_3.jpg,singleton_passage,train
GS_burst_0010,GS_Gansu,1,GS_1006,12,{'3.75': 12},3.75,GS_1006_1.jpg;GS_1006_10.jpg;GS_1006_11.jpg,singleton_passage,test
GS_burst_0011,GS_Gansu,1,GS_1007,8,{'3.25': 8},3.25,GS_1007_1.jpg;GS_1007_2.jpg;GS_1007_3.jpg,singleton_passage,train
GS_burst_0012,GS_Gansu,1,GS_1008,8,{'3.5': 8},3.5,GS_1008_1.jpg;GS_1008_2.jpg;GS_1008_3.jpg,singleton_passage,train
GS_burst_0013,GS_Gansu,1,GS_1009,8,{'3.25': 8},3.25,GS_1009_1.jpg;GS_1009_2.jpg;GS_1009_3.jpg,singleton_passage,test
GS_burst_0014,GS_Gansu,1,GS_101,5,{'3.75': 5},3.75,GS_101_1.jpg;GS_101_2.jpg;GS_101_3.jpg,singleton_passage,train
GS_burst_0015,GS_Gansu,1,GS_1010,7,{'3.5': 7},3.5,GS_1010_1.jpg;GS_1010_2.jpg;GS_1010_3.jpg,singleton_passage,train
GS_burst_0016,GS_Gansu,1,GS_1011,11,{'3.25': 11},3.25,GS_1011_1.jpg;GS_1011_10.jpg;GS_1011_11.jpg,singleton_passage,train
GS_burst_0017,GS_Gansu,1,GS_1012,8,{'3.5': 8},3.5,GS_1012_1.jpg;GS_1012_2.jpg;GS_1012_3.jpg,singleton_passage,train
GS_burst_0018,GS_Gansu,1,GS_1013,9,{'3.5': 9},3.5,GS_1013_1.jpg;GS_1013_2.jpg;GS_1013_3.jpg,singleton_passage,test
GS_burst_0019,GS_Gansu,1,GS_1014,8,{'3.5': 8},3.5,GS_1014_1.jpg;GS_1014_2.jpg;GS_1014_3.jpg,singleton_passage,val
GS_burst_0020,GS_Gansu,1,GS_1015,7,{'3.75': 7},3.75,GS_1015_1.jpg;GS_1015_2.jpg;GS_1015_3.jpg,singleton_passage,train
GS_burst_0021,GS_Gansu,1,GS_1016,5,{'3.75': 5},3.75,GS_1016_1.jpg;GS_1016_2.jpg;GS_1016_3.jpg,singleton_passage,train
GS_burst_0022,GS_Gansu,1,GS_1017,8,{'3.5': 8},3.5,GS_1017_1.jpg;GS_1017_2.jpg;GS_1017_3.jpg,singleton_passage,train
GS_burst_0023,GS_Gansu,1,GS_1018,8,{'3.5': 8},3.5,GS_1018_1.jpg;GS_1018_2.jpg;GS_1018_3.jpg,singleton_passage,train
GS_burst_0024,GS_Gansu,1,GS_1019,8,{'3.5': 8},3.5,GS_1019_1.jpg;GS_1019_2.jpg;GS_1019_3.jpg,singleton_passage,train
GS_burst_0025,GS_Gansu,1,GS_102,6,{'4.0': 6},4.0,GS_102_1.jpg;GS_102_2.jpg;GS_102_3.jpg,singleton_passage,train
