passage_id,farm_source,n_images,bcs_classes,primary_bcs,sample_files,assigned_split
GS_1,GS_Gansu,8,{'4.25': 8},4.25,GS_1_1.jpg;GS_1_2.jpg;GS_1_3.jpg,train
GS_10,GS_Gansu,12,{'4.25': 12},4.25,GS_10_1.jpg;GS_10_10.jpg;GS_10_11.jpg,train
GS_100,GS_Gansu,7,{'3.5': 7},3.5,GS_100_1.jpg;GS_100_2.jpg;GS_100_3.jpg,test
GS_1000,GS_Gansu,8,{'3.75': 8},3.75,GS_1000_1.jpg;GS_1000_2.jpg;GS_1000_3.jpg,train
GS_1001,GS_Gansu,10,{'3.75': 10},3.75,GS_1001_1.jpg;GS_1001_10.jpg;GS_1001_2.jpg,train
GS_1002,GS_Gansu,9,{'3.5': 9},3.5,GS_1002_1.jpg;GS_1002_2.jpg;GS_1002_3.jpg,test
GS_1003,GS_Gansu,10,{'3.25': 10},3.25,GS_1003_1.jpg;GS_1003_10.jpg;GS_1003_2.jpg,train
GS_1004,GS_Gansu,8,{'4.0': 8},4.0,GS_1004_1.jpg;GS_1004_2.jpg;GS_1004_3.jpg,train
GS_1005,GS_Gansu,9,{'3.25': 9},3.25,GS_1005_1.jpg;GS_1005_2.jpg;GS_1005_3.jpg,train
GS_1006,GS_Gansu,12,{'3.75': 12},3.75,GS_1006_1.jpg;GS_1006_10.jpg;GS_1006_11.jpg,test
GS_1007,GS_Gansu,8,{'3.25': 8},3.25,GS_1007_1.jpg;GS_1007_2.jpg;GS_1007_3.jpg,train
GS_1008,GS_Gansu,8,{'3.5': 8},3.5,GS_1008_1.jpg;GS_1008_2.jpg;GS_1008_3.jpg,train
GS_1009,GS_Gansu,8,{'3.25': 8},3.25,GS_1009_1.jpg;GS_1009_2.jpg;GS_1009_3.jpg,test
GS_101,GS_Gansu,5,{'3.75': 5},3.75,GS_101_1.jpg;GS_101_2.jpg;GS_101_3.jpg,train
GS_1010,GS_Gansu,7,{'3.5': 7},3.5,GS_1010_1.jpg;GS_1010_2.jpg;GS_1010_3.jpg,train
GS_1011,GS_Gansu,11,{'3.25': 11},3.25,GS_1011_1.jpg;GS_1011_10.jpg;GS_1011_11.jpg,train
GS_1012,GS_Gansu,8,{'3.5': 8},3.5,GS_1012_1.jpg;GS_1012_2.jpg;GS_1012_3.jpg,train
GS_1013,GS_Gansu,9,{'3.5': 9},3.5,GS_1013_1.jpg;GS_1013_2.jpg;GS_1013_3.jpg,test
GS_1014,GS_Gansu,8,{'3.5': 8},3.5,GS_1014_1.jpg;GS_1014_2.jpg;GS_1014_3.jpg,val
GS_1015,GS_Gansu,7,{'3.75': 7},3.75,GS_1015_1.jpg;GS_1015_2.jpg;GS_1015_3.jpg,train
GS_1016,GS_Gansu,5,{'3.75': 5},3.75,GS_1016_1.jpg;GS_1016_2.jpg;GS_1016_3.jpg,train
GS_1017,GS_Gansu,8,{'3.5': 8},3.5,GS_1017_1.jpg;GS_1017_2.jpg;GS_1017_3.jpg,train
GS_1018,GS_Gansu,8,{'3.5': 8},3.5,GS_1018_1.jpg;GS_1018_2.jpg;GS_1018_3.jpg,train
GS_1019,GS_Gansu,8,{'3.5': 8},3.5,GS_1019_1.jpg;GS_1019_2.jpg;GS_1019_3.jpg,train
GS_102,GS_Gansu,6,{'4.0': 6},4.0,GS_102_1.jpg;GS_102_2.jpg;GS_102_3.jpg,train
GS_1020,GS_Gansu,8,{'3.75': 8},3.75,GS_1020_1.jpg;GS_1020_2.jpg;GS_1020_3.jpg,val
GS_1021,GS_Gansu,8,{'3.75': 8},3.75,GS_1021_1.jpg;GS_1021_2.jpg;GS_1021_3.jpg,train
GS_1022,GS_Gansu,8,{'3.25': 8},3.25,GS_1022_1.jpg;GS_1022_2.jpg;GS_1022_3.jpg,train
GS_1023,GS_Gansu,11,{'3.5': 11},3.5,GS_1023_1.jpg;GS_1023_10.jpg;GS_1023_11.jpg,train
GS_1024,GS_Gansu,8,{'3.75': 8},3.75,GS_1024_1.jpg;GS_1024_2.jpg;GS_1024_3.jpg,train
GS_1025,GS_Gansu,9,{'3.5': 9},3.5,GS_1025_1.jpg;GS_1025_2.jpg;GS_1025_3.jpg,train
GS_1026,GS_Gansu,9,{'3.75': 9},3.75,GS_1026_1.jpg;GS_1026_2.jpg;GS_1026_3.jpg,train
GS_1027,GS_Gansu,8,{'3.75': 8},3.75,GS_1027_1.jpg;GS_1027_2.jpg;GS_1027_3.jpg,train
GS_1028,GS_Gansu,8,{'3.25': 8},3.25,GS_1028_1.jpg;GS_1028_2.jpg;GS_1028_3.jpg,train
GS_1029,GS_Gansu,9,{'3.25': 9},3.25,GS_1029_1.jpg;GS_1029_2.jpg;GS_1029_3.jpg,train
GS_103,GS_Gansu,14,{'3.75': 14},3.75,GS_103_1.jpg;GS_103_10.jpg;GS_103_11.jpg,train
GS_1030,GS_Gansu,8,{'4.0': 8},4.0,GS_1030_1.jpg;GS_1030_2.jpg;GS_1030_3.jpg,train
GS_1031,GS_Gansu,8,{'4.0': 8},4.0,GS_1031_1.jpg;GS_1031_2.jpg;GS_1031_3.jpg,train
GS_1032,GS_Gansu,8,{'3.5': 8},3.5,GS_1032_1.jpg;GS_1032_2.jpg;GS_1032_3.jpg,train
GS_1033,GS_Gansu,21,{'3.5': 21},3.5,GS_1033_1.jpg;GS_1033_10.jpg;GS_1033_11.jpg,train
GS_1034,GS_Gansu,20,{'3.75': 20},3.75,GS_1034_1.jpg;GS_1034_10.jpg;GS_1034_11.jpg,train
GS_1035,GS_Gansu,14,{'3.5': 14},3.5,GS_1035_1.jpg;GS_1035_10.jpg;GS_1035_11.jpg,train
GS_1036,GS_Gansu,10,{'4.0': 10},4.0,GS_1036_1.jpg;GS_1036_10.jpg;GS_1036_2.jpg,train
GS_1037,GS_Gansu,7,{'3.5': 7},3.5,GS_1037_1.jpg;GS_1037_2.jpg;GS_1037_3.jpg,train
