image_path,label,cow_id,burst_group_id,original_passage_id,farm_source,split
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_1.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_2.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_3.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_4.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_5.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_6.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_7.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_1_8.jpg,4.25,GS_burst_0001,GS_burst_0001,GS_1,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_1.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_10.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_11.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_12.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_2.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_3.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_4.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_5.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_6.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
D:\cattle-health-monitoring-multi-task-model\datasets\bcs\sciencedb_bcs\dataset\4.25\GS_10_7.jpg,4.25,GS_burst_0002,GS_burst_0002,GS_10,GS_Gansu,train
