cut_name,source_video_id,camera_id,date,time,track_id,segment_idx,sample_id,behavior_original,start_frame,end_frame,n_frames,fps,mean_bbox_w,mean_bbox_h,occluded_fraction
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,0,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr0_seg0,grazing,1,450,450,30.0,69.0,63.0,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,1,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr1_seg0,grazing,1,450,450,30.0,77.0,148.0,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,2,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr2_seg0,drinking,1,450,450,30.0,171.01,265.0,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,3,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr3_seg0,hidden,1,450,450,30.0,79.53,50.86,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,4,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr4_seg0,grazing,1,450,450,30.0,217.0,168.0,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,5,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr5_seg0,walking,1,110,110,30.0,301.62,222.0,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,6,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr6_seg0,other,1,115,115,30.0,45.01,37.04,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,7,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr7_seg0,grazing,116,450,335,30.0,57.46,74.25,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,8,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr8_seg0,grazing,1,260,260,30.0,218.49,221.34,0.0
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,arm01_gopro1_20200322_222554,gopro1,20200322,222554,9,0,cvb_0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1_tr9_seg0,grazing,261,450,190,30.0,229.69,230.76,0.0
