cow_id,total_crops,n_unique_timestamps,n_synchronized_events,cam_1_crops,cam_2_crops,cam_3_crops,cam_4_crops,class_1_walking,class_2_standing,class_3_feeding_up,class_4_feeding_down,class_5_licking,class_6_drinking,class_7_lying,dominant_class,first_timestamp_iso,last_timestamp_iso,canonical_split,test_fold_assigned
1,14029,4714,4714,2742,3509,3973,3805,275,3800,749,1565,0,242,7398,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_0
2,13294,4709,4709,4238,3441,2696,2919,174,4686,1060,2543,212,144,4475,2_Standing,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,test,Fold_0
3,13494,4718,4718,2772,3747,3652,3323,175,3169,2053,1469,171,305,6152,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_2
4,15550,4732,4732,3793,4139,4311,3307,193,5845,1926,1563,200,184,5639,2_Standing,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_1
5,14755,4676,4676,4186,4013,3565,2991,314,6305,1520,1990,0,259,4367,2_Standing,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,test,Fold_1
6,15292,4729,4729,3855,4288,3485,3664,333,7427,1438,2457,208,253,3176,2_Standing,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_2
7,10425,4449,4449,2466,2504,2761,2694,192,1887,1442,1597,432,83,4792,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,val,Fold_0
8,12786,4679,4679,2438,2856,4013,3479,392,4386,807,2101,16,268,4816,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_2
9,13332,4701,4701,2957,3154,3447,3774,255,4823,483,2526,140,137,4968,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_1
10,12368,4675,4675,3720,3608,1745,3295,295,4613,765,1377,137,170,5011,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_0
11,12721,4630,4630,3507,3807,3178,2229,117,2766,1120,838,244,97,7539,7_Lying,2023-07-25T08:01:41Z,2023-07-26T04:57:11Z,train,Fold_1
12,15186,4747,4747,3572,4226,3711,3677,260,6909,1958,1792,125,279,3863,2_Standing,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_3
13,14709,4724,4724,3907,4242,3596,2964,252,3172,1857,1559,0,192,7677,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,val,Fold_2
14,10626,4447,4447,3081,2142,2777,2626,181,2281,224,2500,0,123,5317,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_3
15,13017,4627,4627,3447,2712,3497,3361,283,3829,655,2658,124,248,5220,7_Lying,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,train,Fold_3
16,12102,4431,4431,2825,2420,3465,3392,427,4209,1023,2720,0,327,3396,2_Standing,2023-07-25T07:57:26Z,2023-07-26T04:57:11Z,test,Fold_3
