dataset,dataset_version,task,paper_url,dataset_url,license,download_status,local_root,sha256_or_manifest_hash,n_images,n_videos,n_cows,n_farms,n_sessions,n_cameras,cow_id_available,farm_id_available,session_id_available,tracklet_id_available,camera_id_available,timestamp_available,source_video_available,viewpoint_available,modalities,label_schema,notes,local_status_1050ti,local_verified_date
ScienceDB_Cattle_BCS,1.0,BCS,NA,https://doi.org/10.57760/sciencedb.07058,CC-BY-4.0,DOWNLOADED (Remote index available),datasets/bcs/sciencedb_bcs/dataset/,d6c3004a68a8f5247c4331bf9ec96c342f567b57d6928e3b5e1b212f864e43cf,53566 (project-reported),NA,0 (Biological cow count unavailable; true biological cow IDs not recorded or provided by publisher),"3 (coarse facilities: GS_Gansu, YM_Farm2, STEREO_Farm3)",NA,NA,"FALSE (biological cow IDs not recorded; 5,662 original parsed passage clusters merged into 5,653 repaired canonical burst groups)",TRUE (3 coarse sources recoverable from prefix),NA,"TRUE (5,653 repaired canonical burst groups; 5,662 original parsed passage clusters)",TRUE (L and R in stereo facility),FALSE,FALSE,Rear,RGB,"Discrete ordinal (3.25, 3.5, 3.75, 4.0, 4.25)","Primary in-domain BCS dataset. 53,566 images across 5 classes verified locally. Biological cow IDs unavailable; evaluation protocol is burst-group-disjoint / sequence-safe. 5,662 original parsed passage clusters repaired into 5,653 canonical connected burst groups (9 overlapping links merged). Canonical split: train 37,045 images (3,958 burst groups), val 8,481 images (850 burst groups), test 8,040 images (845 burst groups). Zero sequence or burst leakage.",AVAILABLE,2026-09-20
Dryad_Cattle_BCS,doi:10.5061/dryad.tqjq2bw4s,BCS (Secondary External Validation),https://doi.org/10.5061/dryad.tqjq2bw4s,https://datadryad.org/stash/dataset/doi:10.5061/dryad.tqjq2bw4s,CC0-1.0,DOWNLOADED,datasets/bcs/dryad_bcs/Total_sorted_DGE_images/,80725f2535663f72a661086dfb4329e9cd27c6e7dcb914af7a47184f026bb8bd,5940,0,"54 (biological cows Cow_1..Cow_55, Cow_39 absent; 148 session folders)",1 (NMSU Experimental Ranch),148 (video recording passes across multiple scoring dates),1 (overhead depth sensor),TRUE (54 biological cow IDs),TRUE,TRUE (148 session folders),TRUE (video frame sequences),TRUE (1 overhead sensor),FALSE (frame indices only),FALSE (extracted DGE TIFFs provided in archive),Top-down / dorsal (overhead depth),DGE (Depth-Grayscale-Edge) TIFF (224x224 RGB-encoded),"Discrete 1-9 Wagner beef BCS scale (classes 2-7 active: 2:546, 3:536, 4:2212, 5:1962, 6:667, 7:17)","Secondary external BCS benchmark. Discrepancy fully resolved: older ~5,923 count omitted Class 7 (17 imgs from Cow_52). 5,940 verified 224x224 TIFFs. Manifest generated in datasets/bcs/dryad/manifest.csv and legacy bcs_index.csv updated.",AVAILABLE,2026-09-20
Ruchay2026_BCS,10.5281/zenodo.20290988,BCS (Primary External Validation),https://doi.org/10.5281/zenodo.20290988,https://zenodo.org/records/20290988,CC-BY-4.0,DOWNLOADED (Metadata only; 77.74 GB raw on Zenodo),datasets/bcs/external/ruchay2026/,NA,"25700 (RGB-D pairs: 25,700 RGB + 25,700 Depth)",0,1025,"1 (Saraktashsky district, Orenburg, Russian Federation)","4 (2024-12-06, 2025-02-20, 2025-03-20, 2025-03-27)",1 (Microsoft Kinect overhead nadir at 3.05m),TRUE (1025 unique animal IDs),TRUE,TRUE (4 dates),TRUE (frames within sessions),TRUE (single fixed nadir),TRUE,FALSE (30 FPS frames provided),Top-down / nadir (overhead 3.05m),"RGB, Depth (8-bit grayscale PNG)",10 ordinal classes (2.75 to 5.00 in 0.25 increments),"Primary external BCS validation benchmark. 1,025 cows, 4 sessions, Ferguson 5-point scale. Metadata file Dataset.xlsx and ruchay2026_manifest.csv verified locally. Raw 77.74 GB archives remain on Zenodo.",METADATA_ONLY,2026-09-20
MmCows,1.0,Behavior (External Identity-Aware Validation),https://openreview.net/forum?id=VfX2tXl2w0,https://huggingface.co/datasets/cair/MmCows,CC-BY-4.0,DOWNLOADED (Crops only; raw videos purged),datasets/behavior/mmcows/cropped_bboxes/behaviors/,352aaf9adddb2bd37b1e0af699cbf7316505fd53829aaa14e1d8e6157875d364,213686 (active behavior crops),0 (raw videos purged; 36 originally),16,1,"3 (contiguous recording sessions: 1.5h, 10.5h, 7.8h separated by >30m gaps)",4,TRUE (16 biological cow IDs),TRUE,TRUE,TRUE (event_id for synchronized multi-camera views),TRUE,TRUE,FALSE (videos purged locally),Multi-view CCTV (surveillance angles),RGB bounding-box crops,7 active behavior classes (1 through 7),"External identity-aware Behavior stress test after 2026-09-23 roadmap correction. 213,686 crops verified. 16 cows, 4 synchronized CCTV cameras, 7 classes. Canonical cow-disjoint split and 4-Fold GroupKFold suite remain valuable for external generalization; shared 5-class mapping excludes Licking and merges Feeding_head_up/down to Feeding.",AVAILABLE,2026-09-20
CBVD-5,10.1038/s41598-024-65953-x,Behavior (Secondary External Validation),https://doi.org/10.1038/s41598-024-65953-x,https://www.kaggle.com/datasets/fandaoerji/cbvd-5cow-behavior-video-dataset,CC-BY-4.0,DOWNLOADED,datasets/behavior/external/cbvd5/,NA,"206100 (raw frames mini + 5,322 annotated label frames)",887 (687 primary videos + 200 supplementary videos),107,1,NA,Multi-angle barn cameras,TRUE (107 cow IDs in video names),TRUE,NA,TRUE (consecutive video frames),NA,TRUE (frame sequences),TRUE (887 MP4 videos present),Side / oblique barn cameras,"RGB video, extracted frames, bounding box annotations","5 behavior classes (Feeding, Lying, Standing, Walking, Other)","Secondary external behavior validation after 2026-09-23 roadmap correction. Use only on defensibly compatible labels; do not claim cow-disjoint evaluation without verified persistent biological IDs. 887 MP4 videos and 206,100 mini frames verified on disk.",AVAILABLE,2026-09-20
CVB,1.0 (CSIRO DAP collection 58916v001),Behavior (Primary Dense-Video Training Stack),https://doi.org/10.25919/bmtp-5j95,https://doi.org/10.25919/bmtp-5j95,CSIRO Data Licence,DOWNLOADED (Modal Volume cvb-data),datasets/behavior/cvb/ (Manifests & audit pack; raw frames on Modal Volume cvb-data at /data/cvb/),1a18fd44a6ac52ececea6db415f715d6868383069896ca45513ed49629a116b2,225829 (1080p JPEG frames across 502 cuts),502 (video cuts across 66 source videos),"0 (biological cow IDs not available; 3,693 clip-local tracker instances)","1 (CSIRO McMaster Research Station, Chiswick, Armidale, NSW, Australia)",66 (source video recording passes across 6 dates: 2020-03-22 to 2020-03-27),"3 (stationary fence-mounted GoPros: gopro1, gopro3, gopro4)",FALSE (no biological cow IDs; track IDs are clip-local 0-10 only),"TRUE (CSIRO McMaster Station, Armidale)",TRUE (66 source videos identified by session_camera_date_time prefix),"TRUE (clip-local tracker IDs 0-10; 3,693 tracklets)","TRUE (gopro1, gopro3, gopro4 in cut names)","TRUE (30.0 FPS consecutive frames, 15.0s clips; timestamps in AVA format)",TRUE (66 unique source videos recoverable from cut naming),Open-pasture stationary wide-angle (fence arm mounted),"RGB 1080p frames, bounding box annotations (COCO & AVA formats)","12 official classes (grazing: 496k, resting-lying: 209k, resting-standing: 138k, hidden: 108k, ruminating-lying: 76k, drinking: 33k, ruminating-standing: 29k, other: 27k, walking: 24k, grooming: 17k, none: 5k, running: 1.7k)","Primary dense-video Behavior training stack member after approved 2026-09-23 correction. 30 FPS temporal video; canonical mapping uses resting-standing->Standing, resting-lying->Lying, grazing->Feeding, drinking->Drinking, walking->Walking. Official AVA split is forbidden because 88.9% of validation source videos overlap training; rebuild source-video-grouped splits.",AVAILABLE_ON_CLOUD,2026-09-22
Kaggle_Beef_Cattle_Behavior,1.0 (lucyfirst/beef-cattle-behavior-data-set),Behavior (Primary Dense-Video Training Stack),NA,https://www.kaggle.com/datasets/lucyfirst/beef-cattle-behavior-data-set,Unknown (Kaggle default),DOWNLOADED (Modal Volume beef-behavior-data),datasets/behavior/beef_cattle_behavior/ (Manifests & audit pack; raw data on Modal Volume beef-behavior-data at /data/beef_behavior/),3f3ef4aa10fa5fda01b0d3365cfb28a13a0a690e3a96826f3723713d8fe10e69,1143130 (224x224 RGB image crops in Labelframes/ inside archive.zip),4337 (single-cow MP4 clips across 5 behaviors; 500 full-scene surveillance MP4s in archive),6 (commercial beef cows monitored in captive pen; true biological cow IDs not provided),1 (captive barn enclosure),203 (recording session prefixes across 168 hours / 7 days),1 (stationary surveillance camera),FALSE (0 biological cow IDs; filenames use ephemeral ByteTrack IDs 1-100+),TRUE (single captive pen),TRUE (session prefixes in filenames),TRUE (ByteTrack IDs 1-100+; highly fragmented),TRUE (1 stationary camera),"TRUE (25.0 FPS consecutive frames, median 10.0s clips; 43,039.24s / 11.96h total video via ffprobe)",TRUE (500 full-scene videos in videos_cut/videos/ inside archive),Captive barn top-down / high-angle oblique surveillance,"RGB video (224x224 MP4), extracted frames (224x224 JPEG), YOLO detection labels (.txt)","5 official classes (ruminate: 1544, lie: 1362, stand: 638, eat: 546, drink: 247). Walking is 100% ABSENT.","Primary dense-video Behavior training stack member after approved 2026-09-23 correction. 4,337 single-cow MP4 clips, 25 FPS, 43,039.24s (11.96h; exhaustive ffprobe manifest supersedes earlier ~11.84h sampled estimate). Canonical mapping uses stand->Standing, lie->Lying, eat->Feeding, drink->Drinking; ruminate excluded from the shared 5-class baseline. Walking is absent. Requires recording-session/source-video grouped splitting; never random clip/frame splits.",AVAILABLE_ON_CLOUD,2026-09-23
XGain,NA,Behavior,NA,NA,NA,PLANNED,datasets/behavior/external/xgain/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RGB,Behavior classes,Optional external behavior dataset. Use only for compatible label intersections. 0 files locally.,NOT_FOUND,2026-09-20
Simmental_2026,NA,Behavior,NA,NA,NA,PLANNED,datasets/behavior/external/simmental2026/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RGB,Behavior classes,Optional external behavior dataset. Use only for compatible label intersections. 0 files locally.,NOT_FOUND,2026-09-20
MultiCamCows2024,1.0,Re-ID,https://arxiv.org/abs/2403.04783,https://data.bris.ac.uk/data/dataset/2inu67jru7a6821kkgehxg3cv2,Non-Commercial Government Licence for public sector information,BLOCKED (Upstream download currently unavailable),datasets/id/raw/multicamcows2024/,NA,101329 (publisher-reported),NA (monitor footage reported by publisher),90 (publisher-reported),1,NA,3,TRUE (90 cows),TRUE,NA,TRUE,TRUE,TRUE (7 days: 2023-08-14 to 2023-08-20),TRUE (monitor footage reported),Top-down / ceiling-mounted 3 cameras,RGB,"90 cow identities, tracklets","Intended primary Re-ID benchmark. Official download endpoint fails with connection reset (verified locally and on Modal cloud). Status = BLOCKED, not complete. 0 files locally.",NOT_FOUND,2026-09-20
