image_path,rel_path,cow_id,label,frame_id,official_split,split,sha256,width,height
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000001.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000001.jpg,1,0,1,train,train,5f13d457269872b0feee3681741eae14e10015d116e5ecd5bda45fb2033ddf51,163,152
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000002.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000002.jpg,1,0,2,train,train,6a5d99b32154e946fc34b564fc6f61d54de57444b1a01efc7ecbae9f8eeeaf49,195,82
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000003.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000003.jpg,1,0,3,train,train,3b2d2bf063ae72df76ee3c2759e17a253873a28ebb68eecee91ea739fc9376b4,96,44
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000004.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000004.jpg,1,0,4,train,train,3bce31b7c5da6b01830446047185f8b684e6c5234bfb7eb7d1764227497a20b3,311,191
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000005.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000005.jpg,1,0,5,train,train,191e57a37ca5df4f484b1a00da8f4dae47948dab8c913b7839057603d15eecd5,103,51
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000006.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000006.jpg,1,0,6,train,train,a4020add70c704b99f0dc7dd059d49d1cc78a7b2784210bff1c436e09d761ded,118,64
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000007.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000007.jpg,1,0,7,train,train,489b0e2d94bf66f4afcce1dc1e23fe7e0bd325201c95b0dbb2c0e33626c8eda4,121,66
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000008.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000008.jpg,1,0,8,train,train,f9a78d34799bf79995f7c86cece0752cc67d3313293076b3e49f4c2d05ce47bd,177,96
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000009.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000009.jpg,1,0,9,train,train,1f77d858004df01928059970dae02ab3727fa506513abaf226bd4dec5e75d904,168,107
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000010.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000010.jpg,1,0,10,train,train,7e05edd649d60fde96bdbc1e5c21d40bc334f3f3cf7fb39b55db2ed8965e9117,96,48
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000011.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000011.jpg,1,0,11,train,train,e1f86fa3e0431a0c743bc2b6e37d35cd7a85bfce75d1a1ef1183cc42d8a85757,121,66
D:\cattle-health-monitoring-multi-task-model\datasets\id\opencow2020-DatasetNinja\identification-train\img\1_000012.jpg,datasets/id/opencow2020-DatasetNinja/identification-train/img/1_000012.jpg,1,0,12,train,train,839fee17091921a36149346fa4772545dceed42621d22cbda90ff65835011dc1,414,166
