image_path,label,cow_id,split
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_0.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_1.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_2.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_3.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_4.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_5.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_6.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_7.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_8.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_9.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_10.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_11.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_12.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_13.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_14.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_15.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_16.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_17.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_18.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_19.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_20.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_21.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_22.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_23.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_24.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_25.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_26.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_27.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_28.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_29.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_30.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_31.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_32.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_33.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_34.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_35.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_36.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_37.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_38.jpg,1,Lame_1,train
D:\cattle-health-monitoring-multi-task-model\datasets\lameness\frames\Lame_1_frame_39.jpg,1,Lame_1,train
