cow_id,image_id,view,azimuth,elevation
cow0,cow0_0,right,2.765308,-21.157625
cow0,cow0_1,right,18.861318,-18.432647
cow0,cow0_2,front-right,40.045893,-23.887954
cow0,cow0_3,front-right,57.587747,-22.256543
cow0,cow0_4,front,91.793125,-19.937899
cow0,cow0_5,front-left,120.345433,-22.913429
cow0,cow0_6,front-left,144.755785,-16.563880
cow0,cow0_7,left,165.536533,-24.117988
cow0,cow0_8,left,188.814742,-16.584396
cow0,cow0_9,left,194.942819,-22.883434
cow0,cow0_10,back-left,226.570582,-23.312853
cow0,cow0_11,back-left,241.512882,-24.370794
cow0,cow0_12,back,266.112145,-15.667907
cow0,cow0_13,back-right,293.914204,-17.939981
cow0,cow0_14,back-right,323.597952,-17.778037
cow0,cow0_15,right,345.190390,-24.895624
cow0,cow0_16,right,6.451558,-1.704731
cow0,cow0_17,front-right,26.319483,-8.858554
cow0,cow0_18,front-right,48.771258,-2.149231
cow0,cow0_19,front,77.093884,-1.648450
cow0,cow0_20,front,87.109173,-8.904498
cow0,cow0_21,front-left,120.237263,-3.274082
cow0,cow0_22,front-left,132.450241,-9.383572
cow0,cow0_23,left,161.316360,-7.242322
cow0,cow0_24,left,180.678230,-4.456939
cow0,cow0_25,left,194.307840,-4.191350
cow0,cow0_26,back-left,230.114344,-5.187145
cow0,cow0_27,back-left,239.550560,-1.083750
cow0,cow0_28,back,266.183408,-2.995643
cow0,cow0_29,back-right,296.334079,-9.922407
cow0,cow0_30,back-right,306.598198,-2.763140
cow0,cow0_31,back-right,331.777574,-6.609749
cow0,cow0_32,right,-4.762759,11.475750
cow0,cow0_33,right,16.433283,12.736330
cow0,cow0_34,front-right,43.631885,12.094689
cow0,cow0_35,front-right,63.609478,8.858353
cow0,cow0_36,front,91.306422,7.946762
cow0,cow0_37,front,106.532781,5.274560
cow0,cow0_38,front-left,139.322815,7.050184
cow0,cow0_39,left,158.301151,9.239627
cow0,cow0_40,left,179.337329,11.487125
cow0,cow0_41,left,192.643779,10.481801
cow0,cow0_42,back-left,226.625435,12.232634
cow0,cow0_43,back,253.032933,6.799895
cow0,cow0_44,back,265.116725,7.438773
cow0,cow0_45,back,290.535872,6.331562
cow0,cow0_46,back-right,315.896697,12.913886
