serial,link/ Source
1,https://www.pexels.com/photo/cow-eating-grass-on-pasture-9960235/
2,https://www.pexels.com/photo/cattle-on-pasture-18774750/
3,https://www.pexels.com/photo/cow-in-mountains-18064536/
4,https://www.pexels.com/photo/a-cattle-grazing-on-a-grass-field-9465612/
5,https://www.pexels.com/photo/grazing-cattle-on-scenic-countryside-road-36298883/
6,https://www.pexels.com/photo/cows-on-grass-field-6158016/
7,https://www.pexels.com/photo/cows-on-a-grassy-field-5720719/
8,https://www.pexels.com/photo/cachena-bulls-with-large-horns-walking-on-dirt-road-26442515/
9,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
10,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
11,https://www.pexels.com/photo/farmer-walking-cattle-on-rural-path-at-sunset-36409207/
12,https://www.pexels.com/photo/boy-leading-cattle-in-village-18700971/
13,https://www.pexels.com/photo/boy-with-rod-leading-cattle-in-village-18700973/
14,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
15,https://www.pexels.com/photo/a-boy-with-gray-beanie-holding-a-stick-herding-the-goats-8715364/
16,https://www.pexels.com/photo/two-cows-walking-in-a-field-with-a-fence-in-the-background-28164874/
17,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
18,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
19,https://www.pexels.com/photo/cows-gather-around-feeder-in-muddy-farm-paddock-33950037/
20,https://www.pexels.com/photo/herd-of-charolais-cattle-in-a-field-13629857/
21,https://www.pexels.com/photo/farmer-in-a-straw-hat-standing-on-a-field-with-two-brown-oxen-16509870/
22,https://www.pexels.com/photo/a-man-in-green-long-sleeves-farming-on-brown-field-14884881/
23,https://www.pexels.com/photo/farmer-and-pair-of-oxen-plowing-land-16510004/
24,https://www.pexels.com/photo/back-view-of-a-cattle-on-a-field-18656873/
25,https://www.pexels.com/photo/cattle-grazing-in-a-pastoral-meadow-scene-35739307/
26,https://www.pexels.com/photo/man-walking-his-cows-on-the-road-13608871/
27,https://www.pexels.com/photo/back-view-of-a-cow-herd-walking-in-a-city-6004222/
28,https://www.pexels.com/photo/zebu-cattle-standing-in-rural-african-village-35745627/
29,https://www.pexels.com/photo/majestic-black-and-white-cow-in-rural-setting-35745628/
30,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
31,https://www.pexels.com/photo/herd-of-brown-cows-grazing-on-green-grass-field-10146815/
32,https://www.pexels.com/photo/white-cow-walking-in-forested-area-37462172/
33,https://unsplash.com/photos/a-black-and-white-cow-grazing-in-a-field-pNAdIzP9v-w
34,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
35,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
36,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
37,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
38,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
39,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
40,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
41,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
42,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
43,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
44,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
45,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
46,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
47,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
48,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
49,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
50,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
51,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
52,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
53,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
54,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
55,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
56,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
57,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
58,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
59,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
60,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
61,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
62,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
63,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
64,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
65,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
66,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
67,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
68,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
69,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
70,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
71,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
72,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
73,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
74,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
75,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
76,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
77,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
78,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
79,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
80,https://www.kaggle.com/datasets/lawrencejembere/cow-images-for-milk-yield-prediction
