serial,link/source
1,https://www.pexels.com/photo/a-boy-caring-for-herd-of-cattles-9430114/
2,https://www.pexels.com/photo/a-person-walking-with-cows-on-paved-road-9497547/
3,https://www.pexels.com/photo/cow-grazing-on-pasture-18045346/
4,https://www.pexels.com/photo/herd-of-cows-grazing-in-rural-palu-turkiye-32608475/
5,https://www.pexels.com/photo/cows-in-a-field-19808773/
6,https://www.pexels.com/photo/farmer-and-his-cows-12213862/
7,https://www.pexels.com/photo/farmer-herding-cattle-on-rural-path-in-bangladesh-35239071/
8,https://www.pexels.com/photo/rural-life-farmers-herding-cattle-on-country-road-34522584/
9,https://www.pexels.com/photo/woman-herding-cattle-on-forest-pathway-34522583/
10,https://www.pexels.com/photo/people-walking-with-cattle-on-dirt-road-17947143/
11,https://www.pexels.com/photo/boy-leading-cows-in-village-18700975/
12,https://www.pexels.com/photo/herding-cattle-on-a-rural-sicilian-road-29527210/
13,https://www.pexels.com/photo/a-man-walking-on-brown-soil-with-his-cows-11536891/
14,https://www.pexels.com/photo/farmer-with-oxen-in-field-15275563/
15,https://www.pexels.com/photo/elderly-man-standing-beside-the-carabao-15276182/
16,https://www.pexels.com/photo/farmer-and-pair-of-oxen-plowing-land-16509955/
17,https://www.pexels.com/photo/herd-of-cattle-grazing-along-the-rural-roadside-36298877/
18,https://www.pexels.com/photo/cattle-grazing-in-valle-del-cauca-landscape-38511263/
19,https://www.pexels.com/photo/cowboy-herding-cattle-on-brazilian-ranch-31173079/
20,https://www.pexels.com/photo/shepherd-guiding-herd-through-azerbaijani-village-32416053/
21,https://www.pexels.com/photo/a-boy-caring-for-herd-of-cattles-9430114/
22,https://www.pexels.com/photo/people-walking-on-road-with-brown-cows-12426052/
23,https://www.pexels.com/photo/traditional-cattle-driving-in-rural-bangladesh-37539216/
24,https://www.pexels.com/photo/a-person-walking-with-cows-on-paved-road-9497547/
25,https://www.pexels.com/photo/farmer-walking-with-cattle-in-thanchi-bangladesh-37651734/
26,https://www.pexels.com/photo/woman-herding-cattle-on-forest-pathway-34522583/
27,https://www.pexels.com/photo/farmers-in-india-20527380/
28,https://www.pexels.com/photo/people-walking-with-cattle-on-dirt-road-17947143/
29,https://www.pexels.com/photo/man-walking-with-cows-on-rural-path-at-sunset-36409193/
30,https://www.pexels.com/photo/farmer-walking-cattle-on-rural-path-at-sunset-36409207/
31,https://www.pexels.com/photo/mother-cow-and-calf-in-pastoral-landscape-31259860/
32,https://www.pexels.com/photo/cattle-grazing-with-calf-in-minna-nigeria-37268381/
33,https://www.pexels.com/photo/back-view-of-a-cow-grazing-on-green-grassland-7813009/
34,https://data.mendeley.com/datasets/h2s22wr5py/3/files/50b70a8d-3139-42f9-ae53-0fed76743f7a
35,https://data.mendeley.com/datasets/h2s22wr5py/3/files/aec02e12-54cd-4893-bab8-82c351d10119
36,https://data.mendeley.com/datasets/h2s22wr5py/3/files/128f0873-aa27-42b7-b6be-a60081c4e699
37,https://data.mendeley.com/datasets/h2s22wr5py/3/files/209b0196-3ffb-4964-9428-8e681623dffc
38,https://data.mendeley.com/datasets/h2s22wr5py/3/files/12e20c40-05dc-40b6-bba8-70e98150bf82
39,https://data.mendeley.com/datasets/h2s22wr5py/3/files/ff320c38-8779-4c44-aa71-0fd901c0997f
40,https://data.mendeley.com/datasets/h2s22wr5py/3/files/a27a445f-ca39-4f93-b703-46f65e307160
41,https://data.mendeley.com/datasets/h2s22wr5py/3/files/589dbfc4-2638-45f4-b414-d8213c380af6
42,https://data.mendeley.com/datasets/h2s22wr5py/3/files/7e2208b5-35b3-4fb6-8d03-13edef54ba15
43,https://data.mendeley.com/datasets/h2s22wr5py/3/files/ab0a51e8-a0f9-4033-b950-9d1a5d535682
44,https://data.mendeley.com/datasets/h2s22wr5py/3/files/0f0563af-d1a0-48ba-869c-2fb91eae1368
45,https://data.mendeley.com/datasets/h2s22wr5py/3/files/2303fb77-8165-4f71-bd7e-d96dc796b3b7
46,https://data.mendeley.com/datasets/h2s22wr5py/3/files/8a4d27d3-7827-4401-9061-b7eb1e11e84e
47,https://data.mendeley.com/datasets/h2s22wr5py/3/files/81e94606-06ca-45b0-9d1b-d6b6fd003d77
48,https://data.mendeley.com/datasets/h2s22wr5py/3/files/1a6d306f-d79e-4244-9336-9baacb2fd6a8
49,https://data.mendeley.com/datasets/h2s22wr5py/3/files/fc8119ed-7c59-4302-9f61-1fbf54839ec5
50,https://data.mendeley.com/datasets/h2s22wr5py/3/files/fc52db2b-cdf8-47d2-bf04-08b2aedeb021
51,https://data.mendeley.com/datasets/h2s22wr5py/3/files/79b5bdf2-e7b9-4f17-b76b-c534f7b591f1
52,https://data.mendeley.com/datasets/h2s22wr5py/3/files/66671db7-e667-4c9d-824f-e04422129122
53,https://data.mendeley.com/datasets/h2s22wr5py/3/files/97d88142-e2d3-4c52-a56e-529a881585a6
54,https://data.mendeley.com/datasets/h2s22wr5py/3/files/95236792-fd46-471b-8e1f-44d925ffd63d
55,https://data.mendeley.com/datasets/h2s22wr5py/3/files/b8fbf9d5-5ad5-4dfd-8896-b9d94abba962
56,https://data.mendeley.com/datasets/h2s22wr5py/3/files/e25f3cd8-c4db-4257-b951-1bb35313effa
57,https://data.mendeley.com/datasets/h2s22wr5py/3/files/f7304a19-ab66-4ff1-801e-8e048be3911a
58,https://data.mendeley.com/datasets/h2s22wr5py/3/files/85154fe0-9140-4a36-845f-cf60b6745a8f
59,https://data.mendeley.com/datasets/h2s22wr5py/3/files/7c2c20cc-a8db-474c-9dd8-eccec1618d47
60,https://data.mendeley.com/datasets/h2s22wr5py/3/files/63435125-960b-4f27-a002-1390b9665ef1
61,https://data.mendeley.com/datasets/h2s22wr5py/3/files/3cd59105-dd8d-4f9b-b57e-a72ca7d5d22c
62,https://data.mendeley.com/datasets/h2s22wr5py/3/files/1e880fb9-fcc3-4803-ab93-adabbae63400
63,https://data.mendeley.com/datasets/h2s22wr5py/3/files/e8dbc93a-74e3-480e-9037-185271e6b4e3
64,https://data.mendeley.com/datasets/h2s22wr5py/3/files/40979e91-aa41-42d2-b038-65c9ec9f3cc4
65,https://data.mendeley.com/datasets/h2s22wr5py/3/files/952ba852-e5f7-493c-a994-ba9957456098
66,https://data.mendeley.com/datasets/h2s22wr5py/3/files/f67a7e84-400a-469c-8810-8c2000e916d6
67,https://data.mendeley.com/datasets/h2s22wr5py/3/files/934d872c-8cc5-4155-a198-28807d76c50d
68,https://data.mendeley.com/datasets/h2s22wr5py/3/files/543710c9-ba6d-404e-b319-7bb1a69415f3
69,https://data.mendeley.com/datasets/h2s22wr5py/3/files/5d18f8db-b0f5-4375-b525-1963bf1d0e00
70,https://data.mendeley.com/datasets/h2s22wr5py/3/files/459a5a22-a733-4291-8f9d-8ff514c011e6
71,https://data.mendeley.com/datasets/h2s22wr5py/3/files/cd42a6f6-18a7-4d29-b95d-0ef01b7c1f2d
72,https://data.mendeley.com/datasets/h2s22wr5py/3/files/80a3cd1c-e150-4758-97cf-1f47c752fe35
73,https://data.mendeley.com/datasets/h2s22wr5py/3/files/11262c27-d0fe-47a0-8c3a-0f76e4d1329b
74,https://data.mendeley.com/datasets/h2s22wr5py/3/files/1a1ecab7-6a4c-4289-93cf-37c361079643
75,https://data.mendeley.com/datasets/h2s22wr5py/3/files/bef6d157-f204-40dd-bdad-63de60dfea24
76,https://data.mendeley.com/datasets/h2s22wr5py/3/files/6cd0775a-b8c4-4652-991b-02f7f65c58f0
77,https://data.mendeley.com/datasets/h2s22wr5py/3/files/a631d040-2151-49d9-806f-8b1a8565f5b1
78,https://data.mendeley.com/datasets/h2s22wr5py/3/files/490e9da1-85e9-44a1-9dbd-d51b399a7a8b
79,https://data.mendeley.com/datasets/h2s22wr5py/3/files/b6fb28a0-0de7-4c79-8007-385a516d0abb
80,https://data.mendeley.com/datasets/h2s22wr5py/3/files/afb0f272-6e2d-4521-98ad-37a6a5dd8f07
81,https://data.mendeley.com/datasets/h2s22wr5py/3/files/3582ec08-605c-4510-abef-1a551e86f487
82,https://data.mendeley.com/datasets/h2s22wr5py/3/files/3635209d-36d9-4c1f-9c30-8b9be17f515e
83,https://data.mendeley.com/datasets/h2s22wr5py/3/files/17dd23d7-747c-412a-b4e2-09ae698fae3a
84,https://data.mendeley.com/datasets/h2s22wr5py/3/files/2404be44-b31e-471f-ad42-c7e90d7bb3a1
85,https://data.mendeley.com/datasets/h2s22wr5py/3/files/f57843e0-25a5-47d1-97ef-c718113c1ad9
86,https://data.mendeley.com/datasets/h2s22wr5py/3/files/8f72911c-26d5-4d96-a934-4a5845bc0ba4
87,https://data.mendeley.com/datasets/h2s22wr5py/3/files/6683cd62-7f97-40fd-a1af-e80cb1cc3b31
88,https://data.mendeley.com/datasets/h2s22wr5py/3/files/216df6a4-3b2b-4fa8-a943-8dff3cec2953
89,https://data.mendeley.com/datasets/h2s22wr5py/3/files/03c0a118-fb9d-4022-ba74-f028e99587e6
90,https://data.mendeley.com/datasets/h2s22wr5py/3/files/4eccf457-0bb9-43b5-9e6b-b986d1646361
91,https://data.mendeley.com/datasets/h2s22wr5py/3/files/c73dc6b3-69ed-488b-be03-35f790758343
92,https://data.mendeley.com/datasets/h2s22wr5py/3/files/349fa8f6-c2f6-44f2-a58f-06df8e02aee9
93,https://data.mendeley.com/datasets/h2s22wr5py/3/files/4087b571-9b5d-4bcf-ac00-7ef29ea26bdf
