clean_id,clean_path,normalized_class,original_path,original_label,source_url,source_domain,width,height,sha256,perceptual_hash,duplicate_group_id,duplicate_status,stock_flag,quality_status,inclusion_status,exclusion_reason,notes
front_0001,datasets/viewpoint/self_clean_v1/front/front_0001.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/1.jpg,front,https://www.pexels.com/photo/brown-and-white-cow-458991/,www.pexels.com,4546,2872,94514afaa72f347254d7fa8ab70f6c124fdbb653b3c49b16e8e7eb4e164222fb,c488b1a727cb9e27,dup_0001,canonical,False,pass,included,none,Valid clean capture
front_0002,datasets/viewpoint/self_clean_v1/front/front_0002.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/10.jpg,front,https://www.pexels.com/photo/peaceful-cow-grazing-in-sunlit-pasture-39420138/,www.pexels.com,3072,4080,2730ba8bb4c2e7fe954071af7312aec2249da1f848d7b153c8f9b8ce3aac976b,92cc09c96776e666,dup_0002,canonical,False,pass,included,none,Valid clean capture
front_0003,datasets/viewpoint/self_clean_v1/front/front_0003.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/100.jpg,front,https://www.pexels.com/photo/cow-with-ear-marks-and-small-horns-in-daytime-5462653/,www.pexels.com,5472,3648,970c6f0882ce47dde44e5ee224d1cfd3448ab8e54db195e61bca9541e4bd6795,c5fa78c1f6d80869,dup_0003,canonical,False,pass,included,none,Valid clean capture
front_0004,datasets/viewpoint/self_clean_v1/front/front_0004.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/101.jpg,front,https://www.pexels.com/photo/normande-cattle-on-the-pasture-16669278/,www.pexels.com,6016,4016,1bbfed4cc6d8d22510a4dcc6f3b88f2fa930d17f56c3e78df34b93e7b36e7bf0,84f4c35331a9b67c,dup_0004,canonical,False,pass,included,none,Valid clean capture
front_0005,datasets/viewpoint/self_clean_v1/front/front_0005.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/102.jpg,front,https://www.pexels.com/photo/close-up-of-pie-black-cow-in-green-pasture-33381883/,www.pexels.com,5207,3476,c3da7697e30e9db26be86948173741178d6367a6434ff8394a781d00157f76f4,d926163be1e1664e,dup_0005,canonical,False,pass,included,none,Valid clean capture
front_0006,datasets/viewpoint/self_clean_v1/front/front_0006.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/103.jpg,front,https://www.pexels.com/photo/photo-of-cows-grazing-on-a-pasture-20803952/,www.pexels.com,4752,3168,d97fdabd9248dd02be6c41abb849649044fb94749d8d48f0eca1c100f64d0c84,eb0d14136bcc9cb3,dup_0006,canonical,False,pass,included,none,Valid clean capture
front_0007,datasets/viewpoint/self_clean_v1/front/front_0007.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/104.jpg,front,https://www.pexels.com/photo/brown-cows-on-green-grass-field-10660420/,www.pexels.com,4200,2800,d55c5adc218b5ae3a18c9e5b781136ba8ddb6a3048349407ae91304d8f279450,86890fb77160be87,dup_0007,canonical,False,pass,included,none,Valid clean capture
front_0008,datasets/viewpoint/self_clean_v1/front/front_0008.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/105.jpg,front,https://www.pexels.com/photo/cows-on-green-grass-field-10660419/,www.pexels.com,4200,2800,8fbd93fc46a025b671f9102b8443047d678cfcd665b4dad78abebd2c251d3d00,d2490bf285969dc7,dup_0008,canonical,False,pass,included,none,Valid clean capture
front_0009,datasets/viewpoint/self_clean_v1/front/front_0009.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/106.jpg,front,https://www.pexels.com/photo/cows-grazing-in-a-sunlit-meadow-28962577/,www.pexels.com,6240,4160,0225ddbffee55527ec705e1b4e8220e574aaa9bbc0b3f0a282ee8797d6bea05b,bab1c592c64de583,dup_0009,canonical,False,pass,included,none,Valid clean capture
front_0010,datasets/viewpoint/self_clean_v1/front/front_0010.jpg,front,datasets/viewpoint/self/Cow_/front/Cow Front/107.jpg,front,https://www.pexels.com/photo/cows-grazing-in-alpine-meadows-of-tyrol-austria-37221114/,www.pexels.com,7714,5145,89f12011f9e50c9bf109d78d595e1a3b55d9ddeb05e40bfe7d271c542a042b86,8282a2ce9f9bb569,dup_0010,canonical,False,pass,included,none,Valid clean capture
