original_path,normalized_class,inclusion_status,exclusion_reason,review_triggers,review_status,pending_status,human_decision,adjudicated_by,review_date,width,height,source_domain,source_url,sha256,duplicate_group_id,notes,adjudication_notes
datasets/viewpoint/self/rear view/119.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,1300,956,www.alamy.com,https://www.alamy.com/stock-photo/rear-view-cattle.html?pseudoid=4899A035-D350-4EE0-9451-692B87A281AA&sortBy=relevant,312a51a4e96766038213d94ea12dc51687155087c125ecda491fca267384d84f,dup_0660,Commercial stock provider: www.alamy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.alamy.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/120.jpg,rear,excluded,exact_duplicate,pinterest_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,736,1081,in.pinterest.com,https://in.pinterest.com/pin/black-and-white-cow-in-lush-green-field--41376890327325060/,98177c87c0daac6fb045ce30189eac36d4fc09c8854f32fd0562b70f29489f93,dup_0571,Duplicate of canonical in group dup_0571,Confirmed excluded by human reviewer: bit-for-bit duplicate of canonical image in dup_0571.
datasets/viewpoint/self/rear view/121.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,437,702,www.alamy.com,https://www.alamy.com/stock-photo/rear-view-of-dairy-cattle.html,d2ecce2edaf6c0397ee139135e4882949bfb2a812fb811562446acd9c2c4e853,dup_0661,Commercial stock provider: www.alamy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.alamy.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/122.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,407,612,www.istockphoto.com,https://www.istockphoto.com/photos/cow-rear-view,c8e7458845f3ef209e935cf77a6a2a61b34d3c83a51c267a8bbfa2f77f5d421d,dup_0662,Commercial stock provider: www.istockphoto.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.istockphoto.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/123.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,480,640,www.dreamstime.com,https://www.dreamstime.com/photos-images/cow-rear.html,72fbe2271e6b38a2650d124ccf8c5f36abf1eb1112d626aff032c0a82e49271b,dup_0663,Commercial stock provider: www.dreamstime.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.dreamstime.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/124.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,407,612,www.istockphoto.com,https://www.istockphoto.com/photos/cow-rear-view,c8e7458845f3ef209e935cf77a6a2a61b34d3c83a51c267a8bbfa2f77f5d421d,dup_0662,Commercial stock provider: www.istockphoto.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.istockphoto.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/125.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,1307,1960,www.vecteezy.com,https://www.vecteezy.com/photo/18902201-view-of-the-back-of-a-cow-on-a-pasture-in-the-alps,baa1c4af81b134eda170cca3253354292850c3275d03ad92cd15fcecf8850b0f,dup_0664,Commercial stock provider: www.vecteezy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.vecteezy.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/126.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,408,612,www.istockphoto.com,https://www.istockphoto.com/photos/backside-of-a-white-cow-with-empty-udder,26eb82ae46557f521bac3ea465883f039073dcdf38a7b380aa14278d2b0d316f,dup_0665,Commercial stock provider: www.istockphoto.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.istockphoto.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/127.jpg,rear,excluded,commercial_stock_source,commercial_stock_source; low_resolution,resolved,none,exclude,Hasin Ishrak,2026-09-23,173,280,www.shutterstock.com,https://www.shutterstock.com/search/cow-indonesia,c5df612f5aae7e9806a50cfb5f9236c90ae6b11d5f70bd535eff36a2c7cc0c3a,dup_0666,Commercial stock provider: www.shutterstock.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.shutterstock.com) with watermarks, licensing restrictions, or staged studio lighting."
datasets/viewpoint/self/rear view/128.jpg,rear,excluded,commercial_stock_source,commercial_stock_source,resolved,none,exclude,Hasin Ishrak,2026-09-23,866,1390,www.alamy.com,https://www.alamy.com/stock-photo/rear-end-dairy-cow.html,1e8bf0f67cbd0d50f9efb4f25e57846ffcf7fa6ff691e402e37c643b28d889bc,dup_0667,Commercial stock provider: www.alamy.com,"Confirmed excluded by human reviewer: commercial stock agency photograph (www.alamy.com) with watermarks, licensing restrictions, or staged studio lighting."
