clean_id,class,source_clean_path,crop_path,duplicate_group_id,source_sha256,source_url,source_domain,detection_status,detection_count,selected_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,bbox_margin_rule,source_width,source_height,crop_width,crop_height,source_file_size_bytes,crop_file_size_bytes,split
front_0001,front,datasets/viewpoint/self_clean_v1/front/front_0001.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0001.jpg,dup_0001,94514afaa72f347254d7fa8ab70f6c124fdbb653b3c49b16e8e7eb4e164222fb,https://www.pexels.com/photo/brown-and-white-cow-458991/,www.pexels.com,success,1,0.9535,1416.43,71.52,3045.67,2753.06,1335,0,3127,2872,proportional_5pct,4546,2872,1792,2872,2263160,1983229,train
front_0002,front,datasets/viewpoint/self_clean_v1/front/front_0002.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0002.jpg,dup_0002,2730ba8bb4c2e7fe954071af7312aec2249da1f848d7b153c8f9b8ce3aac976b,https://www.pexels.com/photo/peaceful-cow-grazing-in-sunlit-pasture-39420138/,www.pexels.com,success,1,0.9705,896.8,458.88,2454.47,3455.19,819,309,2532,3605,proportional_5pct,3072,4080,1713,3296,3616625,2815292,train
front_0003,front,datasets/viewpoint/self_clean_v1/front/front_0003.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0003.jpg,dup_0003,970c6f0882ce47dde44e5ee224d1cfd3448ab8e54db195e61bca9541e4bd6795,https://www.pexels.com/photo/cow-with-ear-marks-and-small-horns-in-daytime-5462653/,www.pexels.com,success,1,0.9731,1062.69,155.89,4981.46,3612.78,867,0,5177,3648,proportional_5pct,5472,3648,4310,3648,1948468,4039081,train
front_0004,front,datasets/viewpoint/self_clean_v1/front/front_0004.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0004.jpg,dup_0004,1bbfed4cc6d8d22510a4dcc6f3b88f2fa930d17f56c3e78df34b93e7b36e7bf0,https://www.pexels.com/photo/normande-cattle-on-the-pasture-16669278/,www.pexels.com,success,2,0.9633,1051.66,569.1,3669.72,3986.29,921,398,3801,4016,proportional_5pct,6016,4016,2880,3618,2711155,3038319,train
front_0005,front,datasets/viewpoint/self_clean_v1/front/front_0005.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0005.jpg,dup_0005,c3da7697e30e9db26be86948173741178d6367a6434ff8394a781d00157f76f4,https://www.pexels.com/photo/close-up-of-pie-black-cow-in-green-pasture-33381883/,www.pexels.com,success,2,0.9721,2101.74,120.07,4728.07,3452.09,1970,0,4859,3476,proportional_5pct,5207,3476,2889,3476,1072967,1770632,train
front_0007,front,datasets/viewpoint/self_clean_v1/front/front_0007.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0007.jpg,dup_0007,d55c5adc218b5ae3a18c9e5b781136ba8ddb6a3048349407ae91304d8f279450,https://www.pexels.com/photo/brown-cows-on-green-grass-field-10660420/,www.pexels.com,success,4,0.9641,210.57,924.26,1242.3,2787.53,159,831,1294,2800,proportional_5pct,4200,2800,1135,1969,2314831,1072059,train
front_0008,front,datasets/viewpoint/self_clean_v1/front/front_0008.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0008.jpg,dup_0008,8fbd93fc46a025b671f9102b8443047d678cfcd665b4dad78abebd2c251d3d00,https://www.pexels.com/photo/cows-on-green-grass-field-10660419/,www.pexels.com,success,4,0.9685,227.61,1036.27,1441.1,2782.73,167,949,1502,2800,proportional_5pct,4200,2800,1335,1851,1984740,1084735,train
front_0011,front,datasets/viewpoint/self_clean_v1/front/front_0011.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0011.jpg,dup_0011,69c7128ad7cddc57fb4d74300753b5fede595e0e14c283210ec24e9e87d1db8c,https://www.pexels.com/photo/cows-grazing-in-autumn-landscape-styria-34498322/,www.pexels.com,success,3,0.9624,4374.32,723.1,6253.79,4274.63,4280,546,6348,4452,proportional_5pct,6688,4459,2068,3906,4367610,2856680,train
front_0012,front,datasets/viewpoint/self_clean_v1/front/front_0012.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0012.jpg,dup_0012,aec745f5651e517fbfbdde4a1755383c4f148d2dd97ba6ebbb11231b8aebb21d,https://www.pexels.com/photo/a-brown-and-white-cow-in-a-grassy-field-5690992/,www.pexels.com,success,6,0.9632,1639.94,626.8,3351.49,3565.18,1554,480,3437,3712,proportional_5pct,5616,3744,1883,3232,2088097,1471743,train
front_0014,front,datasets/viewpoint/self_clean_v1/front/front_0014.jpg,datasets/viewpoint/self_clean_v1_rtdetr_crop/front/front_0014.jpg,dup_0014,af453c7ea3f878f1918da26b33fe5733bb34507c5d3121a9c59422d2e0a8e17d,https://www.pexels.com/photo/a-cattle-with-ear-tags-13706519/,www.pexels.com,success,1,0.9732,1354.65,360.43,3780.15,2979.2,1233,229,3901,3000,proportional_5pct,4495,3000,2668,2771,813081,1283746,train
